file	s16	s16_ms	s16_rc	s16both	s16both_ms	s16both_rc	first	status
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	unknown	24431	0	unknown	24429	0	s16	unknown
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	unknown	24030	0	unknown	24031	0	s16both	unsat
QF_LRA/2019-ezsmt/blending/17.smt2	sat	105	0	sat	105	0	s16	unknown
QF_LRA/2019-ezsmt/robotics/4_3.smt2	unsat	105	0	unsat	105	0	s16both	unknown
QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_4.lp.smt2	sat	4108	0	sat	4110	0	s16	unknown
QF_LRA/DTP-Scheduling/constraints-cooking22.smt2	sat	105	0	sat	105	0	s16both	sat
QF_LRA/DTP-Scheduling/constraints-tempo-width-40.smt2	sat	1107	0	sat	1106	0	s16	sat
QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-30.smt2	sat	105	0	sat	105	0	s16both	sat
QF_LRA/LassoRanker/CooperatingT2/collatz.t2.c_Iteration3_Loop_7-phaseTemplate.smt2	unknown	24230	0	unknown	24129	0	s16	unsat
QF_LRA/LassoRanker/CooperatingT2/ex11.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	unknown	24431	0	unknown	24532	0	s16both	unsat
QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration9_Loop_4-lexTemplate.smt2	unknown	24832	0	unknown	24631	0	s16	sat
QF_LRA/LassoRanker/CooperatingT2/matrixsqrt.t2.c_Iteration12_Loop_7-phaseTemplate.smt2	unknown	24232	0	unknown	24130	0	s16both	sat
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration3_Lasso_5-phaseTemplate.smt2	unknown	24231	0	unknown	24231	0	s16	sat
QF_LRA/LassoRanker/CooperatingT2/sumit.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	unknown	24431	0	unknown	24432	0	s16both	sat
QF_LRA/LassoRanker/SV-COMP/CookSeeZuleger-2013TACAS-Fig3_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2	unknown	24630	0	unknown	24924	0	s16	unsat
QF_LRA/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Loop_7-phaseTemplate.smt2	none	8480	134	unknown	24130	0	s16both	unsat
QF_LRA/LassoRanker/SV-COMP/aviad_true-termination.c_Iteration1_Loop_4-nestedTemplate.smt2	unknown	24823	0	unknown	24832	0	s16	sat
QF_LRA/LassoRanker/Ultimate/Canberra.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	none	8794	134	unknown	24131	0	s16both	unsat
QF_LRA/LassoRanker/Ultimate/Lobnya-Boolean-Reordered.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	unknown	24331	0	unknown	24128	0	s16	unsat
QF_LRA/LassoRanker/Ultimate/bound-scaled600.bpl_Iteration1_Loop_7-phaseTemplate.smt2	unknown	25130	0	unknown	25222	0	s16both	sat
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled50.bpl_Iteration1_Loop_4-pieceTemplate.smt2	unknown	24430	0	unknown	24531	0	s16	unsat
QF_LRA/TM/p7-driverlogNumeric_s8.smt2	unknown	24131	0	unknown	24130	0	s16both	sat
QF_LRA/clock_synchro/clocksynchro_8clocks.main_invar.base.smt2	unsat	4811	0	unsat	506	0	s16	unsat
QF_LRA/latendresse/ecoliFBAyicesTest-3875-4.smt2	unknown	24131	0	unknown	24331	0	s16both	sat
QF_LRA/meti-tarski/Chua/1/IL/L/Chua-1-IL-L-chunk-0013.smt2	sat	106	0	sat	105	0	s16	sat
QF_LRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0156.smt2	unsat	105	0	unsat	105	0	s16both	unsat
QF_LRA/meti-tarski/Chua/2/IL/L/Chua-2-IL-L-chunk-0071.smt2	sat	105	0	sat	106	0	s16	sat
