file	base	base_ms	base_rc	both	both_ms	both_rc	first	status
QF_IDL/20220214-jobshop-BohanLi/jobshop10-2-5-5-4-4-16.smt2	sat	305	0	sat	306	0	base	sat
QF_IDL/20220214-jobshop-BohanLi/jobshop32-2-16-16-4-4-16.smt2	unknown	25030	0	unknown	25029	0	both	sat
QF_IDL/20220214-jobshop-BohanLi/jobshop54-2-27-27-4-4-16.smt2	unknown	21527	0	unknown	21527	0	base	sat
QF_IDL/Averest/buble_sort/BubbleSort_live_blmc003.smt2	sat	305	0	sat	306	0	both	sat
QF_IDL/Averest/insertion_sort/InsertionSort_live_bgmc003.smt2	sat	205	0	sat	205	0	base	sat
QF_IDL/Averest/min_max/MinMax_safe_bgmc000.smt2	unsat	105	0	unsat	104	0	both	unsat
QF_IDL/Averest/selection_sort/SelectionSort_live_blmc004.smt2	sat	605	0	sat	605	0	base	sat
QF_IDL/Averest/sorting_network/SortingNetwork4_safe_blmc002.smt2	unsat	106	0	unsat	105	0	both	unsat
QF_IDL/DTP/DTP_k2_n35_c175_s3.smt2	sat	205	0	sat	205	0	base	sat
QF_IDL/RTCL/b01_tf_20/ckt_PROP0_tf_20.smt2	unsat	105	0	unsat	104	0	both	unsat
QF_IDL/asp/BlockedNQueens/156.48.1960.36.1721259656.dat.smt2	unknown	21226	0	unknown	21227	0	base	sat
QF_IDL/asp/ConnectedDominatingSet/rand_55_250_1235855873_0_k=8_sat.gph.smt2	unknown	25031	0	unknown	25030	0	both	sat
QF_IDL/asp/Fastfood/a7.3.0.tweaked.3.asp.smt2	unknown	22630	0	unknown	22629	0	base	sat
QF_IDL/asp/GraphColouring/graph-colouring-nodes=130-density=0.1-instance=10.smt2	unknown	21228	0	unknown	21228	0	both	sat
QF_IDL/asp/HamiltonianPath/gryzzles.31.lp.smt2	sat	1506	0	sat	1307	0	base	sat
QF_IDL/asp/KnightTour/knightTour.in05.smt2	unknown	21627	0	unknown	21627	0	both	unknown
QF_IDL/asp/MazeGeneration/maze-generation-width=16-height=16-density=0.01-run=1.smt2	unsat	3309	0	unsat	3308	0	base	unsat
QF_IDL/asp/Sokoban/dimitri_yorick.59.steps.8.asp.smt2	unsat	1006	0	unsat	1006	0	both	unsat
QF_IDL/asp/Solitaire/solitaire-edge-time=29.smt2	sat	19925	0	sat	19726	0	base	sat
QF_IDL/asp/WeightBoundedDominatingSet/rand_100_400_1159666138_5.lp.smt2	unknown	25024	0	unknown	25031	0	both	sat
QF_IDL/bcnscheduling/bcnscheduling105.smt2	unknown	25031	0	unknown	25030	0	base	unsat
QF_IDL/diamonds/diamonds.15.2.i.a.u.smt2	unsat	2608	0	unsat	2608	0	both	unsat
QF_IDL/job_shop/jobshop18-2-9-9-4-4-11.smt2	unknown	25032	0	unknown	25032	0	base	unsat
QF_IDL/job_shop/jobshop4-2-2-2-4-4-11.smt2	unsat	106	0	unsat	106	0	both	unsat
QF_IDL/job_shop/jobshop60-2-30-30-4-4-11.smt2	unknown	21326	0	unknown	21328	0	base	unknown
QF_IDL/mathsat/fischer/FISCHER13-13-ninc.smt2	unknown	25031	0	unknown	25030	0	both	unsat
QF_IDL/mathsat/fischer/FISCHER6-6-ninc.smt2	unsat	206	0	unsat	205	0	base	unsat
QF_IDL/mathsat/post_office/PO4-3-PO4.smt2	unsat	205	0	unsat	205	0	both	unsat
QF_IDL/parity/06.100.graph.smt2	sat	106	0	sat	105	0	base	sat
QF_IDL/parity/12.100.graph.smt2	sat	105	0	sat	106	0	both	sat
QF_IDL/parity/18.100.graph.smt2	unsat	105	0	unsat	105	0	base	unsat
QF_IDL/parity/24.100.graph.smt2	unsat	105	0	unsat	105	0	both	unsat
QF_IDL/parity/30.100.graph.smt2	unsat	106	0	unsat	105	0	base	unsat
QF_IDL/planning/plan-42.cvc.smt2	unsat	606	0	unsat	606	0	both	unsat
QF_IDL/qlock/qlock-4-10-27.induction.cvc.smt2	sat	10917	0	sat	10517	0	base	sat
QF_IDL/queens_bench/n_queen/queen20-1.smt2	sat	506	0	sat	506	0	both	sat
QF_IDL/queens_bench/n_queen/queen64-1.smt2	unknown	21227	0	unknown	21226	0	base	sat
QF_IDL/queens_bench/super_queen/super_queen18-1.smt2	sat	607	0	sat	606	0	both	sat
QF_IDL/queens_bench/super_queen/super_queen61-1.smt2	unknown	21127	0	unknown	21126	0	base	sat
QF_IDL/queens_bench/toroidal_bench/toroidal_queen15-1.smt2	unknown	25029	0	unknown	25030	0	both	unsat
QF_IDL/queens_bench/toroidal_bench/toroidal_queen59-1.smt2	unknown	21325	0	unknown	21326	0	base	sat
QF_IDL/sal/bakery/inf-bakery-invalid-3.smt2	sat	106	0	sat	106	0	both	sat
QF_IDL/schedulingIDL/gp10_03_mkspan1079.smt2	unknown	25029	0	unknown	25030	0	base	unsat
QF_IDL/schedulingIDL/j7_per10_2_mkspan1013.smt2	unknown	25029	0	unknown	25029	0	both	sat
QF_IDL/schedulingIDL/j8_per20_0_mkspan1008.smt2	unknown	25028	0	unknown	25029	0	base	sat
QF_IDL/schedulingIDL/tai_15x15_2_mkspan933.smt2	unknown	25029	0	unknown	25029	0	both	sat
