file	base	base_ms	base_rc	nz	nz_ms	nz_rc	sp	sp_ms	sp_rc	both	both_ms	both_rc	first	status
QF_LRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0062.smt2	unsat	104	0	unsat	104	0	unsat	105	0	unsat	104	0	nz	unsat
QF_LRA/sc/sc-10.induction2.cvc.smt2	unknown	24025	0	unknown	24127	0	sat	205	0	sat	205	0	sp	sat
QF_LRA/sc/sc-40.induction.cvc.smt2	unknown	24026	0	unknown	24025	0	unknown	24026	0	unknown	24025	0	both	sat
QF_LRA/miplib/pk1-11.smt2	unknown	24127	0	unknown	24126	0	unknown	24127	0	unknown	24026	0	base	sat
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_gj2007.c.i_4_3_3.bpl_7.smt2	unknown	24025	0	unknown	24027	0	unknown	24027	0	unknown	24026	0	nz	unsat
QF_LRA/LassoRanker/SV-COMP/BradleyMannaSipma-2005ICALP-Fig1_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2	unknown	24227	0	unknown	24226	0	unknown	24226	0	unknown	24227	0	sp	unsat
QF_LRA/LassoRanker/Ultimate/simple-scaled200.bpl_Iteration1_Lasso_5-nestedTemplate.smt2	unknown	24527	0	unknown	24527	0	unknown	24527	0	unknown	24527	0	both	sat
QF_LRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0016.smt2	unsat	104	0	unsat	104	0	unsat	105	0	unsat	104	0	base	unsat
QF_LRA/meti-tarski/Chua/1/VC2/L/Chua-1-VC2-L-chunk-0035.smt2	sat	105	0	sat	104	0	sat	104	0	sat	105	0	nz	sat
QF_LRA/meti-tarski/sqrt/1mcosq/7/sqrt-1mcosq-7-chunk-0006.smt2	sat	104	0	sat	104	0	sat	104	0	sat	104	0	sp	sat
QF_LRA/clock_synchro/clocksynchro_10clocks.main_invar.induct.smt2	unknown	24025	0	unknown	24023	0	unknown	24027	0	unknown	24027	0	both	unsat
QF_LRA/sc/sc-18.induction3.cvc.smt2	unknown	24127	0	unknown	24126	0	unknown	24127	0	unknown	24128	0	base	sat
QF_LRA/sc/sc-18.base.cvc.smt2	unknown	24022	0	unknown	24026	0	unknown	24125	0	unknown	24025	0	nz	unsat
QF_LRA/sc/sc-27.induction2.cvc.smt2	unknown	24026	0	unknown	24126	0	unknown	24122	0	unknown	24126	0	sp	sat
QF_LRA/sc/sc-18.induction.cvc.smt2	unknown	24026	0	unknown	24026	0	sat	104	0	sat	104	0	both	sat
QF_LRA/meti-tarski/polypaver/bench-exp-3d/polypaver-bench-exp-3d-chunk-0056.smt2	sat	104	0	sat	105	0	sat	104	0	sat	105	0	base	sat
QF_LRA/meti-tarski/cbrt/3/weak/cbrt-problem-3-weak-chunk-0043.smt2	sat	104	0	sat	104	0	sat	104	0	sat	105	0	nz	sat
