file	A	A_ms	A_rc	B	B_ms	B_rc	first	status
AUFDTLIRA/20200306-Kanig/spark2014bench/N602-053__update__sorters.adb_39_13_loop_invariant_init___00.smt2	unsat	107	0	unsat	107	0	A	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2	unknown	25031	0	unknown	25032	0	B	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/QA23-042__ok_pointers__spark04.adb_22_10_null_pointer_dereference___00.smt2	unknown	3511	0	unknown	3010	0	A	unknown
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__sort.adb_135_33_precondition3___00.smt2	unknown	24631	0	unknown	24131	0	B	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/K330-014__loop_entry__while_loops.adb_65_36_loop_invariant_init___00.smt2	unsat	107	0	unsat	108	0	A	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_f787ed_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	107	0	unsat	107	0	B	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	unsat	207	0	unsat	307	0	A	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/N120-055__perm__sort.adb_48_22_precondition___00.smt2	unknown	25029	0	unknown	24128	0	B	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__ring_buffer.adb_27_60_overflow_check___00.smt2	unsat	407	0	unsat	407	0	A	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/Q719-013__loop_unroll_dyn__loops_static.adb_41_57_overflow_check___00.smt2	unsat	107	0	unsat	107	0	B	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	unsat	407	0	unsat	408	0	A	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/tetris__tetris_flow.adb_59_63_index_check___00.smt2	unknown	25030	0	unknown	25131	0	B	unknown
AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_aa8afb_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	24424	0	unknown	24228	0	A	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_arrays__dynamic_array.adb_52_19_discriminant_check___00.smt2	unsat	106	0	unsat	107	0	B	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/N523-032__hello__hello.adb_30_23_index_check___00.smt2	unsat	106	0	unsat	106	0	A	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_25_35_index_check___00.smt2	unsat	107	0	unsat	106	0	B	unsat
AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_3dbbcf_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	106	0	unsat	106	0	A	unsat
