file	status	base_x3	arm_x3	z3_24	cvc5_24	z3_600	cvc5_600
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/gcd__math_euclid.adb_26_56_range_check3___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/J506-016__scaled_value__spark-arithmetic_lemmas.ads_123_38_spark-long_integer_arithmetic_lemmas.ads_31_1_division_check___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/KB29-037__subtype__main.adb_6_13_predicate_check___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/M219-040__flow_IFA_error_messages__test.adb_41_25_division_check___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/M823-017__fixed_points__binary_fixed.adb_101_25_assert2___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/M823-017__fixed_points__decimal_fixed.adb_102_25_assert2___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/O416-002__dynamic_predicate__dynamic_preds.adb_87_22_predicate_check___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/O521-007__fxp_div_int_result__fxp_div.adb_34_29_precondition___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/O813-018__fixed_points__integer_fixed.adb_102_25_assert___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mod_lemmas.adb_29_21_division_check___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_from_dafny__mod_lemmas.adb_76_23_division_check___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/P405-006__arithmetic_lemmas__test_arith.adb_121_7_precondition___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/prime_numbers__prime_and_coprime_numbers.ads_25_65_test_prime_and_coprime_numbers.adb_6_4_division_check___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R220-054__fixed_point_small__fp_test_mult.ads_16_31_overflow_check___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	none	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R427-016__check_on_param_call__formals_rec_split_pred.adb_67_22_discriminant_check___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R531-025__fixed_arithmetic_lemmas__spark-fixed_point_arithmetic_lemmas.ads_93_38_test_fixed_points.adb_6_4_division_check___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/R531-025__fixed_arithmetic_lemmas__test_fixed_points.ads_36_28_division_check___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/RM_MS__pre_post_return__swap_add_max_14.adb_18_58_division_check___00.smt2	unsat	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTNIRA/20200306-Kanig/spark2014bench/TU__ghost_legal__ghost_legal.ads_8_19_postcondition___00.smt2	unknown	unknown,unknown,unknown	unsat,unsat,unsat	unsat	unsat	skipped	skipped
