file	base	base_rc	base_ms	base_giveup	base_err	arm	arm_rc	arm_ms	arm_giveup	arm_err	first	status
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_array1.i_3_2_2.bpl_11.smt2	unknown	0	24030	; give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	none	unknown	0	24028	; give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	none	base	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_copy3_ground.i_3_2_2.bpl_7.smt2	unknown	0	24031	; give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	none	unknown	0	24032	; give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	none	arm	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0051-labyrinth-12-0.smt2	unknown	0	25534	; give-up kind=Watchdog detail=watchdog fired before the worker thread returned	none	unknown	0	25134	; give-up kind=Watchdog detail=watchdog fired before the worker thread returned	none	base	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/blending/24.smt2	sat	0	3812	none	none	sat	0	3212	none	none	arm	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/routingMin/SCC_strong/d50.9.smt2	sat	0	209	none	none	sat	0	208	none	none	base	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/travellingSalesperson/tsp_rand_70_300_1155482584_7.lp.smt2	sat	0	5013	none	none	sat	0	7416	none	none	arm	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/DTP-Scheduling/constraints-tempo-depth-30.smt2	sat	0	109	none	none	sat	0	108	none	none	base	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/DTP-Scheduling/constraints-tempo-width-9.smt2	sat	0	109	none	none	sat	0	108	none	none	arm	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	none	134	7525	none	memory allocation of 633344 bytes failed	none	134	6705	none	memory allocation of 633344 bytes failed	base	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	none	134	9592	none	memory allocation of 117056 bytes failed	none	134	10292	none	memory allocation of 117056 bytes failed	arm	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/firewire.t2.c_Iteration1_Lasso_4-lexTemplate.smt2	none	134	6806	none	memory allocation of 295680 bytes failed	none	134	6787	none	memory allocation of 295680 bytes failed	base	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/janne_complex.t2.c_Iteration3_Lasso_4-pieceTemplate.smt2	none	134	8199	none	memory allocation of 1431488 bytes failed	none	134	7853	none	memory allocation of 1431488 bytes failed	arm	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/p-43.t2.c_Iteration4_Loop_4-pieceTemplate.smt2	none	134	7088	none	memory allocation of 611744 bytes failed	none	134	7187	none	memory allocation of 611744 bytes failed	base	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration5_Lasso_6-phaseTemplate.smt2	none	134	7531	none	memory allocation of 1317120 bytes failed	none	134	7510	none	memory allocation of 1317120 bytes failed	arm	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/toeplz.c.i.toeplz.pl.t2.fixed.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	none	134	9793	none	memory allocation of 1776608 bytes failed	none	134	9686	none	memory allocation of 1776608 bytes failed	base	sat
