file	base	base_rc	base_ms	base_giveup	base_err	arm	arm_rc	arm_ms	arm_giveup	arm_err	first	status
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	none	134	6092	none	memory allocation of 626400 bytes failed	none	134	5990	none	memory allocation of 626400 bytes failed	base	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_two_index_06.i_3_2_2.bpl_7.smt2	unknown	0	24026	; give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	none	unknown	0	24025	; give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [Incomplete] online CDCL(T) LRA model did not replay (arithmetic outside the incremental engine)	none	arm	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/blending/17.smt2	sat	0	111	none	none	sat	0	110	none	none	base	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/robotics/4_3.smt2	unsat	0	111	none	none	unsat	0	110	none	none	arm	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_4.lp.smt2	sat	0	4313	none	none	sat	0	4313	none	none	base	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/DTP-Scheduling/constraints-cooking22.smt2	sat	0	111	none	none	sat	0	112	none	none	arm	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/DTP-Scheduling/constraints-tempo-width-40.smt2	sat	0	1111	none	none	sat	0	1111	none	none	base	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-30.smt2	sat	0	110	none	none	sat	0	110	none	none	arm	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/collatz.t2.c_Iteration3_Loop_7-phaseTemplate.smt2	unknown	0	24529	; give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: Fourier–Motzkin elimination exceeded the wall-clock / size budget	none	unknown	0	25032	; give-up kind=Timeout detail=preprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started	none	base	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/ex11.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	none	134	7493	none	memory allocation of 1315040 bytes failed	none	134	7393	none	memory allocation of 1315040 bytes failed	arm	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration9_Loop_4-lexTemplate.smt2	none	134	11195	none	memory allocation of 662400 bytes failed	none	134	13523	none	memory allocation of 662400 bytes failed	base	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/matrixsqrt.t2.c_Iteration12_Loop_7-phaseTemplate.smt2	unknown	0	25334	; give-up kind=Watchdog detail=watchdog fired before the worker thread returned	none	unknown	0	25433	; give-up kind=Watchdog detail=watchdog fired before the worker thread returned	none	arm	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration3_Lasso_5-phaseTemplate.smt2	none	134	5890	none	memory allocation of 689888 bytes failed	none	134	5888	none	memory allocation of 689888 bytes failed	base	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/sumit.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	none	134	6989	none	memory allocation of 1045536 bytes failed	none	134	6791	none	memory allocation of 1045536 bytes failed	arm	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/CookSeeZuleger-2013TACAS-Fig3_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2	none	134	8186	none	memory allocation of 599392 bytes failed	none	134	8091	none	memory allocation of 599392 bytes failed	base	unsat
