division	file	verdict	skolem_bail	unchanged	retried_lines	residual_after	loop_exit	ms	rc
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	unknown	0	0	65	true	timeout-mid-round	12345	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p.adb_99_42_overflow_check___00.smt2	unknown	0	0	2	true	timeout-mid-round	12121	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/evoting__evoting.adb_229_13_loop_invariant_preserv___00.smt2	unknown	0	0	1	true	timeout-mid-round	12121	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_51_24_range_check___00.smt2	unknown	0	0	55	true	timeout-mid-round	12137	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2	unknown	0	0	44	true	timeout-mid-round	12324	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/K223-023__search__search.ads_8_9_postcondition___00.smt2	unknown	0	0	1	true	timeout-mid-round	12122	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/K606-027__slice__fb20a00.adb_37_49_overflow_check___00.smt2	unknown	0	0	97	true	CLOCK	12321	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/K627-010__stable_marriage__stable_marriage.ads_21_14_postcondition___00.smt2	unknown	0	0	2	true	timeout-mid-round	9417	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/KB25-003__slices__pack.adb_65_22_assert___00.smt2	unknown	0	0	2	true	timeout-mid-round	6814	0
AUFDTLIRA	AUFDTLIRA/20200306-Kanig/spark2014bench/L502-031_spaces__natural_set.ads_16_19_postcondition___00.smt2	unknown	0	0	94	true	timeout-mid-round	13018	0
