file	verdict	rc	ms	online_probe	probe_sites	equalities	eq_false	diseq_violated	splits	split_conflicts	simplex_rows	diseq_splits_trace	fill_cap_declines	status
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	unknown	0	24524	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unknown
QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	unknown	0	24237	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	unknown	0	24234	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/LassoRanker/CooperatingT2/collatz.t2.c_Iteration3_Loop_7-phaseTemplate.smt2	unknown	0	24124	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/LassoRanker/CooperatingT2/elmhes.c.i.elmhes.pl.t2.fixed.t2.c_Iteration5_Loop_6-phaseTemplate.smt2	unknown	0	24323	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	sat
QF_LRA/LassoRanker/CooperatingT2/eric.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2	unknown	0	24223	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	sat
QF_LRA/LassoRanker/CooperatingT2/firewire.t2.c_Iteration3_Loop_4-pieceTemplate.smt2	unknown	0	24332	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	sat
QF_LRA/LassoRanker/CooperatingT2/ludcmp.c.i.ludcmp.pl.t2.fixed.t2.c_Iteration8_Loop_7-phaseTemplate.smt2	unknown	0	24232	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	sat
QF_LRA/LassoRanker/CooperatingT2/matrixsqrt.t2.c_Iteration12_Loop_7-phaseTemplate.smt2	unknown	0	24127	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	sat
QF_LRA/LassoRanker/CooperatingT2/queens.t2.c_Iteration19_Loop_7-phaseTemplate.smt2	unknown	0	24424	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	sat
QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration3_Lasso_5-phaseTemplate.smt2	unknown	0	24224	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	sat
QF_LRA/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Lasso_3-pieceTemplate.smt2	unknown	0	24230	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/LassoRanker/Ultimate/Gcd.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	unknown	0	24429	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	sat
QF_LRA/LassoRanker/Ultimate/Gcd_havoc.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	unknown	0	24234	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	sat
QF_LRA/LassoRanker/Ultimate/Lobnya-Boolean-Reordered.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	unknown	0	24125	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled50.bpl_Iteration1_Loop_4-pieceTemplate.smt2	unknown	0	24524	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/latendresse/ecoliFBAyicesTest-3875-4.smt2	unknown	0	24122	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	sat
QF_LRA/miplib/danoint-266.smt2	unknown	0	24125	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	sat
QF_LRA/miplib/fixnet-5000.smt2	unknown	0	24125	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	sat
QF_LRA/miplib/vpm2-5.smt2	unknown	0	24135	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-27.base.cvc.smt2	unknown	0	24130	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-29.base.cvc.smt2	unknown	0	24135	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-31.base.cvc.smt2	unknown	0	24137	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-33.base.cvc.smt2	unknown	0	24133	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-35.base.cvc.smt2	unknown	0	24135	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-37.base.cvc.smt2	unknown	0	24126	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-39.base.cvc.smt2	unknown	0	24126	n/a	none	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sal/pursuit/pursuit-safety-16.smt2	unknown	0	24127	n/a	lra_theory:model-built-but-does-not-replay=1;	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-11.base.cvc.smt2	unknown	0	24139	n/a	lra_theory:model-built-but-does-not-replay=1;	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-13.base.cvc.smt2	unknown	0	24123	n/a	lra_theory:model-built-but-does-not-replay=1;	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-15.base.cvc.smt2	unknown	0	24137	n/a	lra_theory:model-built-but-does-not-replay=1;	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-17.base.cvc.smt2	unknown	0	24133	n/a	lra_theory:model-built-but-does-not-replay=1;	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-19.base.cvc.smt2	unknown	0	24131	n/a	lra_theory:model-built-but-does-not-replay=1;	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-21.base.cvc.smt2	unknown	0	24122	n/a	lra_theory:model-built-but-does-not-replay=1;	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-23.base.cvc.smt2	unknown	0	24022	n/a	lra_theory:model-built-but-does-not-replay=1;	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-25.base.cvc.smt2	unknown	0	24133	n/a	lra_theory:model-built-but-does-not-replay=1;	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-7.base.cvc.smt2	unknown	0	24022	n/a	lra_theory:model-built-but-does-not-replay=1;	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
QF_LRA/sc/sc-9.base.cvc.smt2	unknown	0	24122	n/a	lra_theory:model-built-but-does-not-replay=1;	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	unsat
