backend,latency_nanos,cumulative_fraction
z3,187069,0.00019297568506368199
z3,188492,0.00038595137012736397
z3,188659,0.0005789270551910459
z3,190826,0.0007719027402547279
z3,191795,0.0009648784253184099
z3,192885,0.0011578541103820917
z3,193091,0.001350829795445774
z3,195323,0.0015438054805094559
z3,197532,0.0017367811655731378
z3,197871,0.0019297568506368198
z3,198171,0.0021227325357005018
z3,198386,0.0023157082207641835
z3,199516,0.0025086839058278657
z3,200921,0.002701659590891548
z3,202907,0.0028946352759552296
z3,204126,0.0030876109610189118
z3,204736,0.0032805866460825935
z3,204762,0.0034735623311462757
z3,205201,0.0036665380162099574
z3,205785,0.0038595137012736396
z3,206085,0.004052489386337322
z3,207139,0.0042454650714010035
z3,207489,0.004438440756464685
z3,208460,0.004631416441528367
z3,208965,0.00482439212659205
z3,209138,0.005017367811655731
z3,209159,0.005210343496719413
z3,209621,0.005403319181783096
z3,210103,0.0055962948668467774
z3,210215,0.005789270551910459
z3,211415,0.005982246236974141
z3,211882,0.0061752219220378235
z3,212359,0.006368197607101505
z3,212427,0.006561173292165187
z3,213681,0.006754148977228869
z3,213804,0.006947124662292551
z3,213975,0.007140100347356233
z3,214244,0.007333076032419915
z3,214415,0.0075260517174835975
z3,214523,0.007719027402547279
z3,214571,0.007912003087610961
z3,215009,0.008104978772674644
z3,215039,0.008297954457738324
z3,216223,0.008490930142802007
z3,216606,0.00868390582786569
z3,217142,0.00887688151292937
z3,217268,0.009069857197993053
z3,217716,0.009262832883056734
z3,217926,0.009455808568120417
z3,218085,0.0096487842531841
z3,219541,0.00984175993824778
z3,220383,0.010034735623311463
z3,220441,0.010227711308375145
z3,221177,0.010420686993438826
z3,221523,0.010613662678502509
z3,221836,0.010806638363566191
z3,222302,0.010999614048629872
z3,222703,0.011192589733693555
z3,223087,0.011385565418757236
z3,223326,0.011578541103820918
z3,223808,0.011771516788884601
z3,223921,0.011964492473948282
z3,224107,0.012157468159011964
z3,224651,0.012350443844075647
z3,224891,0.012543419529139328
z3,224984,0.01273639521420301
z3,225105,0.012929370899266693
z3,225599,0.013122346584330374
z3,225727,0.013315322269394057
z3,225836,0.013508297954457738
z3,225841,0.01370127363952142
z3,225906,0.013894249324585103
z3,226591,0.014087225009648784
z3,227783,0.014280200694712466
z3,228211,0.014473176379776149
z3,228695,0.01466615206483983
z3,228783,0.014859127749903512
z3,229898,0.015052103434967195
z3,230068,0.015245079120030876
z3,230514,0.015438054805094558
z3,230554,0.01563103049015824
z3,230775,0.015824006175221922
z3,230814,0.016016981860285603
z3,231095,0.016209957545349287
z3,231465,0.016402933230412968
z3,231487,0.01659590891547665
z3,231674,0.016788884600540333
z3,232695,0.016981860285604014
z3,233777,0.017174835970667695
z3,233794,0.01736781165573138
z3,234151,0.01756078734079506
z3,234765,0.01775376302585874
z3,235182,0.017946738710922425
z3,235352,0.018139714395986106
z3,236062,0.018332690081049787
z3,236515,0.018525665766113468
z3,236947,0.018718641451177152
z3,237032,0.018911617136240833
z3,237412,0.019104592821304514
z3,237465,0.0192975685063682
z3,238545,0.01949054419143188
z3,238556,0.01968351987649556
z3,238660,0.019876495561559245
z3,239274,0.020069471246622925
z3,239693,0.020262446931686606
z3,239791,0.02045542261675029
z3,240652,0.02064839830181397
z3,241187,0.020841373986877652
z3,242444,0.021034349671941337
z3,243489,0.021227325357005018
