sample	declaration	outcome	adjudicated	recheck_300s_16gb	first_failing	first_failing_code	cluster	declaration_records	declines
A/initstd-500-restream	Acc.recOn	CLEAN	CLEAN					2	0
A/initstd-500-restream	AndThen.mk.noConfusion	CLEAN	CLEAN					16	0
A/initstd-500-restream	Array.append_eq_singleton_iff	CLEAN	CLEAN					556	0
A/initstd-500-restream	Array.find?_pmap	CLEAN	CLEAN					1708	0
A/initstd-500-restream	Array.findM?	CLEAN	CLEAN					216	0
A/initstd-500-restream	Array.getElem?_append_right	CLEAN	CLEAN					676	0
A/initstd-500-restream	Array.getElem_push_lt._proof_3	CLEAN	CLEAN					78	0
A/initstd-500-restream	Array.mem_singleton_self	CLEAN	CLEAN					84	0
A/initstd-500-restream	Array.min?	CLEAN	CLEAN					227	0
A/initstd-500-restream	Array.min_mul_length_le_sum_nat	CLEAN	CLEAN					1798	0
A/initstd-500-restream	Array.reverse.loop._proof_1	CLEAN	CLEAN					187	0
A/initstd-500-restream	Array.zip_eq_zip_take_min	CLEAN	CLEAN					1779	0
A/initstd-500-restream	Array.zip_map_right	CLEAN	CLEAN					1601	0
A/initstd-500-restream	BaseIO.asTask	CLEAN	CLEAN					52	0
A/initstd-500-restream	BitVec.DivModArgs.mk.injEq	CLEAN	CLEAN					61	0
A/initstd-500-restream	BitVec.DivModState.Lawful.recOn	CLEAN	CLEAN					236	0
A/initstd-500-restream	BitVec.decEq.match_1	CLEAN	CLEAN					40	0
A/initstd-500-restream	BitVec.getElem_eq_getElem?	CLEAN	CLEAN					525	0
A/initstd-500-restream	BitVec.getLsbD_extractAndExtend	CLEAN	CLEAN					1893	0
A/initstd-500-restream	BitVec.getLsbD_ofFin	CLEAN	CLEAN					348	0
A/initstd-500-restream	BitVec.getMsbD_zero_length	CLEAN	CLEAN					1315	0
A/initstd-500-restream	BitVec.instUpwardEnumerable	CLEAN	CLEAN					240	0
A/initstd-500-restream	BitVec.le_refl._simp_1	CLEAN	CLEAN					369	0
A/initstd-500-restream	BitVec.le_toInt	CLEAN	CLEAN					1488	0
A/initstd-500-restream	BitVec.lt_irrefl	CLEAN	CLEAN					96	0
A/initstd-500-restream	BitVec.msb_replicate	CLEAN	CLEAN					2013	0
A/initstd-500-restream	BitVec.ne_of_lt	CLEAN	CLEAN					99	0
A/initstd-500-restream	BitVec.setWidth'_eq	CLEAN	CLEAN					356	0
A/initstd-500-restream	BitVec.smod_zero	CLEAN	CLEAN					1626	0
A/initstd-500-restream	BitVec.sub_add_comm	CLEAN	CLEAN					1266	0
A/initstd-500-restream	BitVec.zero_eq	CLEAN	CLEAN					214	0
A/initstd-500-restream	BitVec.zero_sle_eq_not_msb	CLEAN	CLEAN					1663	0
A/initstd-500-restream	Bool.instDecidableLe	CLEAN	CLEAN					27	0
A/initstd-500-restream	Bool.or_not_self	CLEAN	CLEAN					38	0
A/initstd-500-restream	ByteArray.getElem_append_right	CLEAN	CLEAN					1488	0
A/initstd-500-restream	ByteArray.instGetElemNatUInt8LtSize	CLEAN	CLEAN					318	0
A/initstd-500-restream	ByteArray.utf8Decode?.go._unary	CLEAN	CLEAN					3067	0
A/initstd-500-restream	Char.toUpper	RESOURCE	RESOURCE	RESOURCE(rc=134)				0	0
A/initstd-500-restream	Char.utf8Size.fun_cases_unfolding	RESOURCE	RESOURCE	RESOURCE(rc=134)				0	0
A/initstd-500-restream	CoeHead.ctorIdx	CLEAN	CLEAN					4	0
A/initstd-500-restream	Decidable._sizeOf_1	CLEAN	CLEAN					26	0
A/initstd-500-restream	DoResultBC.break.injEq	CLEAN	CLEAN					19	0
A/initstd-500-restream	DoResultPRBC.pure.sizeOf_spec	CLEAN	CLEAN					27	0
A/initstd-500-restream	Dyadic.toRat_lt_toRat_iff	CLEAN	CLEAN					2355	0
A/initstd-500-restream	EStateM.tryCatch.eq_1	CLEAN	CLEAN					11	0
A/initstd-500-restream	Except.error.inj	CLEAN	CLEAN					15	0
A/initstd-500-restream	ExceptT.bindCont.match_1	CLEAN	CLEAN					3	0
A/initstd-500-restream	ExceptT.instLawfulMonad	CLEAN	CLEAN					89	0
A/initstd-500-restream	Float.noConfusionType	CLEAN	CLEAN					16	0
A/initstd-500-restream	IO.FS.DirEntry.fileName	CLEAN	CLEAN					264	0
A/initstd-500-restream	IO.Process.Child.noConfusionType	CLEAN	CLEAN					16	0
A/initstd-500-restream	IO.instLTTaskState	CLEAN	CLEAN					112	0
A/initstd-500-restream	ISize.instIsLinearOrder	CLEAN	CLEAN					1432	0
A/initstd-500-restream	Id.instMonadAttach._proof_1	CLEAN	CLEAN					5	0
A/initstd-500-restream	Int.Linear.Expr.toPoly'.go.eq_6	CLEAN	CLEAN					125	0
A/initstd-500-restream	Int.Linear.Poly.denote._f	CLEAN	CLEAN					66	0
A/initstd-500-restream	Int.Linear.Poly.divCoeffs.eq_def	CLEAN	CLEAN					197	0
A/initstd-500-restream	Int.Linear.abs.eq_1	CLEAN	CLEAN					8	0
A/initstd-500-restream	Int.Linear.diseq_norm_poly	CLEAN	CLEAN					840	0
A/initstd-500-restream	Int.Linear.not_le_of_le_cert.eq_def	CLEAN	CLEAN					124	0
A/initstd-500-restream	Int.beq'_ne	CLEAN	CLEAN					114	0
A/initstd-500-restream	Int.ediv_one	CLEAN	CLEAN					329	0
A/initstd-500-restream	Int.gcd_dvd_natAbs_mul	CLEAN	CLEAN					436	0
A/initstd-500-restream	Int.getD_toList_roc_eq_add	CLEAN	CLEAN					2033	0
A/initstd-500-restream	Int.le_ediv_iff_of_dvd_of_pos	CLEAN	CLEAN					631	0
A/initstd-500-restream	Int.neg_ediv_of_dvd	CLEAN	CLEAN					606	0
A/initstd-500-restream	Int.ofNat_eq_zero	CLEAN	CLEAN					23	0
A/initstd-500-restream	Int.shiftRight_add	CLEAN	CLEAN					176	0
A/initstd-500-restream	Int.zero_eq_toNat_sub_iff	CLEAN	CLEAN					388	0
A/initstd-500-restream	Int.zero_fdiv	CLEAN	CLEAN					147	0
A/initstd-500-restream	Int16.ofInt_int32ToInt	CLEAN	CLEAN					541	0
A/initstd-500-restream	Int16.toBitVec_mul	CLEAN	CLEAN					216	0
A/initstd-500-restream	Int16.toInt32_lt	CLEAN	CLEAN					2042	0
A/initstd-500-restream	Int16.toUInt16_not	CLEAN	CLEAN					502	0
A/initstd-500-restream	Int32.toUInt32_and	CLEAN	CLEAN					812	0
A/initstd-500-restream	Int64.sub_self	CLEAN	CLEAN					319	0
A/initstd-500-restream	Int64.toInt16_ofInt	CLEAN	CLEAN					2103	0
A/initstd-500-restream	Int8.neg_one_xor	CLEAN	CLEAN					1858	0
A/initstd-500-restream	Int8.toUInt8_mul	CLEAN	CLEAN					218	0
A/initstd-500-restream	Lean.Elab.Tactic.BVDecide.Frontend.SolverMode.toCtorIdx	CLEAN	CLEAN					5	0
A/initstd-500-restream	Lean.Grind.AC.Expr._sizeOf_inst	CLEAN	CLEAN					27	0
A/initstd-500-restream	Lean.Grind.CommRing.Poly.denoteS_insert	CLEAN	CLEAN					1233	0
A/initstd-500-restream	Lean.Grind.CommRing.Stepwise.d_stepk	CLEAN	CLEAN					1976	0
A/initstd-500-restream	Lean.Grind.CommRing.le_norm0	CLEAN	CLEAN					368	0
A/initstd-500-restream	Lean.Grind.Config.mk.injEq	CLEAN	CLEAN					20	0
A/initstd-500-restream	Lean.Grind.IntInterval.wrap.eq_4	CLEAN	CLEAN					192	0
A/initstd-500-restream	Lean.Grind.IntModule.OfNatModule.add_assoc	CLEAN	CLEAN					702	0
A/initstd-500-restream	Lean.Grind.IntModule.OfNatModule.toQ_smul	CLEAN	CLEAN					1615	0
A/initstd-500-restream	Lean.Grind.Ring.zsmul	CLEAN	CLEAN					335	0
A/initstd-500-restream	Lean.Grind.instCommRingBitVec._proof_3	CLEAN	CLEAN					1473	0
A/initstd-500-restream	Lean.Grind.instLawfulOrderLTNat	CLEAN	CLEAN					1345	0
A/initstd-500-restream	Lean.Macro.Methods.ctorIdx	CLEAN	CLEAN					291	0
A/initstd-500-restream	Lean.Omega.Coeffs.set	CLEAN	CLEAN					22	0
A/initstd-500-restream	Lean.Omega.instDecidableEqLinearCombo.decEq._proof_1	CLEAN	CLEAN					9	0
A/initstd-500-restream	Lean.Parser.Sym.Simp.telescope	CLEAN	CLEAN					295	0
A/initstd-500-restream	Lean.Parser.Tactic.MCasesPat.brecOn	CLEAN	CLEAN					305	0
A/initstd-500-restream	Lean.Parser.Tactic.guardHypConv	CLEAN	CLEAN					307	0
A/initstd-500-restream	Lean.Parser.Tactic.tacticBv_omega	CLEAN	CLEAN					295	0
A/initstd-500-restream	Lean.Parser.checkSimpFailure	CLEAN	CLEAN					296	0
A/initstd-500-restream	Lean.SourceInfo.ctorElim	CLEAN	CLEAN					273	0
A/initstd-500-restream	Lean.SourceInfo.original.noConfusion	CLEAN	CLEAN					287	0
A/initstd-500-restream	Lean.Syntax.Prec	CLEAN	CLEAN					301	0
A/initstd-500-restream	Lean.Syntax.decodeCharLit	CLEAN	CLEAN					389	0
A/initstd-500-restream	Lean.Try.Config.harder	CLEAN	CLEAN					4	0
A/initstd-500-restream	List.Pairwise.of_cons	CLEAN	CLEAN					53	0
A/initstd-500-restream	List.any._f	CLEAN	CLEAN					13	0
A/initstd-500-restream	List.any.match_1	CLEAN	CLEAN					4	0
A/initstd-500-restream	List.drop_take._f	CLEAN	CLEAN					1433	0
A/initstd-500-restream	List.eraseP_sublist	CLEAN	CLEAN					152	0
A/initstd-500-restream	List.find?_range'_eq_none	CLEAN	CLEAN					372	0
A/initstd-500-restream	List.findSome?.match_1	CLEAN	CLEAN					6	0
A/initstd-500-restream	List.flatten_filter_ne_nil	CLEAN	CLEAN					138	0
A/initstd-500-restream	List.foldrM_attachWith	CLEAN	CLEAN					142	0
A/initstd-500-restream	List.forIn'.loop.eq_1	CLEAN	CLEAN					66	0
A/initstd-500-restream	List.getElem_scanr	CLEAN	CLEAN					472	0
A/initstd-500-restream	List.getLast_mem._f	CLEAN	CLEAN					53	0
A/initstd-500-restream	List.getLast_scanl	CLEAN	CLEAN					502	0
