driver,driver_sha256,index,check_id,query_sha256,purpose,outcome,warm_execution,active_constraint_count,query_occurrences_per_run,cold_total_nanos,cold_unattributed_nanos,warm_total_nanos,warm_unattributed_nanos,cold_aig_nodes,cold_cnf_variables,cold_cnf_clauses,warm_aig_nodes_added,warm_cnf_variables_added,warm_cnf_clauses_added,cold_arena_create_nanos,cold_translation_nanos,cold_solver_create_nanos,cold_word_rewrite_nanos,cold_bit_blast_nanos,cold_cnf_encode_nanos,cold_solve_nanos,cold_model_lift_nanos,cold_replay_nanos,cold_model_extract_nanos,warm_session_create_nanos,warm_translation_nanos,warm_word_rewrite_nanos,warm_bit_blast_nanos,warm_cnf_encode_nanos,warm_solve_nanos,warm_model_lift_nanos,warm_replay_nanos,warm_model_extract_nanos
sqfs-intel-DptfDevGen.sys,074be1b90deb21897538a6b093af9826e62610ffd878c92289af31c5ca3f724b,0,check-0,f231777180bd668ced14de1dbfc56170668c59f14b816f845e93dbd6a46ea613,integer-overflow,unsat,warm-created,2,1,339377,16302,374729,19976,189,189,63,188,191,63,3119,19126,35149,0,223892,39318,2440,0,0,31,16826,10800,0,284522,36487,6071,0,0,47
sqfs-intel-DptfDevGen.sys,074be1b90deb21897538a6b093af9826e62610ffd878c92289af31c5ca3f724b,1,check-1,1d211261766d8211514a0f21d04b744369d237494fdcd4f19eee5ccd508be592,branch-feasibility,sat,warm-retained,2,1,316742,19098,320402,40797,182,182,120,57,58,58,186,12033,19683,0,66773,145080,28158,7454,16963,1314,0,8291,0,20941,184275,41061,12552,10948,1537
sqfs-intel-DptfDevGen.sys,074be1b90deb21897538a6b093af9826e62610ffd878c92289af31c5ca3f724b,2,check-2,f320f676095300123c8978928d41e09e25acd1a41c8551cc8633daf2407ba464,branch-feasibility,sat,warm-retained,2,1,423634,21551,256835,52036,182,182,120,0,1,58,429,21301,39586,0,93169,170343,51754,10195,13774,1532,0,9420,0,1835,61566,103329,13608,13521,1520
sqfs-intel-DptfDevGen.sys,074be1b90deb21897538a6b093af9826e62610ffd878c92289af31c5ca3f724b,3,check-3,bd123d191f3afb1aa1b7e05b35e24a0ced1c7dcd8cdbef694942730ee2ab45f1,branch-feasibility,sat,warm-retained,3,1,559632,24262,402061,56521,245,245,184,63,64,64,421,26195,40407,0,112422,277130,47651,10556,19083,1505,0,18050,0,37284,176071,78539,15334,18561,1701
sqfs-intel-DptfDevGen.sys,074be1b90deb21897538a6b093af9826e62610ffd878c92289af31c5ca3f724b,4,check-4,b996260d57f48ba3013a0a0a13d1241c6fff8c2eb5a92c7d75388519f339e0f9,branch-feasibility,sat,warm-retained,3,3,278969,13589,190338,38180,245,245,184,0,1,64,193,13412,10030,0,59651,128738,37467,5837,9237,815,0,6418,0,1576,54942,67199,9978,10769,1276
sqfs-intel-DptfDevGen.sys,074be1b90deb21897538a6b093af9826e62610ffd878c92289af31c5ca3f724b,5,check-5,b996260d57f48ba3013a0a0a13d1241c6fff8c2eb5a92c7d75388519f339e0f9,finding-reachability,sat,warm-retained,3,3,464051,36747,56284,35715,245,245,184,0,0,0,344,20974,9923,0,98246,208767,61611,10183,15969,1287,0,0,0,0,0,0,0,18797,1772
sqfs-intel-DptfDevGen.sys,074be1b90deb21897538a6b093af9826e62610ffd878c92289af31c5ca3f724b,6,check-6,b996260d57f48ba3013a0a0a13d1241c6fff8c2eb5a92c7d75388519f339e0f9,address-concretization,sat,warm-retained,3,3,424412,19558,56455,35581,245,245,184,0,0,0,271,17173,7170,0,104574,193749,56239,9795,14477,1406,0,0,0,0,0,0,0,19139,1735
sqfs-intel-DptfDevGen.sys,074be1b90deb21897538a6b093af9826e62610ffd878c92289af31c5ca3f724b,7,check-7,0acc01d3e53afc0a4d72d3f89aefd7649cc8ec37570b6832a28cc2f10404f521,integer-overflow,unsat,warm-retained,5,1,1711426,32349,1514404,67234,896,896,892,651,653,708,487,49778,11199,0,352254,1254222,11007,0,0,130,0,32122,0,265909,1104965,43960,0,0,214
sqfs-intel-DptfDevGen.sys,074be1b90deb21897538a6b093af9826e62610ffd878c92289af31c5ca3f724b,8,check-8,f4860c04ae4548ddc67d711e3e826bec4e3502d5556eb5214d610b15d6495279,branch-feasibility,unsat,warm-retained,5,1,721250,28579,333408,62108,372,372,312,0,1,64,330,36192,10367,0,159977,459373,26276,0,0,156,0,9471,0,2881,146848,111902,0,0,198
sqfs-intel-DptfDevGen.sys,074be1b90deb21897538a6b093af9826e62610ffd878c92289af31c5ca3f724b,9,check-9,0fd7bd551e47af4a7ba18c41fd08f03189b6167b7a2f7f0016d812ac919a6330,branch-feasibility,sat,warm-retained,5,1,693089,29482,362845,56383,372,372,248,0,1,1,356,35242,10421,0,154442,341521,82360,15231,22152,1882,0,9201,0,3127,12209,230314,27177,21990,2444
sqfs-intel-DptfDevGen.sys,074be1b90deb21897538a6b093af9826e62610ffd878c92289af31c5ca3f724b,10,check-10,eb40e0d92418ad596f200be1be9148df2351cd875ddfba4cc656affd79c08282,branch-feasibility,sat,warm-retained,6,3,1916560,37337,1422563,66443,889,889,752,328,329,483,354,53463,9462,0,363539,1123970,270924,22698,32783,2030,0,32563,0,116651,846563,295059,30926,31525,2833
sqfs-intel-DptfDevGen.sys,074be1b90deb21897538a6b093af9826e62610ffd878c92289af31c5ca3f724b,11,check-11,49da4c5366c6cadd176184b880abc041b0b69c8379903ebe0b3a0edc95397c1d,branch-feasibility,sat,warm-retained,6,1,441557,12762,714655,63616,889,889,704,0,1,192,218,15803,4566,0,94351,234688,62927,6366,9107,769,0,18050,0,2336,230405,333549,32145,31837,2717
sqfs-intel-DptfDevGen.sys,074be1b90deb21897538a6b093af9826e62610ffd878c92289af31c5ca3f724b,12,check-12,eb40e0d92418ad596f200be1be9148df2351cd875ddfba4cc656affd79c08282,finding-reachability,sat,warm-retained,6,3,1539044,44371,111677,51132,889,889,752,0,1,1,469,51470,11354,0,290415,883031,213447,17802,24319,2366,0,17029,0,2016,11988,0,0,27589,1923
