file	axeyum	reference	declared
From_AProVE_2014__Velroyen08-middle.jar-obl-8__p14206_terminationG_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__Velroyen08-upAndDownIneq.jar-obl-8__terminationS_1_0.smt2	unsolved	unsolved	unsat
From_AProVE_2014__cousot_rec.jar-obl-8__p28312_terminationG_0.smt2	unsolved	unsat	unknown
From_AProVE_2014__juHashMapCreate.jar-obl-10__p4414_safety_0.smt2	unsolved	unsolved	unknown
From_AProVE_2014__juHashMapCreate.jar-obl-10__p4676_safety_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juHashMapCreate.jar-obl-10__p4943_safety_0.smt2	unsolved	sat	sat
From_AProVE_2014__juHashMapCreate.jar-obl-10__p5184_terminationG_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p29879_safety_0.smt2	unsolved	unsolved	unknown
From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30175_safety_0.smt2	unsolved	unsolved	unknown
From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30440_safety_0.smt2	unsolved	unsolved	unknown
From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30726_safety_0.smt2	unsolved	sat	sat
From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p30967_safety_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31253_safety_0.smt2	unsolved	sat	sat
From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31541_safety_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31818_safety_0.smt2	unsolved	sat	sat
From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32069_safety_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32332_safety_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p32598_safety_0.smt2	unsolved	sat	sat
From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p420_safety_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1784_safety_0.smt2	unsolved	sat	sat
From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2235_terminationG_0.smt2	unsolved	sat	sat
From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2587_safety_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	unsolved	unsolved	unknown
From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3150_safety_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5428_safety_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5722_safety_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6041_safety_0.smt2	unsolved	unsolved	unsat
From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6315_safety_0.smt2	unsolved	unsolved	unknown
From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6637_safety_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6984_safety_0.smt2	unsolved	sat	sat
From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7265_safety_0.smt2	unsolved	sat	sat
From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7535_safety_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juLinkedListCreateAddAll.jar-obl-11__p9492_safety_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7725_safety_0.smt2	unsolved	sat	sat
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7871_safety_0.smt2	unsolved	sat	sat
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8065_safety_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8261_safety_0.smt2	unsolved	sat	sat
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8434_safety_0.smt2	unsolved	sat	sat
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8651_safety_0.smt2	unsolved	sat	sat
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8809_safety_0.smt2	unsolved	sat	sat
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8992_safety_0.smt2	unsolved	sat	sat
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p9188_safety_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__juLinkedListCreateContainsAll.jar-obl-11__terminationS_0_0.smt2	unsolved	unsolved	unsat
From_AProVE_2014__mirrorInterv_rec.jar-obl-8__p10955_edge_closing_0.smt2	unsolved	unsolved	sat
From_AProVE_2014__whileNested_rec.jar-obl-9__p14976_terminationG_0.smt2	unsolved	unsolved	unsat
From_T2__afagp-fail.t2__p15482_terminationG_0.smt2	unsolved	unsolved	unknown
From_T2__agafp.t2_fixed__terminationS_0_0.smt2	unsolved	unsolved	unsat
From_T2__apchild-accepted.t2__p16321_terminationG_0.smt2	unsolved	unsolved	sat
From_T2__apchild-live.t2_fixed__p16479_terminationG_0.smt2	unsolved	unsolved	sat
From_T2__apchildlive-succeed.t2_fixed__p16399_edge_closing_0.smt2	unsolved	unsolved	unknown
From_T2__broydn.c.i.broydn.pl.t2.fixed.t2__term_unfeasibility_3_0.smt2	unsolved	sat	sat
From_T2__byron-4.t2__p17594_terminationG_0.smt2	unsolved	unsolved	unknown
From_T2__consts1nt.t2__p17935_terminationG_0.smt2	unsat	unsat	unsat
From_T2__consts5nt.t2__p18457_edge_closing_0.smt2	unsolved	unsolved	sat
From_T2__db2.t2_fixed__terminationS_29_0.smt2	unsolved	unsat	unsat
From_T2__disj_nightmare.t2__p18944_edge_closing_0.smt2	unsolved	sat	sat
From_T2__edn.t2__p20109_safety_0.smt2	sat	unsolved	sat
From_T2__edn.t2__p20676_safety_0.smt2	sat	unsolved	sat
From_T2__efegp.t2__p21963_edge_closing_0.smt2	unsolved	sat	sat
From_T2__ex19.t2__p22319_terminationG_0.smt2	unsolved	unsolved	unknown
From_T2__ex36.t2__p26914_safety_0.smt2	sat	sat	sat
From_T2__ex36.t2__p28763_safety_0.smt2	unsolved	sat	sat
From_T2__ex36.t2__p29986_safety_0.smt2	unsolved	unsat	unsat
From_T2__ex36.t2__p31135_safety_0.smt2	sat	sat	sat
From_T2__ex36.t2__p31933_safety_0.smt2	unsolved	unsolved	unknown
From_T2__ex36.t2_fixed__p23563_safety_0.smt2	sat	sat	sat
From_T2__firewire.t2__terminationS_13_0.smt2	unsolved	unsolved	unsat
From_T2__foo.t2__terminationS_32_0.smt2	unsolved	unsolved	unsat
From_T2__fun1.t2_fixed__p697_terminationG_0.smt2	unsolved	unsolved	sat
From_T2__fun1b.t2__terminationS_11_0.smt2	unsolved	unsat	unsat
From_T2__fun7.t2__p1152_terminationG_0.smt2	unsolved	unsolved	sat
