file	base	base_s	lane	lane_s	status
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFNIRA/FFT/smtlib.549916.smt2	unknown	19.72	unknown	19.52	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFNIRA/FFT/smtlib.620440.smt2	unknown	22.12	unknown	22.12	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFNIRA/FFT/smtlib.629057.smt2	unknown	5.51	unknown	5.51	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFNIRA/FFT/smtlib.632775.smt2	unknown	0.21	unknown	0.21	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFNIRA/FFT/smtlib.637239.smt2	unknown	6.21	unknown	6.21	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFNIRA/FFT/smtlib.644770.smt2	unknown	0.41	unknown	0.41	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFNIRA/FFT/smtlib.652843.smt2	unknown	0.31	unknown	0.30	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFNIRA/FFT/smtlib.659604.smt2	unknown	0.61	unknown	0.61	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFNIRA/FFT/smtlib.664248.smt2	unknown	0.51	unknown	0.51	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFNIRA/FFT/smtlib.673963.smt2	unknown	19.22	unknown	19.22	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFNIRA/FFT/smtlib.696888.smt2	unknown	0.81	unknown	0.91	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFNIRA/FFT/smtlib.701996.smt2	unknown	0.30	unknown	0.31	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/AUFNIRA/FFT/smtlib.714922.smt2	unknown	0.20	unknown	0.20	unknown
