file	default	default_ms	ematch	ematch_ms	noematch	noematch_ms	neither	neither_ms	status
UFNIA/2019-Preiner/combined/f2_rw343.smt2	unsat	107	unsat	206	unknown	106	unknown	106	unknown
UFNIA/2019-Preiner/full/t3_rw189.smt2	unsat	106	unsat	106	unsat	106	unsat	106	unknown
UFNIA/2019-Preiner/partial/t3_rw514.smt2	unknown	106	unknown	106	unknown	106	unknown	106	unknown
UFNIA/2019-Zohar-ic/combined/int_check_bvsle_bvashr0_rtl.smt2	unsat	5911	unsat	6112	unknown	107	unknown	107	unknown
UFNIA/2019-Zohar-ic/partial/int_check_bvsle_bvudiv1_ltr_no_inv.smt2	unsat	207	unknown	106	unsat	107	unknown	107	unsat
UFNIA/lahiri-cav09-storm-queries/mqueue_example_2_2_2_4.smt2	unsat	10516	unsat	10516	unsat	11116	unsat	10917	unsat
UFNIA/sledgehammer/Fundamental_Theorem_Algebra/z3.844134.smt2	unsat	2509	unsat	1908	unknown	107	unknown	107	unsat
UFNIA/spec_sharp/specsharp-BoundedStack.3.BoundedStack..ctor_System.Int32.smt2	unsat	4110	unsat	4110	unknown	107	unknown	106	unsat
UFNIA/spec_sharp/textbook-Sum.dll.6.C.TransformQuant_System.Int32.array_notnull.smt2	unsat	106	unsat	107	unknown	107	unknown	106	unsat
UFNIA/vcc-havoc/havoc-bench_sum.1.bar.smt2	unsat	207	unsat	207	unknown	107	unknown	107	unsat
