file	default	default_ms	ematch	ematch_ms	noematch	noematch_ms	neither	neither_ms	status
UFNIA/2019-Preiner/combined/t3_rw96.smt2	unsat	108	unsat	107	unsat	109	unsat	107	unknown
UFNIA/2019-Preiner/partial/f2_rw58.smt2	unsat	109	unsat	107	unknown	108	unknown	107	unknown
UFNIA/2019-Preiner/partial/t3_rw940.smt2	unknown	106	unknown	107	unknown	108	unknown	107	unknown
UFNIA/2019-Zohar-ic/full/int_check_bvslt_bvurem1_ltr_no_inv.smt2	unsat	108	NONE	26210	unsat	110	unknown	110	unsat
UFNIA/2019-Zohar-ic/qf/int_check_bvuge_bvor_ltr_no_inv.smt2	unknown	112	unknown	110	unknown	110	unknown	109	unknown
UFNIA/lahiri-cav09-storm-queries/usbsamp_example_2_3_4_0.smt2	unsat	308	unsat	309	unsat	209	unsat	208	unsat
UFNIA/sledgehammer/TwoSquares/z3.647259.smt2	unsat	108	unsat	109	unknown	109	unknown	108	unsat
UFNIA/spec_sharp/test14-DafnyAst.ssc.91.Microsoft.Dafny.VarDecl..ctor_Microsoft.Dafny.Token_notnull_System.String_notnull_Microsoft.Dafny.Ty.smt2	unsat	18527	unsat	18127	unknown	308	unknown	308	unsat
UFNIA/vcc-havoc/baby.59.handle_reset.smt2	unsat	4112	unsat	4012	unknown	208	unknown	208	unsat
UFNIA/vcc-havoc/verisoft-baby.c.49.pf_reason_m.smt2	unsat	9817	unsat	10518	unknown	207	unknown	208	unsat
