file	default	default_ms	ematch	ematch_ms	noematch	noematch_ms	neither	neither_ms	status
UFNIA/2019-Preiner/combined/f2_rw160.smt2	unsat	106	unsat	307	unsat	106	unsat	106	unknown
UFNIA/2019-Preiner/full/t3_rw1240.smt2	unsat	106	unsat	106	unsat	106	unsat	106	unknown
UFNIA/2019-Preiner/partial/t3_rw21.smt2	unsat	106	unsat	105	unsat	106	unsat	107	unknown
UFNIA/2019-Preiner/qf/t3_rw353.smt2	unsat	8913	unsat	8715	unsat	8815	unsat	8915	unknown
UFNIA/2019-Zohar-ic/partial/int_check_bvsgt_bvlshr0_ltr_no_inv.smt2	NONE	26202	unknown	206	NONE	26198	unknown	107	unknown
UFNIA/20190909-CLEARSY/0023/00302.smt2	unknown	307	unknown	307	unknown	106	unknown	107	unknown
UFNIA/sledgehammer/Fundamental_Theorem_Algebra/z3.1031223.smt2	NONE	26200	NONE	26207	unknown	108	unknown	108	unsat
UFNIA/sledgehammer/TwoSquares/z3.861593.smt2	unsat	109	unsat	108	unsat	108	unsat	108	unsat
UFNIA/spec_sharp/textbook-Factorial.dll.1.Factorial.F_System.Int32.smt2	NONE	26207	NONE	26206	unknown	108	unknown	108	unsat
UFNIA/vcc-havoc/havoc-bench_dlist_insert_head.12.ua_wcscpy.smt2	unsat	108	unsat	108	unsat	108	unsat	108	unsat
UFNIA/vcc-havoc/verisoft-sim.c.2.25.untranslated_write_sim.smt2	unsat	306	unsat	307	unknown	208	unknown	208	unsat
