file	A	A_rc	A_ms	A_rss	A2	A2_rc	A2_ms	A2_rss	B	B_rc	B_ms	B_rss	C	C_rc	C_ms	C_rss	D	D_rc	D_ms	D_rss	first	status
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	none	134	6097	7824668	none	134	6093	7824752	none	134	6093	7824264	none	134	6296	7771240	none	134	6109	7769212	A	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/Labyrinth/SCC_Strong/0132-labyrinth-12-0.smt2	unknown	0	25136	1397812	unknown	0	25442	7434920	unknown	0	25140	6864756	none	134	27319	7824892	unknown	0	25241	5572008	A2	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/robotics/4_3.smt2	unsat	0	113	11996	unsat	0	113	11284	unsat	0	113	11612	unsat	0	114	11772	unsat	0	113	11332	B	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/DTP-Scheduling/constraints-cooking06.smt2	sat	0	113	12108	sat	0	114	12048	sat	0	113	11956	sat	0	113	12048	sat	0	113	12100	C	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/DTP-Scheduling/constraints-tempo-width-40.smt2	sat	0	1114	69532	sat	0	1113	69708	sat	0	1116	69356	sat	0	1114	69444	sat	0	1214	69464	D	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate.smt2	none	134	11810	7785016	none	134	11511	7784828	none	134	11714	7743252	none	134	11726	7784864	none	134	11812	7591124	A	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/ex11.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	none	134	7903	7797848	none	134	7917	7798320	none	134	7909	7796628	none	134	9411	7699152	none	134	7717	7699880	A2	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/ludcmp.c.i.ludcmp.pl.t2.fixed.t2.c_Iteration8_Loop_7-phaseTemplate.smt2	none	134	5997	7788856	none	134	5795	7789248	none	134	6018	7787916	none	134	6103	7817704	none	134	6004	7817432	B	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration3_Lasso_5-phaseTemplate.smt2	none	134	5897	7802280	none	134	6794	7796860	none	134	6404	7794956	none	134	6297	7808724	none	134	5895	7807584	C	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/Ben-Amram-2010LMCS-Ex2.3_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2	none	134	6403	7777488	none	134	6193	7777492	none	134	5993	7713004	none	134	8841	7794484	none	134	6821	7792928	D	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/LeeJonesBen-Amram-2001POPL-Ex5_true-termination.c_Iteration2_Loop_7-phaseTemplate.smt2	none	134	6295	7782676	none	134	6386	7782516	none	134	5492	7777156	none	134	5891	7791100	none	134	6469	7791156	A	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/Ultimate/2013POPL-BenAmGen-Ex4.2.bpl_Iteration1_Lasso_4-pieceTemplate.smt2	unknown	0	24038	141936	unknown	0	24038	141968	unknown	0	24039	125620	unknown	0	24132	141612	unknown	0	24039	125312	A2	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/Ultimate/Lobnya-Boolean-Reordered.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	unknown	0	25242	5319472	unknown	0	24431	5319648	unknown	0	25034	4992136	none	134	5692	7813668	none	134	5691	7811624	B	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/Ultimate/simple-scaled200.bpl_Iteration1_Lasso_7-nestedTemplate.smt2	none	134	7918	7771964	none	134	8127	7771256	none	134	8076	7671612	none	134	7501	7772064	none	134	7492	7810244	C	sat
