file	A	A_rc	A_ms	A_rss	A2	A2_rc	A2_ms	A2_rss	B	B_rc	B_ms	B_rss	C	C_rc	C_ms	C_rss	D	D_rc	D_ms	D_rss	first	status
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/2019-Jiang/slog/slog_stranger_1209_sink.smt2	unsat	0	110	11712	na	na	na	na	unsat	0	109	11492	na	na	na	na	na	na	na	na	A	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/2019-Jiang/slog/slog_stranger_2251_sink.smt2	unsat	0	109	10392	na	na	na	na	unsat	0	109	10636	na	na	na	na	na	na	na	na	B	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/2019-Jiang/slog/slog_stranger_3544_sink.smt2	unknown	0	24232	60352	na	na	na	na	unknown	0	24429	59684	na	na	na	na	na	na	na	na	A	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/2019-Jiang/slog/slog_stranger_630_sink.smt2	unknown	0	811	49388	na	na	na	na	unknown	0	812	48340	na	na	na	na	na	na	na	na	B	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance00031.smt2	sat	0	110	10372	na	na	na	na	sat	0	109	10636	na	na	na	na	na	na	na	na	A	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance00595.smt2	sat	0	110	10952	na	na	na	na	sat	0	110	11028	na	na	na	na	na	na	na	na	B	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance01159.smt2	sat	0	110	11252	na	na	na	na	sat	0	109	11196	na	na	na	na	na	na	na	na	A	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance01723.smt2	sat	0	109	10504	na	na	na	na	sat	0	110	10496	na	na	na	na	na	na	na	na	B	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance02287.smt2	sat	0	109	11028	na	na	na	na	sat	0	109	11040	na	na	na	na	na	na	na	na	A	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_S/20230329-automatark-lu/instance02851.smt2	sat	0	109	10788	na	na	na	na	sat	0	109	10960	na	na	na	na	na	na	na	na	B	sat
