file	A	A_rc	A_ms	A_rss	A2	A2_rc	A2_ms	A2_rss	B	B_rc	B_ms	B_rss	C	C_rc	C_ms	C_rss	D	D_rc	D_ms	D_rss	first	status
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_array1.i_3_2_2.bpl_11.smt2	unknown	0	24133	40904	unknown	0	24032	40412	unknown	0	24032	40932	unknown	0	24033	38968	unknown	0	24035	38904	A	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	unknown	0	24538	2831260	unknown	0	24440	2831616	unknown	0	24339	2329172	none	134	7106	7816336	none	134	6801	7816356	A2	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/blending/24.smt2	sat	0	4516	28892	sat	0	4519	29344	sat	0	4617	29020	sat	0	4618	28752	sat	0	4518	29344	B	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_0.lp.smt2	unknown	0	24340	836608	unknown	0	24235	836380	unknown	0	24234	735640	unknown	0	25039	4513348	unknown	0	24937	4513240	C	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/DTP-Scheduling/constraints-tempo-depth-30.smt2	sat	0	111	14592	sat	0	110	15008	sat	0	111	14772	sat	0	111	14756	sat	0	111	14704	D	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/DTP-Scheduling/constraints-tms-2-3-light-04.smt2	sat	0	110	11576	sat	0	110	11936	sat	0	110	12024	sat	0	111	12060	sat	0	110	12292	A	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	none	134	9592	7762704	none	134	14557	7763168	none	134	9490	7620020	none	134	10312	7762608	none	134	10220	7689188	A2	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration1_Loop_4-lexTemplate.smt2	none	134	7402	7785272	none	134	7392	7785388	none	134	7489	7762972	none	134	7488	7785056	none	134	7288	7611920	B	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/p-43.t2.c_Iteration4_Loop_4-pieceTemplate.smt2	none	134	6593	7790096	none	134	6592	7790240	none	134	6492	7780792	none	134	6093	7786144	none	134	5593	7783820	C	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration7_Loop_7-phaseTemplate.smt2	none	134	10993	7780076	none	134	10989	7780244	none	134	12146	7523148	none	134	11090	7780160	none	134	11195	7758568	D	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/GulwaniJainKoskinen-2009PLDI-Fig1_true-termination.c_Iteration1_Lasso_4-pieceTemplate.smt2	none	134	27524	7819140	none	134	26508	7819276	none	134	26409	7355412	none	134	26905	7819192	none	134	27681	7817236	A	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/TelAviv-Amir-Minimum_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2	none	134	22398	7427060	none	134	23725	7420348	none	134	23608	7127720	none	134	22499	7429112	none	134	22498	7216120	A2	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/Ultimate/Collatz.bpl_Iteration1_Loop_6-phaseTemplate.smt2	none	134	13191	7767816	none	134	13400	7767752	none	134	13090	7399132	none	134	13190	7739732	none	134	13191	7318632	B	unsat
