file	key	verdict	rc	ms	maxrss_kb	lazy	route
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	aa2cafa10d95	unknown	0	24341	2832120	; lazy-smt reading=measured lra_entries=1 lra_rounds=75 nra_entries=0 nra_rounds=0 nia_entries=0 nia_rounds=0 lra_hist=8:63,9:4,10:8 lra_max_ms=1020 lra_max_round=1 nra_hist=- nra_max_ms=0 nra_max_round=0 nia_hist=- nia_max_ms=0 nia_max_round=0 pending_round_ms=0 skeleton_ms=3333 skeleton_sat=75 skeleton_unsat=0 skeleton_unknown=0 theory_ms=20459 theory_sat=0 theory_unsat=74 theory_unknown=1 core_ms=31 blocking_clauses=74 blocking_literals=293 atoms=7546 cores_reused=74 cores_rederived=0 cores_rederived_absent=0 cores_rederived_stale=0 cores_rederived_unverified=0 cores_full_assignment=0 accounted_ms=23824 cube_flips=305 cube_identical=0 cube_decisions=75 cube_collect_ms=1162 cube_fm_ms=0 cube_fm_declines=0 cube_simplex_ms=19249 cube_simplex_calls=75 cube_matrices=0 online_probe=admission-screen	; route decided_by=none bound_by=nra last=fd:bounded-completeness-unsat bound_ms=23934 total_ms=24043 attempts=14
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	5b242e83555c	none	134	9696	7763136	none	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/hongyi1.t2.c_Iteration1_Loop_4-lexTemplate.smt2	0516380bb189	none	134	7407	7780972	none	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/p-43.t2.c_Iteration4_Loop_4-pieceTemplate.smt2	cf229f9392c4	none	134	5793	7790752	none	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration7_Loop_7-phaseTemplate.smt2	98bf0e2a17e2	none	134	11627	7780708	none	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_3-pieceTemplate.smt2	52bd79786c12	none	134	20714	7743932	none	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/joey_false-termination.c_Iteration1_Loop_7-phaseTemplate.smt2	286ec64c0bba	unknown	0	25141	4882184	; lazy-smt reading=measured lra_entries=1 lra_rounds=17 nra_entries=0 nra_rounds=0 nia_entries=0 nia_rounds=0 lra_hist=10:1,11:16 lra_max_ms=1861 lra_max_round=1 nra_hist=- nra_max_ms=0 nra_max_round=0 nia_hist=- nia_max_ms=0 nia_max_round=0 pending_round_ms=0 skeleton_ms=1811 skeleton_sat=17 skeleton_unsat=0 skeleton_unknown=0 theory_ms=21641 theory_sat=0 theory_unsat=16 theory_unknown=1 core_ms=13 blocking_clauses=16 blocking_literals=59 atoms=10514 cores_reused=16 cores_rederived=0 cores_rederived_absent=0 cores_rederived_stale=0 cores_rederived_unverified=0 cores_full_assignment=0 accounted_ms=23467 cube_flips=17 cube_identical=0 cube_decisions=17 cube_collect_ms=820 cube_fm_ms=0 cube_fm_declines=0 cube_simplex_ms=20795 cube_simplex_calls=17 cube_matrices=0 online_probe=admission-screen	; route decided_by=none bound_by=nra last=fd:bounded-completeness-unsat bound_ms=24725 total_ms=24958 attempts=14
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/Ultimate/OpposedDisjuncts.bpl_Iteration1_Lasso_2-pieceTemplate.smt2	85800a3d246c	unknown	0	24340	5285380	; lazy-smt reading=measured lra_entries=1 lra_rounds=15 nra_entries=0 nra_rounds=0 nia_entries=0 nia_rounds=0 lra_hist=8:1,11:14 lra_max_ms=1891 lra_max_round=1 nra_hist=- nra_max_ms=0 nra_max_round=0 nia_hist=- nia_max_ms=0 nia_max_round=0 pending_round_ms=0 skeleton_ms=1852 skeleton_sat=15 skeleton_unsat=0 skeleton_unknown=0 theory_ms=20505 theory_sat=0 theory_unsat=14 theory_unknown=1 core_ms=7 blocking_clauses=14 blocking_literals=29 atoms=10775 cores_reused=14 cores_rederived=0 cores_rederived_absent=0 cores_rederived_stale=0 cores_rederived_unverified=0 cores_full_assignment=0 accounted_ms=22364 cube_flips=14 cube_identical=0 cube_decisions=14 cube_collect_ms=331 cube_fm_ms=0 cube_fm_declines=0 cube_simplex_ms=20162 cube_simplex_calls=14 cube_matrices=0 online_probe=admission-screen	; route decided_by=none bound_by=nra last=fd:bounded-completeness-unsat bound_ms=24007 total_ms=24181 attempts=14
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled75.bpl_Iteration1_Loop_7-phaseTemplate.smt2	16531fd7108a	none	134	10313	7764700	none	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/miplib/vpm2-5.smt2	65ea41b54c3f	unknown	0	24141	288680	; lazy-smt reading=measured lra_entries=1 lra_rounds=514 nra_entries=0 nra_rounds=0 nia_entries=0 nia_rounds=0 lra_hist=5:1,6:512,8:1 lra_max_ms=135 lra_max_round=1 nra_hist=- nra_max_ms=0 nra_max_round=0 nia_hist=- nia_max_ms=0 nia_max_round=0 pending_round_ms=0 skeleton_ms=7542 skeleton_sat=514 skeleton_unsat=0 skeleton_unknown=0 theory_ms=16266 theory_sat=0 theory_unsat=513 theory_unknown=1 core_ms=54 blocking_clauses=513 blocking_literals=1494 atoms=2401 cores_reused=513 cores_rederived=0 cores_rederived_absent=0 cores_rederived_stale=0 cores_rederived_unverified=0 cores_full_assignment=0 accounted_ms=23863 cube_flips=1789 cube_identical=0 cube_decisions=513 cube_collect_ms=952 cube_fm_ms=0 cube_fm_declines=0 cube_simplex_ms=15267 cube_simplex_calls=513 cube_matrices=0 online_probe=admission-screen	; route decided_by=none bound_by=nra last=fd:bounded-completeness-unsat bound_ms=23986 total_ms=24014 attempts=14
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-19.base.cvc.smt2	65f30634b69b	unknown	0	24039	98752	; lazy-smt reading=measured lra_entries=1 lra_rounds=810 nra_entries=0 nra_rounds=0 nia_entries=0 nia_rounds=0 lra_hist=4:128,5:402,6:279,7:1 lra_max_ms=67 lra_max_round=737 nra_hist=- nra_max_ms=0 nra_max_round=0 nia_hist=- nia_max_ms=0 nia_max_round=0 pending_round_ms=0 skeleton_ms=10807 skeleton_sat=810 skeleton_unsat=0 skeleton_unknown=0 theory_ms=12514 theory_sat=0 theory_unsat=809 theory_unknown=1 core_ms=81 blocking_clauses=809 blocking_literals=25756 atoms=1322 cores_reused=809 cores_rederived=0 cores_rederived_absent=0 cores_rederived_stale=0 cores_rederived_unverified=0 cores_full_assignment=0 accounted_ms=23404 cube_flips=2101 cube_identical=0 cube_decisions=809 cube_collect_ms=575 cube_fm_ms=0 cube_fm_declines=0 cube_simplex_ms=11882 cube_simplex_calls=809 cube_matrices=0 online_probe=model-did-not-replay	; route decided_by=none bound_by=nra last=fd:bounded-completeness-unsat bound_ms=23998 total_ms=24011 attempts=14
