file	key	verdict	rc	ms	maxrss_kb	lazy	route
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/2017-Heizmann-UltimateInvariantSynthesis/_standard_init5_ground.i_3_2_2.bpl_7.smt2	8b0019fcf4a8	unknown	0	24136	148184	; lazy-smt reading=measured lra_entries=1 lra_rounds=905 nra_entries=0 nra_rounds=0 nia_entries=0 nia_rounds=0 lra_hist=5:904,7:1 lra_max_ms=66 lra_max_round=1 nra_hist=- nra_max_ms=0 nra_max_round=0 nia_hist=- nia_max_ms=0 nia_max_round=0 pending_round_ms=0 skeleton_ms=8520 skeleton_sat=905 skeleton_unsat=0 skeleton_unknown=0 theory_ms=15151 theory_sat=0 theory_unsat=904 theory_unknown=1 core_ms=81 blocking_clauses=904 blocking_literals=4766 atoms=1839 cores_reused=904 cores_rederived=0 cores_rederived_absent=0 cores_rederived_stale=0 cores_rederived_unverified=0 cores_full_assignment=0 accounted_ms=23752 cube_flips=2694 cube_identical=0 cube_decisions=905 cube_collect_ms=4715 cube_fm_ms=0 cube_fm_declines=0 cube_simplex_ms=10371 cube_simplex_calls=905 cube_matrices=0 online_probe=admission-screen	; route decided_by=none bound_by=nra last=fd:bounded-completeness-unsat bound_ms=23987 total_ms=24023 attempts=14
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/collatz.t2.c_Iteration3_Loop_7-phaseTemplate.smt2	e49cb1b999b4	unknown	0	25036	5351268	; lazy-smt reading=measured lra_entries=1 lra_rounds=12 nra_entries=0 nra_rounds=0 nia_entries=0 nia_rounds=0 lra_hist=10:1,11:1,12:10 lra_max_ms=2199 lra_max_round=3 nra_hist=- nra_max_ms=0 nra_max_round=0 nia_hist=- nia_max_ms=0 nia_max_round=0 pending_round_ms=0 skeleton_ms=3871 skeleton_sat=12 skeleton_unsat=0 skeleton_unknown=0 theory_ms=20438 theory_sat=0 theory_unsat=11 theory_unknown=1 core_ms=8 blocking_clauses=11 blocking_literals=16 atoms=12594 cores_reused=11 cores_rederived=0 cores_rederived_absent=0 cores_rederived_stale=0 cores_rederived_unverified=0 cores_full_assignment=0 accounted_ms=24318 cube_flips=12 cube_identical=0 cube_decisions=12 cube_collect_ms=767 cube_fm_ms=0 cube_fm_declines=0 cube_simplex_ms=19654 cube_simplex_calls=12 cube_matrices=0 online_probe=admission-screen	; route decided_by=none bound_by=nra last=fd:bounded-completeness-unsat bound_ms=24393 total_ms=24688 attempts=14
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/firewire.t2.c_Iteration3_Loop_4-pieceTemplate.smt2	0a2092c28195	none	134	5987	7817124	none	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/matrixsqrt.t2.c_Iteration12_Loop_7-phaseTemplate.smt2	22b4491d3e54	unknown	0	24434	4480960	; lazy-smt reading=measured lra_entries=1 lra_rounds=33 nra_entries=0 nra_rounds=0 nia_entries=0 nia_rounds=0 lra_hist=9:24,10:2,11:7 lra_max_ms=1735 lra_max_round=3 nra_hist=- nra_max_ms=0 nra_max_round=0 nia_hist=- nia_max_ms=0 nia_max_round=0 pending_round_ms=0 skeleton_ms=2781 skeleton_sat=33 skeleton_unsat=0 skeleton_unknown=0 theory_ms=19860 theory_sat=0 theory_unsat=32 theory_unknown=1 core_ms=25 blocking_clauses=32 blocking_literals=52 atoms=11398 cores_reused=32 cores_rederived=0 cores_rederived_absent=0 cores_rederived_stale=0 cores_rederived_unverified=0 cores_full_assignment=0 accounted_ms=22667 cube_flips=32 cube_identical=0 cube_decisions=33 cube_collect_ms=1928 cube_fm_ms=0 cube_fm_declines=0 cube_simplex_ms=17888 cube_simplex_calls=33 cube_matrices=0 online_probe=admission-screen	; route decided_by=none bound_by=nra last=fd:bounded-completeness-unsat bound_ms=23839 total_ms=24082 attempts=14
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/CooperatingT2/sas2.t2.c_Iteration6_Lasso_6-phaseTemplate.smt2	5aeb66a3bc10	none	134	7191	7754476	none	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/CookSeeZuleger-2013TACAS-Fig3_true-termination.c_Iteration1_Loop_4-pieceTemplate.smt2	b87348ecd58b	none	134	8190	7744524	none	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/SV-COMP/aviad_true-termination.c_Iteration1_Loop_4-nestedTemplate.smt2	121fdbb3a698	none	134	10972	7733472	none	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/Ultimate/Gcd_havoc.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	2e81e77657a7	unknown	0	24236	1922460	; lazy-smt reading=measured lra_entries=1 lra_rounds=46 nra_entries=0 nra_rounds=0 nia_entries=0 nia_rounds=0 lra_hist=8:23,10:23 lra_max_ms=842 lra_max_round=8 nra_hist=- nra_max_ms=0 nra_max_round=0 nia_hist=- nia_max_ms=0 nia_max_round=0 pending_round_ms=0 skeleton_ms=4333 skeleton_sat=46 skeleton_unsat=0 skeleton_unknown=0 theory_ms=19494 theory_sat=0 theory_unsat=45 theory_unknown=1 core_ms=28 blocking_clauses=45 blocking_literals=99 atoms=6974 cores_reused=45 cores_rederived=0 cores_rederived_absent=0 cores_rederived_stale=0 cores_rederived_unverified=0 cores_full_assignment=0 accounted_ms=23856 cube_flips=45 cube_identical=0 cube_decisions=46 cube_collect_ms=1273 cube_fm_ms=0 cube_fm_declines=0 cube_simplex_ms=18174 cube_simplex_calls=46 cube_matrices=0 online_probe=admission-screen	; route decided_by=none bound_by=nra last=fd:bounded-completeness-unsat bound_ms=23934 total_ms=24040 attempts=14
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/LassoRanker/Ultimate/yPositive-SIscaled50.bpl_Iteration1_Loop_4-pieceTemplate.smt2	06a8f1d1baa0	none	134	6598	7816176	none	none
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/miplib/opt1217--57.smt2	48a665b895a3	unknown	0	24137	1027356	; lazy-smt reading=measured lra_entries=1 lra_rounds=183 nra_entries=0 nra_rounds=0 nia_entries=0 nia_rounds=0 lra_hist=7:143,8:39,9:1 lra_max_ms=431 lra_max_round=1 nra_hist=- nra_max_ms=0 nra_max_round=0 nia_hist=- nia_max_ms=0 nia_max_round=0 pending_round_ms=0 skeleton_ms=9194 skeleton_sat=183 skeleton_unsat=0 skeleton_unknown=0 theory_ms=14574 theory_sat=0 theory_unsat=182 theory_unknown=1 core_ms=46 blocking_clauses=182 blocking_literals=574 atoms=4917 cores_reused=182 cores_rederived=0 cores_rederived_absent=0 cores_rederived_stale=0 cores_rederived_unverified=0 cores_full_assignment=0 accounted_ms=23815 cube_flips=252 cube_identical=0 cube_decisions=183 cube_collect_ms=529 cube_fm_ms=0 cube_fm_declines=0 cube_simplex_ms=13977 cube_simplex_calls=183 cube_matrices=0 online_probe=admission-screen	; route decided_by=none bound_by=nra last=fd:bounded-completeness-unsat bound_ms=23961 total_ms=24043 attempts=14
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-17.base.cvc.smt2	7b7635af0aaf	unknown	0	24138	82764	; lazy-smt reading=measured lra_entries=1 lra_rounds=885 nra_entries=0 nra_rounds=0 nia_entries=0 nia_rounds=0 lra_hist=4:141,5:448,6:296 lra_max_ms=42 lra_max_round=883 nra_hist=- nra_max_ms=0 nra_max_round=0 nia_hist=- nia_max_ms=0 nia_max_round=0 pending_round_ms=0 skeleton_ms=12159 skeleton_sat=885 skeleton_unsat=0 skeleton_unknown=0 theory_ms=11214 theory_sat=0 theory_unsat=884 theory_unknown=1 core_ms=77 blocking_clauses=884 blocking_literals=30215 atoms=1184 cores_reused=884 cores_rederived=0 cores_rederived_absent=0 cores_rederived_stale=0 cores_rederived_unverified=0 cores_full_assignment=0 accounted_ms=23451 cube_flips=2361 cube_identical=0 cube_decisions=884 cube_collect_ms=574 cube_fm_ms=0 cube_fm_declines=0 cube_simplex_ms=10591 cube_simplex_calls=884 cube_matrices=0 online_probe=model-did-not-replay	; route decided_by=none bound_by=nra last=fd:bounded-completeness-unsat bound_ms=24005 total_ms=24016 attempts=14
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-29.base.cvc.smt2	401934930876	unknown	0	24138	201340	; lazy-smt reading=measured lra_entries=1 lra_rounds=657 nra_entries=0 nra_rounds=0 nia_entries=0 nia_rounds=0 lra_hist=5:230,6:414,7:13 lra_max_ms=87 lra_max_round=1 nra_hist=- nra_max_ms=0 nra_max_round=0 nia_hist=- nia_max_ms=0 nia_max_round=0 pending_round_ms=0 skeleton_ms=7606 skeleton_sat=657 skeleton_unsat=0 skeleton_unknown=0 theory_ms=16104 theory_sat=0 theory_unsat=656 theory_unknown=1 core_ms=67 blocking_clauses=656 blocking_literals=7310 atoms=2012 cores_reused=656 cores_rederived=0 cores_rederived_absent=0 cores_rederived_stale=0 cores_rederived_unverified=0 cores_full_assignment=0 accounted_ms=23778 cube_flips=1249 cube_identical=0 cube_decisions=657 cube_collect_ms=601 cube_fm_ms=0 cube_fm_declines=0 cube_simplex_ms=15443 cube_simplex_calls=657 cube_matrices=0 online_probe=admission-screen	; route decided_by=none bound_by=nra last=fd:bounded-completeness-unsat bound_ms=23986 total_ms=24005 attempts=14
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_LRA/sc/sc-9.base.cvc.smt2	04f30ad6d896	unknown	0	24136	38368	; lazy-smt reading=measured lra_entries=1 lra_rounds=1359 nra_entries=0 nra_rounds=0 nia_entries=0 nia_rounds=0 lra_hist=2:11,3:267,4:364,5:711,6:6 lra_max_ms=34 lra_max_round=1349 nra_hist=- nra_max_ms=0 nra_max_round=0 nia_hist=- nia_max_ms=0 nia_max_round=0 pending_round_ms=0 skeleton_ms=18960 skeleton_sat=1359 skeleton_unsat=0 skeleton_unknown=0 theory_ms=4785 theory_sat=0 theory_unsat=1358 theory_unknown=1 core_ms=46 blocking_clauses=1358 blocking_literals=31072 atoms=632 cores_reused=1358 cores_rederived=0 cores_rederived_absent=0 cores_rederived_stale=0 cores_rederived_unverified=0 cores_full_assignment=0 accounted_ms=23793 cube_flips=3804 cube_identical=0 cube_decisions=1358 cube_collect_ms=381 cube_fm_ms=0 cube_fm_declines=0 cube_simplex_ms=4376 cube_simplex_calls=1358 cube_matrices=0 online_probe=model-did-not-replay	; route decided_by=none bound_by=nra last=fd:bounded-completeness-unsat bound_ms=24009 total_ms=24015 attempts=14
