run	status	arm	core	verdict	decided_by	elapsed_ms	rc
r1	complete	nested1	UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	unknown	decided_by=none	24633	0
r1	complete	nested1	UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	207	0
r1	complete	nested1	UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	unknown	decided_by=none	24125	0
r1	complete	nested1	UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	unknown	decided_by=none	24233	0
r1	complete	nested1	UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	unknown	decided_by=none	19027	0
r1	complete	nested1	UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	unknown	decided_by=none	14523	0
r1	complete	nested1	UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	unknown	decided_by=none	23425	0
r1	complete	nested1	UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	unknown	decided_by=none	24133	0
r1	complete	nested1	UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	unknown	decided_by=none	23226	0
r1	complete	nested1	UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	unknown	decided_by=none	25034	0
r1	complete	nested1	UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	unknown	decided_by=none	25128	0
r1	complete	nested1	UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	108	0
r1	complete	nested1	UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	unsat	decided_by=q:egraph	2511	0
r1	complete	nested1	UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	unknown	decided_by=none	4213	0
r1	complete	nested1	UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	unknown	decided_by=none	25035	0
r1	complete	nested1	UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	unknown	decided_by=none	25136	0
r1	complete	nested1	UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	unknown	decided_by=none	14422	0
r1	complete	nested1	UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	708	0
r1	complete	nested1	UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	unknown	decided_by=none	13818	0
r1	complete	nested1	UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	unknown	decided_by=none	19629	0
r1	complete	nested1	UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	unsat	decided_by=q:mbqi	4313	0
r1	complete	nested1	UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	unknown	decided_by=none	25135	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	208	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	unknown	decided_by=none	14923	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	209	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	unknown	decided_by=none	25034	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	unknown	decided_by=none	16825	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	unsat	decided_by=q:bool-skeleton	108	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.ast.TypeModifierPragmaVec.013.smt2.core.smt2	unknown	decided_by=none	14324	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.ast.VariableAccess.001.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	209	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.filespace.HashTree.001.smt2.core.smt2	unknown	decided_by=none	14926	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.filespace.ZipTree.005.smt2.core.smt2	unknown	decided_by=none	22033	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.parser.Parse.005.smt2.core.smt2	unknown	decided_by=none	24335	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.parser.TagConstants.001.smt2.core.smt2	unknown	decided_by=none	21533	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.reader.CachedReader.003.smt2.core.smt2	unknown	decided_by=none	17226	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	unknown	decided_by=none	22625	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	unknown	decided_by=none	25034	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.tc.TypeSig.001.smt2.core.smt2	unknown	decided_by=none	24528	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.tc.TypeSigVec.005.smt2.core.smt2	unknown	decided_by=none	16628	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.tc.Types.035.smt2.core.smt2	unknown	decided_by=none	24435	0
r1	complete	nested1	UFLIA_simplify2_front_end_suite_javafe.test.SuperlinksTest.004.smt2.core.smt2	unknown	decided_by=none	15423	0
r1	complete	nested1	UFLIA_simplify2_small_suite_getRootInterface.smt2.core.smt2	unknown	decided_by=none	24233	0
r1	complete	nested1	UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	unknown	decided_by=none	108	0
r1	complete	nested1	UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	12119	0
r1	complete	nested1	UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2	unknown	decided_by=none	108	0
r1	complete	nested1	UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	107	0
r1	complete	nested1	UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2	unsat	decided_by=q:egraph	12120	0
r1	complete	nested1	UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2	unknown	decided_by=none	1510	0
r1	complete	nested1	UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	108	0
r1	complete	nested1	UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	109	0
r1	complete	nested1	UFLIA_sledgehammer_QEpres_smtlib.1120322.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	108	0
r1	complete	nested1	UFLIA_sledgehammer_QEpres_smtlib.1237382.smt2.core.smt2	unknown	decided_by=none	12822	0
r1	complete	nested1	UFLIA_tokeneer_auditlog_init-31.smt2.core.smt2	unknown	decided_by=none	24233	0
r1	complete	nested2	UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	unknown	decided_by=none	24333	0
r1	complete	nested2	UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	207	0
r1	complete	nested2	UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	unknown	decided_by=none	24134	0
r1	complete	nested2	UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	unknown	decided_by=none	24133	0
r1	complete	nested2	UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	unknown	decided_by=none	18926	0
r1	complete	nested2	UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	unknown	decided_by=none	14523	0
r1	complete	nested2	UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	unknown	decided_by=none	24127	0
r1	complete	nested2	UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	unknown	decided_by=none	24132	0
r1	complete	nested2	UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	unknown	decided_by=none	22931	0
r1	complete	nested2	UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	unknown	decided_by=none	24933	0
r1	complete	nested2	UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	unknown	decided_by=none	25035	0
r1	complete	nested2	UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	108	0
r1	complete	nested2	UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	unsat	decided_by=q:egraph	2510	0
r1	complete	nested2	UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	unknown	decided_by=none	4113	0
r1	complete	nested2	UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	unknown	decided_by=none	25034	0
r1	complete	nested2	UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	unknown	decided_by=none	25127	0
r1	complete	nested2	UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	unknown	decided_by=none	16125	0
r1	complete	nested2	UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	709	0
r1	complete	nested2	UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	unknown	decided_by=none	13823	0
r1	complete	nested2	UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	unknown	decided_by=none	19829	0
r1	complete	nested2	UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	unsat	decided_by=q:mbqi	4211	0
r1	complete	nested2	UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	unknown	decided_by=none	25035	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	209	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	unknown	decided_by=none	14419	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	207	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	unknown	decided_by=none	23531	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	unknown	decided_by=none	19026	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	unsat	decided_by=q:bool-skeleton	108	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.ast.TypeModifierPragmaVec.013.smt2.core.smt2	unknown	decided_by=none	15624	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.ast.VariableAccess.001.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	207	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.filespace.HashTree.001.smt2.core.smt2	unknown	decided_by=none	15023	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.filespace.ZipTree.005.smt2.core.smt2	unknown	decided_by=none	21933	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.parser.Parse.005.smt2.core.smt2	unknown	decided_by=none	24134	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.parser.TagConstants.001.smt2.core.smt2	unknown	decided_by=none	21231	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.reader.CachedReader.003.smt2.core.smt2	unknown	decided_by=none	17226	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	unknown	decided_by=none	22732	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	unknown	decided_by=none	24130	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.tc.TypeSig.001.smt2.core.smt2	unknown	decided_by=none	24225	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.tc.TypeSigVec.005.smt2.core.smt2	unknown	decided_by=none	18121	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.tc.Types.035.smt2.core.smt2	unknown	decided_by=none	23934	0
r1	complete	nested2	UFLIA_simplify2_front_end_suite_javafe.test.SuperlinksTest.004.smt2.core.smt2	unknown	decided_by=none	15322	0
r1	complete	nested2	UFLIA_simplify2_small_suite_getRootInterface.smt2.core.smt2	unknown	decided_by=none	24229	0
r1	complete	nested2	UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	unknown	decided_by=none	108	0
r1	complete	nested2	UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	12122	0
r1	complete	nested2	UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2	unknown	decided_by=none	106	0
r1	complete	nested2	UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	107	0
r1	complete	nested2	UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2	unsat	decided_by=q:egraph	12120	0
r1	complete	nested2	UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2	unknown	decided_by=none	13021	0
r1	complete	nested2	UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	109	0
r1	complete	nested2	UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	108	0
r1	complete	nested2	UFLIA_sledgehammer_QEpres_smtlib.1120322.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	108	0
r1	complete	nested2	UFLIA_sledgehammer_QEpres_smtlib.1237382.smt2.core.smt2	unknown	decided_by=none	12823	0
r1	complete	nested2	UFLIA_tokeneer_auditlog_init-31.smt2.core.smt2	unknown	decided_by=none	25033	0
r1	complete	nested2-composed	UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	unknown	decided_by=none	24433	0
r1	complete	nested2-composed	UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	207	0
r1	complete	nested2-composed	UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	unknown	decided_by=none	24131	0
r1	complete	nested2-composed	UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	unknown	decided_by=none	24133	0
r1	complete	nested2-composed	UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	unknown	decided_by=none	23924	0
r1	complete	nested2-composed	UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	unknown	decided_by=none	21924	0
r1	complete	nested2-composed	UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	unknown	decided_by=none	25034	0
r1	complete	nested2-composed	UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	unknown	decided_by=none	24125	0
r1	complete	nested2-composed	UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	unknown	decided_by=none	23735	0
r1	complete	nested2-composed	UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	unknown	decided_by=none	25129	0
r1	complete	nested2-composed	UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	unknown	decided_by=none	24234	0
r1	complete	nested2-composed	UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	107	0
r1	complete	nested2-composed	UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	unsat	decided_by=q:egraph	2510	0
r1	complete	nested2-composed	UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	unknown	decided_by=none	3911	0
r1	complete	nested2-composed	UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	unknown	decided_by=none	25036	0
r1	complete	nested2-composed	UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	unknown	decided_by=none	25127	0
r1	complete	nested2-composed	UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	unknown	decided_by=none	22830	0
r1	complete	nested2-composed	UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	810	0
r1	complete	nested2-composed	UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	1109	0
r1	complete	nested2-composed	UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	unknown	decided_by=none	24231	0
r1	complete	nested2-composed	UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	unknown	decided_by=none	24625	0
r1	complete	nested2-composed	UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	unknown	decided_by=none	25035	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	208	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	unknown	decided_by=none	18026	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	209	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	unknown	decided_by=none	23633	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	unknown	decided_by=none	24134	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	unsat	decided_by=q:bool-skeleton	108	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.ast.TypeModifierPragmaVec.013.smt2.core.smt2	unknown	decided_by=none	17127	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.ast.VariableAccess.001.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	508	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.filespace.HashTree.001.smt2.core.smt2	unknown	decided_by=none	9920	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.filespace.ZipTree.005.smt2.core.smt2	unknown	decided_by=none	18429	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.parser.Parse.005.smt2.core.smt2	unknown	decided_by=none	24237	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.parser.TagConstants.001.smt2.core.smt2	unknown	decided_by=none	24134	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.reader.CachedReader.003.smt2.core.smt2	unsat	decided_by=q:egraph	2110	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	unknown	decided_by=none	22931	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	unknown	decided_by=none	25028	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.tc.TypeSig.001.smt2.core.smt2	unknown	decided_by=none	24634	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.tc.TypeSigVec.005.smt2.core.smt2	unknown	decided_by=none	18626	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.tc.Types.035.smt2.core.smt2	unknown	decided_by=none	24134	0
r1	complete	nested2-composed	UFLIA_simplify2_front_end_suite_javafe.test.SuperlinksTest.004.smt2.core.smt2	unknown	decided_by=none	16225	0
r1	complete	nested2-composed	UFLIA_simplify2_small_suite_getRootInterface.smt2.core.smt2	unknown	decided_by=none	24130	0
r1	complete	nested2-composed	UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	unknown	decided_by=none	108	0
r1	complete	nested2-composed	UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2	unsat	decided_by=q:mbqi-quick	12119	0
