core	arm	verdict	decided_by	elapsed_ms	invocations	regs_context	regs_crossed	regs_negative	regs_untracked	regs_asserted	joined_inactive	handoff	poscap	nocontext	nocontext_crossed	nocontext_negative	nocontext_untracked	disc_registered	disc_uncompiled	disc_rebuilds	disc_positive	disc_staged	disc_promoted	disc_rejected	disc_rejected_checker	disc_outside_scope	cap_registrations_hit	cap_rebuilds_hit	cap_positive_hit
UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	off	unknown	decided_by=none	24331	2	268	0	0	14	6	107475	2424	0	105051	0	0	105051	256	0	1	91	91	0	17	17	0	1	0	0
UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	off	unsat	decided_by=q:mbqi-quick	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	off	unknown	decided_by=none	24235	2	57	0	0	7	14	378	220	0	158	0	0	158	52	0	1	13	13	0	7	7	0	0	0	0
UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	off	unknown	decided_by=none	24236	2	14	0	0	18	28	774	0	0	774	0	0	774	0	0	0	0	0	0	0	0	0	0	0	0
UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	off	unknown	decided_by=none	19021	3	348	0	0	6	3	14204	5120	1824	7260	0	0	7260	340	0	3	504	231	0	72	72	0	1	0	0
UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	off	unknown	decided_by=none	13120	3	548	0	0	19	6	2230710	71832	2009088	149790	0	0	149790	512	0	2	4874	966	0	434	434	0	2	0	1
UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	off	unknown	decided_by=none	23532	3	280	0	0	14	24	70495	1238	0	69257	0	0	69257	256	0	1	47	47	0	19	19	0	1	0	0
UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	off	unknown	decided_by=none	24135	2	269	0	0	16	8	5167	3977	0	1190	0	0	1190	256	0	1	166	166	0	23	23	0	1	0	0
UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	off	unknown	decided_by=none	23132	3	49	0	0	5	21	14892	342	0	14550	0	0	14550	43	0	3	115	38	0	55	55	0	0	0	0
UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	off	unknown	decided_by=none	24632	2	268	0	0	14	8	112257	2728	5176	104353	0	0	104353	256	0	1	329	236	0	37	37	0	1	0	0
