sweep_id	arm	corpus_path	binary_sha	features	verdict	exit_status	decided_by	bound_by	attempts	attempt_trail	elapsed_ms	elapsed_ms_per_attempt	partial	decline_reasons	decline_details	host	core	load
qflra93-20260915	main	QF_LRA/2019-ezsmt/travellingSalesperson/rand_80_340_1159656267_0.lp.smt2	cb460e737	Real	unknown	0	none	dl-online	14	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pnra:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	24331	56\p11\p21111\p3\p2997\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=budget\pnra-real-root=not-applicable\pnra=budget\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	budget exhausted in the online difference-logic driver (atoms=4314, equality_gates=1439, bool_equality_gates=0, cnf_vars=36422, clauses=97623)\p\plra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed building the Fourier–Motzkin unit-multiplier matrix; the elimination itself never started	server5	5,13	3.19
qflra93-20260915	main	QF_LRA/LassoRanker/CooperatingT2/afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	cb460e737		abort	134	none	none	0		5784		unknown			server5	5,13	3.21
qflra93-20260915	main	QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate.smt2	cb460e737		abort	134	none	none	0		10589		unknown			server5	5,13	3.19
qflra93-20260915	main	QF_LRA/LassoRanker/CooperatingT2/brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate.smt2	cb460e737		abort	134	none	none	0		13190		unknown			server5	5,13	3.08
qflra93-20260915	main	QF_LRA/LassoRanker/CooperatingT2/collatz.t2.c_Iteration3_Loop_7-phaseTemplate.smt2	cb460e737	Real	unknown	0	none	nra	14	fd:parse:probe\pprobe:probe\pdl-online:declined\pnra-real-root:declined\pnra:declined\pfd:string-gate:declined\pfd:source-string-semantic-unsat:declined\pfd:word-route:declined\pfd:online-string:declined\pfd:membership:declined\pfd:lex-order:declined\pfd:length-lia:declined\pfd:source-string-sat-probe:declined\pfd:bounded-completeness-unsat:declined	24228	71\p10\p186\p2\p23797\p0\p0\p0\p0\p0\p0\p0\p0\p0	no	dl-online=not-applicable\pnra-real-root=not-applicable\pnra=budget\pfd:string-gate=budget\pfd:source-string-semantic-unsat=budget\pfd:word-route=budget\pfd:online-string=budget\pfd:membership=budget\pfd:lex-order=budget\pfd:length-lia=budget\pfd:source-string-sat-probe=budget\pfd:bounded-completeness-unsat=budget	\p\plra: the deadline passed while linearizing the assertions; the constraint system was never finished and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed while linearizing the assertions; the constraint system was never finished and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed while linearizing the assertions; the constraint system was never finished and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed while linearizing the assertions; the constraint system was never finished and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed while linearizing the assertions; the constraint system was never finished and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed while linearizing the assertions; the constraint system was never finished and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed while linearizing the assertions; the constraint system was never finished and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed while linearizing the assertions; the constraint system was never finished and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed while linearizing the assertions; the constraint system was never finished and neither engine ran\ppreprocessed dispatch timeout after reduced solve; the reduced solve's own reason was [ResourceLimit] lra: the deadline passed while linearizing the assertions; the constraint system was never finished and neither engine ran	server5	5,13	2.98
qflra93-20260915	main	QF_LRA/LassoRanker/CooperatingT2/disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	cb460e737		abort	134	none	none	0		10508		unknown			server5	5,13	2.85
qflra93-20260915	main	QF_LRA/LassoRanker/CooperatingT2/elmhes.c.i.elmhes.pl.t2.fixed.t2.c_Iteration5_Loop_6-phaseTemplate.smt2	cb460e737		abort	134	none	none	0		6090		unknown			server5	5,13	2.79
qflra93-20260915	main	QF_LRA/LassoRanker/CooperatingT2/eric.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2	cb460e737		abort	134	none	none	0		5998		unknown			server5	5,13	2.73
qflra93-20260915	main	QF_LRA/LassoRanker/CooperatingT2/ex11.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	cb460e737		abort	134	none	none	0		7592		unknown			server5	5,13	2.75
qflra93-20260915	main	QF_LRA/LassoRanker/CooperatingT2/firewire.t2.c_Iteration1_Lasso_4-lexTemplate.smt2	cb460e737		abort	134	none	none	0		7091		unknown			server5	5,13	2.71
