file	axeyum	ax_s	ax_k	z3	z3_s	z3_k	cvc5	cvc5_s	cvc5_k	status
AUFBV/20210301-Alive2-partial-undef/ph7/427_ph7.smt2	unknown	24.53	ok	unknown	24.03	ok	unknown	0.31	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/437_ph7.smt2	unsat	9.02	ok	unknown	23.03	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/446_ph7.smt2	unknown	24.63	ok	unknown	24.03	ok	unknown	1.81	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/459_ph7.smt2	unknown	25.03	ok	unknown	18.93	ok	unknown	26.32	rc134	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/469_ph7.smt2	unknown	25.03	ok	unknown	24.03	ok	unknown	16.02	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/480_ph7.smt2	unknown	24.33	ok	unknown	24.03	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/494_ph7.smt2	unknown	24.13	ok	unknown	24.33	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/506_ph7.smt2	unknown	20.42	ok	unknown	24.13	ok	unknown	0.91	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/517_ph7.smt2	unknown	24.33	ok	unknown	24.03	ok	unknown	0.21	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/527_ph7.smt2	unknown	23.13	ok	unknown	24.13	ok	unknown	0.61	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/535_ph7.smt2	unknown	25.13	ok	unknown	24.13	ok	unknown	26.32	rc134	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/544_ph7.smt2	unknown	21.53	ok	unknown	24.03	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/553_ph7.smt2	unknown	21.93	ok	sat	0.21	ok	unknown	0.51	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/563_ph7.smt2	unknown	25.03	ok	unknown	24.03	ok	unknown	8.91	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/573_ph7.smt2	unknown	25.03	ok	unknown	23.43	ok	unknown	0.81	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/584_ph7.smt2	unsat	1.51	ok	unknown	24.03	ok	unknown	0.11	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/591_ph7.smt2	unknown	24.12	ok	sat	3.01	ok	unknown	0.91	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/601_ph7.smt2	unknown	24.13	ok	sat	0.21	ok	unknown	0.61	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/612_ph7.smt2	unsat	7.51	ok	unsat	0.21	ok	unknown	0.31	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/622_ph7.smt2	unknown	24.13	ok	unknown	24.13	ok	unknown	0.31	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/631_ph7.smt2	unknown	24.43	ok	unknown	24.03	ok	unknown	1.01	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/639_ph7.smt2	unknown	24.13	ok	unknown	24.13	ok	unknown	2.61	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/651_ph7.smt2	unknown	25.03	ok	unknown	24.33	ok	unknown	0.91	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/663_ph7.smt2	unknown	25.13	ok	unknown	24.03	ok	unknown	0.31	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/673_ph7.smt2	unknown	25.13	ok	unknown	24.23	ok	unknown	1.21	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/683_ph7.smt2	unknown	24.23	ok	sat	1.21	ok	unknown	0.71	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/694_ph7.smt2	unknown	23.23	ok	unknown	24.03	ok	unknown	0.31	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/704_ph7.smt2	unknown	25.13	ok	unknown	24.03	ok	unknown	27.64	rc134	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/713_ph7.smt2	unknown	24.23	ok	unknown	24.03	ok	unknown	0.21	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/722_ph7.smt2	unknown	25.13	ok	unknown	24.13	ok	unknown	1.31	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/732_ph7.smt2	unknown	24.23	ok	unknown	24.13	ok	unknown	1.21	ok	unknown
AUFBV/20210301-Alive2-partial-undef/ph7/741_ph7.smt2	unknown	24.53	ok	unknown	24.43	ok	unknown	0.11	ok	unknown
