ts	host	load1	foreign_pins	foreign_cores	overlap
07:33:32	s6	8.01	6	0;1,9;2;3,11;4;7,15	ok
07:33:32	s7	8.98	4	1,9;3,11;4;7,15	ok
07:34:03	s5	7.05	5	1,9;2;3,11;4;7,15	ok
07:34:03	s6	8.06	6	0;1,9;2;3,11;4;7,15	ok
07:34:03	s7	8.64	4	1,9;3,11;4;7,15	ok
07:34:34	s5	6.95	5	1,9;2;3,11;4;7,15	ok
07:34:34	s6	8.03	6	0;1,9;2;3,11;4;7,15	ok
07:34:34	s7	8.28	4	1,9;3,11;4;7,15	ok
07:35:05	s5	6.84	5	1,9;2;3,11;4;7,15	ok
07:35:05	s6	8.02	6	0;1,9;2;3,11;4;7,15	ok
07:35:06	s7	8.08	4	1,9;3,11;4;7,15	ok
07:35:36	s5	6.97	5	1,9;2;3,11;4;7,15	ok
07:35:36	s6	8.08	6	0;1,9;2;3,11;4;7,15	ok
07:35:37	s7	7.19	4	1,9;3,11;4;7,15	ok
07:36:07	s5	6.98	5	1,9;2;3,11;4;7,15	ok
07:36:08	s6	8.05	6	0;1,9;2;3,11;4;7,15	ok
07:36:08	s7	6.72	4	1,9;3,11;4;7,15	ok
07:36:38	s5	6.92	5	1,9;2;3,11;4;7,15	ok
07:36:39	s6	8.03	6	0;1,9;2;3,11;4;7,15	ok
07:36:39	s7	6.54	4	1,9;3,11;4;7,15	ok
07:37:10	s5	6.96	5	1,9;2;3,11;4;7,15	ok
07:37:10	s6	7.97	6	0;1,9;2;3,11;4;7,15	ok
07:37:10	s7	6.33	4	1,9;3,11;4;7,15	ok
07:37:41	s5	6.49	4	1,9;3,11;4;7,15	ok
07:37:41	s6	7.98	6	0;1,9;2;3,11;4;7,15	ok
07:37:41	s7	6.25	4	1,9;3,11;4;7,15	ok
07:38:12	s5	6.23	4	1,9;3,11;4;7,15	ok
07:38:12	s6	7.98	6	0;1,9;2;3,11;4;7,15	ok
07:38:13	s7	6.10	4	1,9;3,11;4;7,15	ok
07:38:43	s5	6.06	4	1,9;3,11;4;7,15	ok
07:38:43	s6	7.91	6	0;1,9;2;3,11;4;7,15	ok
07:38:44	s7	5.91	4	1,9;3,11;4;7,15	ok
07:39:14	s5	6.04	4	1,9;3,11;4;7,15	ok
07:39:14	s6	7.95	6	0;1,9;2;3,11;4;7,15	ok
07:39:15	s7	6.06	4	1,9;3,11;4;7,15	ok
07:39:45	s5	6.04	4	1,9;3,11;4;7,15	ok
07:39:45	s6	7.99	6	0;1,9;2;3,11;4;7,15	ok
07:39:46	s7	5.98	4	1,9;3,11;4;7,15	ok
07:40:16	s5	6.03	4	1,9;3,11;4;7,15	ok
07:40:17	s6	7.94	6	0;1,9;2;3,11;4;7,15	ok
07:40:17	s7	5.99	4	1,9;3,11;4;7,15	ok
07:40:47	s5	6.01	4	1,9;3,11;4;7,15	ok
07:40:48	s6	8.03	6	0;1,9;2;3,11;4;7,15	ok
07:40:48	s7	6.06	4	1,9;3,11;4;7,15	ok
07:41:18	s5	6.09	4	1,9;3,11;4;7,15	ok
07:41:19	s6	8.10	6	0;1,9;2;3,11;4;7,15	ok
07:41:19	s7	6.03	4	1,9;3,11;4;7,15	ok
07:41:50	s5	6.00	4	1,9;3,11;4;7,15	ok
07:41:50	s6	8.05	6	0;1,9;2;3,11;4;7,15	ok
07:41:50	s7	5.88	4	1,9;3,11;4;7,15	ok
07:42:21	s5	5.94	4	1,9;3,11;4;7,15	ok
07:42:21	s6	7.96	6	0;1,9;2;3,11;4;7,15	ok
07:42:22	s7	5.85	4	1,9;3,11;4;7,15	ok
07:42:52	s5	5.91	4	1,9;3,11;4;7,15	ok
07:42:52	s6	8.05	6	0;1,9;2;3,11;4;7,15	ok
07:42:53	s7	5.91	4	1,9;3,11;4;7,15	ok
07:43:23	s5	5.75	4	1,9;3,11;4;7,15	ok
07:43:23	s6	7.84	5	0;1,9;3,11;4;7,15	ok
07:43:24	s7	5.88	4	1,9;3,11;4;7,15	ok
07:43:54	s5	5.85	4	1,9;3,11;4;7,15	ok
07:43:54	s6	7.58	5	0;1,9;3,11;4;7,15	ok
07:43:55	s7	5.98	4	1,9;3,11;4;7,15	ok
07:44:25	s5	5.92	4	1,9;3,11;4;7,15	ok
07:44:25	s6	7.29	5	0;1,9;3,11;4;7,15	ok
07:44:26	s7	6.14	4	1,9;3,11;4;7,15	ok
07:44:56	s5	5.95	4	1,9;3,11;4;7,15	ok
07:44:57	s6	7.03	5	0;1,9;3,11;4;7,15	ok
07:44:57	s7	6.03	4	1,9;3,11;4;7,15	ok
07:45:27	s5	5.97	4	1,9;3,11;4;7,15	ok
07:45:28	s6	7.03	5	0;1,9;3,11;4;7,15	ok
07:45:28	s7	5.87	4	1,9;3,11;4;7,15	ok
07:45:58	s5	5.92	4	1,9;3,11;4;7,15	ok
07:45:59	s6	6.87	5	0;1,9;3,11;4;7,15	ok
07:45:59	s7	5.93	4	1,9;3,11;4;7,15	ok
07:46:29	s5	5.87	4	1,9;3,11;4;7,15	ok
07:46:30	s6	6.58	5	0;1,9;3,11;4;7,15	ok
07:46:30	s7	6.08	4	1,9;3,11;4;7,15	ok
07:47:00	s5	5.96	4	1,9;3,11;4;7,15	ok
07:47:01	s6	6.29	5	0;1,9;3,11;4;7,15	ok
07:47:01	s7	6.05	4	1,9;3,11;4;7,15	ok
07:47:32	s5	5.58	3	1,9;3,11;4	ok
07:47:32	s6	6.01	5	0;1,9;3,11;4;7,15	ok
07:47:32	s7	6.05	4	1,9;3,11;4;7,15	ok
07:48:03	s5	5.12	3	1,9;3,11;4	ok
07:48:03	s6	6.01	5	0;1,9;3,11;4;7,15	ok
07:48:03	s7	5.61	2	1,9;7,15	ok
07:48:34	s5	5.01	3	1,9;3,11;4	ok
07:48:34	s6	5.72	4	0;1,9;4;7,15	ok
07:48:34	s7	4.83	2	1,9;7,15	ok
07:49:05	s5	5.00	3	1,9;3,11;4	ok
07:49:05	s6	5.10	4	0;1,9;4;7,15	ok
07:49:05	s7	4.44	2	1,9;7,15	ok
07:49:36	s5	5.00	3	1,9;3,11;4	ok
07:49:36	s6	4.66	4	0;1,9;4;7,15	ok
07:49:37	s7	4.11	2	1,9;7,15	ok
07:50:07	s5	5.00	3	1,9;3,11;4	ok
07:50:07	s6	4.40	4	0;1,9;4;7,15	ok
07:50:08	s7	3.73	1	7,15	ok
07:50:38	s5	4.93	3	1,9;3,11;4	ok
07:50:38	s6	4.30	4	0;1,9;4;7,15	ok
07:50:39	s7	3.44	1	7,15	ok
07:51:09	s5	4.96	3	1,9;3,11;4	ok
07:51:09	s6	4.12	4	0;1,9;4;7,15	ok
07:51:10	s7	3.24	1	7,15	ok
07:51:40	s5	4.98	3	1,9;3,11;4	ok
07:51:40	s6	4.04	4	0;1,9;4;7,15	ok
07:51:41	s7	3.27	1	7,15	ok
07:52:11	s5	4.99	3	1,9;3,11;4	ok
07:52:12	s6	3.79	2	1,9;4	ok
07:52:12	s7	3.16	1	7,15	ok
07:52:42	s5	4.86	2	1,9;3,11	ok
07:52:43	s6	3.08	2	1,9;4	ok
07:52:43	s7	2.96	1	7,15	ok
07:53:13	s5	4.52	2	1,9;3,11	ok
07:53:14	s6	2.37	1	1,9	ok
07:53:14	s7	3.20	1	7,15	ok
07:53:44	s5	3.94	2	1,9;3,11	ok
07:53:45	s6	1.84	0	-	ok
07:53:45	s7	2.70	1	7,15	ok
