file	axeyum	ax_s	ax_k	z3	z3_s	z3_k	cvc5	cvc5_s	cvc5_k	status
ALIA/20230321-UltimateAutomizerSvcomp2023/dll2n_append_unequal.i_73.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll2n_insert_equal.i_7.smt2	unknown	0.11	ok	unknown	24.03	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll2n_insert_unequal.i_25.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll2n_insert_unequal.i_4.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll2n_prepend_unequal.i_25.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll2n_prepend_unequal.i_39.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll2n_prepend_unequal.i_6.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll2n_prepend_unequal.i_86.smt2	unknown	0.11	ok	sat	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll2n_remove_all.i_2.smt2	unknown	0.11	ok	unknown	24.03	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll2n_remove_all_reverse.i_6.smt2	unknown	0.11	ok	unknown	24.13	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll2n_update_all.i_9.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll_circular_traversal-2.i_113.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll_circular_traversal-2.i_127.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll_circular_traversal-2.i_152.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll_circular_traversal-2.i_166.smt2	unknown	0.11	ok	unknown	0.21	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll_circular_traversal-2.i_33.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll_circular_traversal-2.i_48.smt2	unknown	0.11	ok	sat	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll_circular_traversal-2.i_75.smt2	unknown	0.11	ok	sat	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll_nullified-1.i_10.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll_of_dll-1.i_24.smt2	unknown	0.11	ok	sat	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll_of_dll-1.i_53.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/dll_of_dll-2.i_32.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_12.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_141.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_170.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_184.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_199.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_24.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_38.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_52.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_66.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_82.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/ex3_forlist.i_98.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_112.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_132.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_150.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_166.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_18.smt2	unknown	0.11	ok	sat	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_195.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_208.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_28.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_44.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
ALIA/20230321-UltimateAutomizerSvcomp2023/length_test03-1.i_60.smt2	unknown	0.11	ok	unknown	0.11	ok	unknown	0.11	ok	unknown
