file	axeyum	ax_s	z3	z3_s	cvc5	cvc5_s
slog_stranger_1001_sink.smt2	unsat	21.02	unsat	0.11	unsat	0.11
slog_stranger_1209_sink.smt2	unsat	0.11	unsat	0.11	unsat	0.11
slog_stranger_1420_sink.smt2	unsat	0.11	unsat	0.11	unsat	0.11
slog_stranger_1566_sink.smt2	unsat	10.06	unsat	0.11	unsat	0.11
slog_stranger_1727_sink.smt2	unsat	0.11	unsat	0.11	unsat	0.11
slog_stranger_1930_sink.smt2	unsat	0.11	unsat	0.11	unsat	0.11
slog_stranger_2105_sink.smt2	unsat	10.06	unsat	0.11	unsat	0.11
slog_stranger_2251_sink.smt2	unsat	0.11	unsat	0.11	unsat	0.11
slog_stranger_2409_sink.smt2	unsat	0.11	unsat	0.11	unsat	0.11
slog_stranger_2589_sink.smt2	unknown	2.51	sat	0.11	sat	0.11
slog_stranger_2732_sink.smt2	unsat	0.11	unsat	0.11	unsat	0.11
slog_stranger_286_sink.smt2	unknown	0.41	sat	0.11	sat	0.11
slog_stranger_318_sink.smt2	unknown	0.41	unsat	0.11	unsat	0.11
slog_stranger_3544_sink.smt2	unknown	22.93	sat	0.11	sat	0.11
slog_stranger_3947_sink.smt2	unknown	25.04	sat	0.11	sat	0.11
slog_stranger_4267_sink.smt2	sat	1.71	sat	0.11	sat	0.11
slog_stranger_4645_sink.smt2	unknown	0.31	sat	0.11	sat	0.11
slog_stranger_5060_sink.smt2	unknown	25.03	sat	0.11	sat	0.11
slog_stranger_5360_sink.smt2	unknown	25.04	unknown	24.13	sat	0.11
slog_stranger_630_sink.smt2	unknown	0.71	sat	0.11	sat	0.11
slog_stranger_829_sink.smt2	unsat	0.11	unsat	0.11	unsat	0.11
slog_stranger_997_sink.smt2	unknown	0.71	unsat	0.11	unsat	0.11
query3111.smt2	unknown	0.11	sat	0.11	sat	0.11
query3474.smt2	unknown	0.11	sat	0.11	sat	0.11
query6620.smt2	unknown	0.11	sat	0.11	sat	0.31
instance00031.smt2	sat	0.11	sat	0.11	sat	0.11
instance00125.smt2	sat	0.11	sat	0.11	sat	0.11
instance00219.smt2	sat	0.11	sat	0.11	sat	0.11
instance00313.smt2	sat	0.11	sat	0.11	sat	0.11
instance00407.smt2	sat	0.11	sat	0.11	sat	0.11
instance00501.smt2	sat	0.11	sat	0.11	sat	0.11
instance00595.smt2	sat	0.11	sat	0.11	sat	0.11
instance00689.smt2	sat	0.11	sat	0.11	sat	0.11
instance00783.smt2	sat	0.11	sat	0.11	sat	0.11
instance00877.smt2	sat	0.11	sat	0.11	sat	0.11
instance00971.smt2	sat	0.11	sat	0.11	sat	0.11
instance01065.smt2	sat	0.11	sat	0.11	sat	0.11
instance01159.smt2	sat	0.11	sat	0.11	sat	0.11
instance01253.smt2	sat	0.11	sat	0.11	sat	0.11
instance01347.smt2	sat	0.11	sat	0.11	sat	0.11
instance01441.smt2	sat	0.11	sat	0.11	sat	0.11
instance01535.smt2	sat	0.11	sat	0.11	sat	0.11
instance01629.smt2	sat	0.11	sat	0.11	sat	0.11
instance01723.smt2	sat	0.11	sat	0.11	sat	0.11
instance01817.smt2	sat	0.11	sat	0.11	sat	0.11
instance01911.smt2	sat	0.11	sat	0.11	sat	0.11
instance02005.smt2	sat	0.11	sat	0.11	sat	0.11
instance02099.smt2	sat	0.11	sat	0.31	sat	0.11
instance02193.smt2	sat	0.11	sat	0.11	sat	0.11
instance02287.smt2	sat	0.11	sat	0.11	sat	0.11
instance02381.smt2	sat	0.11	sat	0.11	sat	0.11
instance02475.smt2	sat	0.11	sat	0.11	sat	0.11
instance02569.smt2	sat	0.11	sat	0.11	sat	0.11
instance02663.smt2	sat	0.11	sat	0.11	sat	0.11
instance02757.smt2	sat	0.11	sat	0.11	sat	0.11
instance02851.smt2	sat	0.11	sat	0.11	sat	0.11
instance02945.smt2	sat	0.11	sat	0.11	sat	0.11
instance03039.smt2	sat	0.11	sat	0.11	sat	0.11
instance03133.smt2	sat	0.11	sat	0.11	sat	0.11
instance03227.smt2	sat	0.11	sat	0.11	sat	0.11
instance03321.smt2	sat	0.11	sat	0.11	sat	0.11
instance03415.smt2	sat	0.11	sat	0.11	sat	0.11
instance03509.smt2	sat	0.11	sat	0.11	sat	0.11
instance03603.smt2	sat	0.11	sat	0.11	sat	0.11
instance03697.smt2	sat	0.11	sat	0.11	sat	0.11
instance03791.smt2	sat	0.11	sat	0.11	sat	0.11
instance03885.smt2	sat	0.11	sat	0.11	sat	0.11
instance03979.smt2	sat	0.11	sat	0.11	sat	0.11
instance04073.smt2	sat	0.11	sat	0.11	sat	0.11
instance04167.smt2	sat	0.11	sat	0.11	sat	0.11
instance04261.smt2	sat	0.11	sat	0.11	sat	0.11
instance04355.smt2	sat	0.11	sat	0.11	sat	0.11
instance04449.smt2	sat	0.11	sat	0.11	sat	0.11
instance04543.smt2	sat	0.11	sat	0.11	sat	0.11
instance04637.smt2	sat	0.11	sat	0.11	sat	0.11
instance04731.smt2	sat	0.11	sat	2.51	sat	0.11
instance04825.smt2	sat	0.11	sat	0.11	sat	0.11
instance04919.smt2	sat	0.11	sat	0.11	sat	0.11
instance05013.smt2	sat	0.11	sat	0.11	sat	0.11
instance05107.smt2	sat	0.11	sat	0.11	sat	0.11
instance05201.smt2	sat	0.11	sat	0.11	sat	0.11
instance05295.smt2	sat	0.11	sat	0.11	sat	0.11
instance05389.smt2	sat	0.11	sat	0.11	sat	0.11
instance05483.smt2	sat	0.11	sat	0.11	sat	0.11
instance05577.smt2	sat	0.11	sat	0.11	sat	0.11
instance05671.smt2	sat	0.11	sat	0.11	sat	0.11
instance05765.smt2	sat	0.11	sat	0.11	sat	0.11
instance05859.smt2	sat	0.11	sat	0.11	sat	0.11
instance05953.smt2	sat	0.11	sat	0.11	sat	0.11
instance06047.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance06141.smt2	sat	1.51	sat	23.54	sat	0.11
instance06235.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance06329.smt2	sat	0.11	sat	0.11	sat	0.11
instance06423.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance06517.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance06611.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance06705.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance06799.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance06893.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance06987.smt2	sat	0.11	sat	0.11	sat	0.11
instance07081.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance07175.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance07269.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance07363.smt2	sat	0.11	sat	0.11	sat	0.11
instance07457.smt2	sat	0.11	sat	0.11	sat	0.11
instance07551.smt2	sat	0.11	sat	0.11	sat	0.11
instance07645.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance07739.smt2	sat	0.11	sat	0.11	sat	0.11
instance07833.smt2	sat	0.11	sat	0.11	sat	0.11
instance07927.smt2	sat	0.11	sat	0.11	sat	0.11
instance08021.smt2	unsat	0.11	unsat	0.41	unsat	0.11
instance08115.smt2	sat	0.11	sat	0.11	sat	0.11
instance08209.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance08303.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance08397.smt2	sat	0.11	sat	0.11	sat	0.11
instance08491.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance08585.smt2	sat	0.11	sat	0.51	sat	0.11
instance08679.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance08773.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance08867.smt2	sat	0.11	sat	0.11	sat	0.11
instance08961.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance09055.smt2	sat	0.11	sat	0.11	sat	0.11
instance09149.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance09243.smt2	sat	0.11	sat	0.11	sat	0.11
instance09337.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance09431.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance09525.smt2	unsat	0.11	unsat	0.81	unknown	26.22
instance09619.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance09713.smt2	sat	0.11	sat	0.11	sat	0.11
instance09807.smt2	sat	0.11	sat	0.11	sat	0.11
instance09901.smt2	sat	0.11	sat	0.11	sat	0.11
instance09995.smt2	sat	0.11	sat	0.11	sat	0.11
instance10089.smt2	sat	0.11	sat	18.73	sat	0.11
instance10183.smt2	sat	0.11	sat	0.11	sat	0.11
instance10277.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance10371.smt2	sat	0.11	sat	0.11	sat	0.11
instance10465.smt2	unsat	0.11	unsat	0.11	unsat	0.11
instance10559.smt2	sat	0.11	sat	0.11	sat	0.11
instance10653.smt2	sat	0.11	sat	7.22	sat	0.11
instance10747.smt2	sat	0.11	sat	0.11	sat	0.11
instance10841.smt2	unsat	0.11	unsat	0.81	unsat	0.11
