file	axeyum	ax_s	z3	z3_s	cvc5	cvc5_s
11775_ad46e5b8db4748c51973_42_QF_UFLIA.smt2	unknown	0.11	sat	0.31	unknown	26.21
17512_5c1021b0faa6b6e1791b_20_QF_UFLIA.smt2	unknown	0.21	unknown	24.14	unknown	26.21
25959_5dee2e2f6ef44465a2bea4b085818948_66_QF_UFLIA.smt2	unknown	0.41	unknown	24.14	unknown	26.21
25959_5dee2e2f6ef44465a2bea4b085818948_69_QF_UFLIA.smt2	unknown	0.31	unknown	24.14	unknown	26.21
3106_1c933134166dbad31f79_38_QF_UFLIA.smt2	unknown	25.03	unknown	24.14	unknown	26.21
3106_1c933134166dbad31f79_41_QF_UFLIA.smt2	unknown	0.21	sat	1.21	sat	4.61
38347_092cc73601c78e45f4f9_56_QF_UFLIA.smt2	unknown	0.11	unknown	24.03	unknown	26.21
38347_525a1ca0331f2bcbf520_54_QF_UFLIA.smt2	unknown	1.21	unknown	24.13	unknown	26.31
39657_1c7158801cd59dc13f05_46_QF_UFLIA.smt2	unknown	25.03	sat	1.51	unknown	26.22
41958_32933c5a1384696720a2_61_QF_UFLIA.smt2	unknown	0.11	unknown	24.03	unknown	26.22
41958_45c688a4814eb926c254_59_QF_UFLIA.smt2	unknown	0.11	sat	1.61	unknown	26.22
44289_4066055e0f64d96da11a_15_QF_UFLIA.smt2	unknown	1.31	unknown	24.14	unknown	26.22
44289_e5a2e5c780236919ee6a_18_QF_UFLIA.smt2	unknown	3.71	sat	2.51	sat	6.22
44788_1965f0d6d94d5d8054ba_36_QF_UFLIA.smt2	unknown	0.11	unsat	6.52	unknown	26.21
52759_bec3a2272267494faeecb6bfaf253e3b_10_QF_UFLIA.smt2	unknown	0.21	unsat	5.02	unknown	26.21
63058_64ab9a7ef7b6c3492507_22_QF_UFLIA.smt2	unknown	2.61	sat	4.01	sat	11.82
63058_aa742630eef64f949de269382c1f9035_25_UFLIA.smt2	unknown	0.11	unsat	0.11	unsat	0.11
65782_cd31513fdcd15701933b_7_QF_UFLIA.smt2	unknown	0.11	sat	0.11	sat	1.71
66603_accdadf23a1cf70ae043_73_QF_UFLIA.smt2	unknown	25.03	unknown	24.14	unknown	26.21
66603_accdadf23a1cf70ae043_76_QF_UFLIA.smt2	unknown	25.14	unsat	16.23	unknown	26.31
72771_f9d228efc97cf1458e38_64_QF_UFLIA.smt2	unknown	0.11	sat	1.71	sat	2.51
83314_a702bf8b823398c9e37a_2_UFLIA.smt2	unknown	25.03	unknown	24.03	unknown	26.21
93493_1fdb6cc8eb9c4363b5838af9eb8c7f1f_53_QF_UFLIA.smt2	unknown	0.31	unknown	24.03	unknown	26.21
93493_5990a6bf5f2740164f77_50_QF_UFLIA.smt2	unknown	25.03	unknown	24.03	unknown	26.21
940_590f27b1c3c800d3243e_30_QF_UFLIA.smt2	unknown	25.03	unknown	24.14	unknown	26.21
940_590f27b1c3c800d3243e_33_QF_UFLIA.smt2	unknown	25.03	unknown	24.14	unknown	26.21
smtlib.602046.smt2	unsat	0.11	unsat	0.11	unsat	0.11
smtlib.606691.smt2	unsat	0.11	unsat	0.11	unsat	0.11
smtlib.621344.smt2	sat	0.11	sat	0.11	sat	0.11
smtlib.666105.smt2	unsat	0.11	unsat	0.11	unsat	0.11
smtlib.675482.smt2	unsat	0.11	unsat	0.11	unsat	0.11
smtlib.686091.smt2	unsat	0.11	unsat	0.11	unsat	0.11
smtlib.769286.smt2	unsat	0.11	unsat	0.11	unsat	0.11
hard12.smt2	unknown	25.03	unsat	0.11	unsat	0.21
hard15.smt2	unknown	25.04	unsat	0.11	unsat	0.31
hard18.smt2	unknown	25.03	unsat	0.11	unsat	0.41
hard4.smt2	unsat	1.01	unsat	0.11	unsat	0.11
hard7.smt2	unsat	6.52	unsat	0.11	unsat	0.11
medium10.smt2	unsat	18.33	unsat	0.11	unsat	0.11
medium13.smt2	unsat	18.33	unsat	0.11	unsat	0.11
medium16.smt2	unsat	18.33	unsat	0.11	unsat	0.11
medium19.smt2	unsat	18.33	unsat	0.11	unsat	0.11
medium6.smt2	unsat	14.02	unsat	0.11	unsat	0.11
medium9.smt2	unsat	18.33	unsat	0.11	unsat	0.11
hash_sat_03_05.smt2	sat	0.31	sat	0.11	sat	0.11
hash_sat_03_08.smt2	sat	0.91	sat	0.11	sat	0.11
hash_sat_03_11.smt2	sat	1.51	sat	0.11	sat	0.11
hash_sat_03_14.smt2	sat	0.61	sat	0.11	sat	0.11
hash_sat_03_17.smt2	sat	9.72	sat	0.11	sat	0.11
hash_sat_03_20.smt2	sat	9.42	sat	0.11	sat	0.11
hash_sat_04_05.smt2	sat	0.81	sat	0.11	sat	0.11
hash_sat_04_08.smt2	sat	7.32	sat	0.11	sat	0.11
hash_sat_04_11.smt2	sat	18.33	sat	0.11	sat	0.11
hash_sat_04_14.smt2	sat	18.33	sat	0.11	sat	0.11
hash_sat_04_17.smt2	sat	18.33	sat	0.11	sat	0.11
hash_sat_04_20.smt2	sat	5.92	sat	0.11	sat	0.11
hash_sat_05_05.smt2	sat	18.33	sat	0.11	sat	0.11
hash_sat_05_08.smt2	sat	18.33	sat	0.11	sat	0.21
hash_sat_05_11.smt2	sat	18.33	sat	0.11	sat	0.11
hash_sat_05_14.smt2	sat	11.62	sat	0.11	sat	0.21
hash_sat_05_17.smt2	sat	16.93	sat	0.11	sat	0.11
hash_sat_05_20.smt2	sat	18.43	sat	0.11	sat	0.11
hash_sat_06_05.smt2	sat	18.33	sat	0.11	sat	0.11
hash_sat_06_08.smt2	sat	18.33	sat	0.11	sat	0.11
hash_sat_06_11.smt2	sat	18.43	sat	0.11	sat	0.11
hash_sat_06_14.smt2	sat	18.43	sat	0.11	sat	0.11
hash_sat_06_17.smt2	sat	18.43	sat	0.11	sat	0.11
hash_sat_06_20.smt2	sat	18.43	sat	0.11	sat	0.11
hash_sat_07_05.smt2	sat	18.33	sat	0.11	sat	0.51
hash_sat_07_08.smt2	sat	18.43	sat	0.11	sat	0.61
hash_sat_07_11.smt2	sat	18.43	sat	0.11	sat	0.21
hash_sat_07_14.smt2	sat	18.43	sat	0.11	sat	0.21
hash_sat_07_17.smt2	sat	18.53	sat	0.11	sat	0.61
hash_sat_07_20.smt2	sat	18.53	sat	0.11	sat	0.21
hash_sat_08_05.smt2	sat	18.33	sat	0.11	sat	1.21
hash_sat_08_08.smt2	sat	18.43	sat	0.11	sat	0.31
hash_sat_08_11.smt2	sat	18.43	sat	0.11	sat	0.31
hash_sat_08_14.smt2	sat	18.43	sat	0.11	sat	0.31
hash_sat_08_17.smt2	sat	18.43	sat	0.11	sat	0.31
hash_sat_08_20.smt2	sat	18.53	sat	0.11	sat	0.91
hash_sat_09_05.smt2	sat	18.33	sat	0.11	sat	0.61
hash_sat_09_08.smt2	sat	18.43	sat	0.11	sat	0.41
hash_sat_09_11.smt2	sat	18.43	sat	0.11	sat	0.31
hash_sat_09_14.smt2	sat	18.53	sat	0.11	sat	0.51
hash_sat_09_17.smt2	sat	18.63	sat	0.11	sat	0.51
hash_sat_09_20.smt2	sat	18.63	sat	0.11	sat	0.41
hash_sat_10_05.smt2	sat	18.43	sat	0.11	sat	0.21
hash_sat_10_08.smt2	sat	18.43	sat	0.11	sat	0.51
hash_sat_10_11.smt2	sat	18.53	sat	0.11	sat	0.41
hash_sat_10_14.smt2	sat	18.93	sat	0.11	sat	1.01
hash_sat_10_17.smt2	sat	18.93	sat	0.11	sat	0.51
hash_sat_10_20.smt2	sat	19.03	sat	0.11	sat	1.91
hash_uns_03_05.smt2	unsat	0.21	unsat	0.11	unsat	0.11
hash_uns_03_08.smt2	unsat	0.51	unsat	0.11	unsat	0.11
hash_uns_03_11.smt2	unsat	1.11	unsat	0.11	unsat	0.11
hash_uns_03_14.smt2	unsat	2.21	unsat	0.11	unsat	0.11
hash_uns_03_17.smt2	unsat	3.71	unsat	0.11	unsat	0.11
hash_uns_03_20.smt2	unsat	6.22	unsat	0.11	unsat	0.11
hash_uns_04_05.smt2	unsat	0.71	unsat	0.11	unsat	0.11
hash_uns_04_08.smt2	unsat	2.91	unsat	0.11	unsat	0.11
