file	axeyum	ax_s	z3	z3_s	cvc5	cvc5_s
counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005.smt2	unknown	24.23	unsat	0.11	unknown	26.21
bv-term-small-rw_1128.smt2	unsat	0.21	unsat	0.21	unsat	0.71
bv-term-small-rw_1335.smt2	unsat	0.11	unsat	0.11	unsat	0.11
bv-term-small-rw_1542.smt2	unsat	0.11	unsat	0.11	unsat	0.11
bv-term-small-rw_331.smt2	unsat	0.11	unsat	0.11	unsat	0.11
bv-term-small-rw_539.smt2	unsat	0.11	unsat	0.11	unsat	0.11
bv-term-small-rw_746.smt2	unsat	0.11	unsat	0.11	unsat	0.11
bv-term-small-rw_953.smt2	unsat	0.11	unsat	0.11	unsat	0.11
predicate_425.smt2	unsat	0.41	unsat	1.31	unsat	0.61
predicate_851.smt2	unknown	24.24	unknown	24.03	unknown	26.21
vlsat3_a85.smt2	unknown	24.13	unknown	24.03	unknown	26.21
dualexecution.t1.i15.8e78387b.smt2	sat	2.31	sat	0.31	sat	0.41
dualexecution.t1.i16.e7c172b6.smt2	sat	0.21	sat	0.11	sat	0.11
dualexecution_affine.t1.i12.955644ef.smt2	sat	0.11	sat	0.11	sat	0.11
dualexecution_affine.t1.i8.1d3e97a0.smt2	sat	1.61	sat	0.21	sat	0.31
mean_buckets.t1.i16.a1b9cc34.smt2	sat	0.11	sat	0.21	sat	0.21
simplemean_buckets.t1.i14.acc34979.smt2	sat	0.11	sat	0.21	sat	0.21
millionaires.t1.i17.9386ab8d.smt2	sat	0.11	sat	0.11	sat	0.11
millionaires.t1.i25.63566545.smt2	sat	0.11	sat	0.11	sat	0.11
millionaires.t1.i31.d39290a3.smt2	sat	0.11	sat	0.11	sat	0.11
millionaires.t1.i42.06377145.smt2	sat	0.11	sat	0.11	sat	0.11
millionaires.t1.i53.a8ef2dcb.smt2	sat	0.11	sat	0.11	sat	0.11
millionaires.t1.i64.0b2dd246.smt2	sat	0.11	sat	0.11	sat	0.11
millionaires.t3.i6.5167c4b3.smt2	sat	0.11	sat	0.11	sat	0.21
wage.t1.i19.a912c9b3.smt2	sat	0.11	sat	0.11	sat	0.11
wage_circuit_div.t1.i23.92e43e77.smt2	sat	0.11	sat	0.11	sat	0.11
string4x16.7._bit8_na6_nr4_pairedtwobranch.smt2	unknown	25.14	unknown	24.23	unknown	26.21
bench_10044.smt2	unsat	0.11	unsat	0.11	unsat	9.42
bench_10451.smt2	unknown	25.24	sat	0.41	unknown	26.51
bench_10924.smt2	sat	0.91	unknown	24.03	sat	13.12
bench_114.smt2	unsat	0.11	unsat	0.11	unsat	0.11
bench_11842.smt2	sat	1.11	sat	2.61	sat	1.31
bench_12354.smt2	sat	1.31	sat	7.92	sat	2.51
bench_12860.smt2	unsat	0.11	unsat	1.61	unsat	0.51
bench_1332.smt2	unsat	0.11	unsat	0.11	unsat	7.92
bench_13795.smt2	unknown	24.64	unknown	24.14	unknown	26.22
bench_1424.smt2	unsat	0.31	unsat	8.72	unsat	3.32
bench_14698.smt2	sat	0.31	sat	2.11	sat	0.81
bench_15191.smt2	sat	0.51	unknown	24.03	sat	0.31
bench_15692.smt2	unsat	0.11	unsat	4.91	unsat	12.02
bench_16145.smt2	sat	0.61	sat	2.21	sat	2.51
bench_16629.smt2	unsat	0.11	unsat	0.11	unsat	8.32
bench_17078.smt2	unsat	0.61	unsat	0.21	unsat	0.71
bench_17555.smt2	unsat	0.11	unsat	1.01	unsat	9.72
bench_192.smt2	unsat	0.21	unsat	0.91	unsat	1.11
bench_2389.smt2	unsat	0.11	unsat	0.11	unsat	8.32
bench_2839.smt2	unsat	0.11	unsat	0.51	unsat	0.21
bench_3308.smt2	unsat	0.11	unsat	0.11	unsat	10.22
bench_3822.smt2	unsat	0.31	unsat	0.41	unsat	0.91
bench_4343.smt2	sat	0.31	unknown	24.13	sat	3.81
bench_4888.smt2	sat	0.21	unknown	24.03	sat	5.22
bench_5399.smt2	unsat	0.51	unknown	24.03	unknown	26.21
bench_5929.smt2	sat	0.21	unknown	24.03	sat	0.61
bench_6444.smt2	unsat	0.11	unknown	24.03	unknown	26.22
bench_6930.smt2	unsat	0.21	unknown	24.03	unknown	26.21
bench_7477.smt2	unsat	0.11	unsat	0.81	unsat	2.41
bench_7935.smt2	sat	0.21	sat	6.22	sat	0.41
bench_8450.smt2	unsat	0.11	unsat	2.11	unsat	3.22
bench_8967.smt2	sat	8.82	sat	5.72	sat	6.21
bench_9444.smt2	unsat	0.51	unsat	0.11	unsat	1.81
bench_9955.smt2	unsat	0.11	unsat	0.21	unsat	0.71
gryzzles.30.lp.smt2	sat	1.71	sat	3.01	unknown	26.21
tsp_rand_70_300_1155482584_12.lp.smt2	unknown	24.24	sat	23.83	unknown	26.21
a601test0056.smt2	sat	0.11	sat	0.11	sat	0.11
