file	axeyum	ax_s	z3	z3_s	cvc5	cvc5_s
vlsat3_c00.smt2	unknown	25.03	unsat	13.72	unsat	13.32
vlsat3_c12.smt2	unknown	25.03	unknown	24.03	unknown	26.21
vlsat3_c24.smt2	unknown	25.03	unknown	24.03	unknown	26.21
vlsat3_c36.smt2	unknown	24.13	unknown	24.03	unknown	26.22
vlsat3_c48.smt2	unknown	25.04	unknown	24.03	unknown	26.21
vlsat3_c60.smt2	unknown	25.03	unknown	24.03	unknown	26.21
vlsat3_c72.smt2	unknown	16.73	unknown	24.14	unknown	26.22
vlsat3_c84.smt2	unknown	24.13	unknown	24.03	unknown	26.21
vlsat3_c96.smt2	unknown	25.03	unknown	24.03	unknown	26.21
vlsat3_i08.smt2	unknown	12.52	sat	14.12	unknown	26.22
vlsat3_i20.smt2	unknown	23.94	unknown	24.14	unknown	26.31
vlsat3_i32.smt2	unknown	23.94	unknown	24.14	unknown	26.31
vlsat3_i44.smt2	unknown	24.44	unknown	24.14	unknown	26.31
vlsat3_i56.smt2	unknown	25.34	unknown	24.13	unknown	26.31
vlsat3_i68.smt2	unknown	25.13	unknown	24.13	unknown	26.31
vlsat3_i80.smt2	unknown	25.14	unknown	24.13	unknown	26.31
vlsat3_i92.smt2	unknown	22.83	unknown	24.13	unknown	26.32
RVpredict_13.smt2	sat	1.11	sat	0.21	sat	1.81
jobshop10-2-5-5-4-4-16.smt2	sat	0.31	sat	0.11	sat	0.61
jobshop16-2-8-8-4-4-16.smt2	unknown	25.03	sat	0.11	sat	2.61
jobshop20-2-10-10-4-4-16.smt2	unknown	25.03	sat	0.31	unknown	26.22
jobshop26-2-13-13-4-4-16.smt2	unknown	25.03	sat	3.31	unknown	26.22
jobshop32-2-16-16-4-4-16.smt2	unknown	25.03	sat	9.12	unknown	26.22
jobshop38-2-19-19-4-4-16.smt2	unknown	21.23	unknown	24.03	unknown	26.22
jobshop42-2-21-21-4-4-16.smt2	unknown	21.33	sat	13.72	unknown	26.21
jobshop48-2-24-24-4-4-16.smt2	unknown	21.53	unknown	24.03	unknown	26.22
jobshop54-2-27-27-4-4-16.smt2	unknown	21.73	unknown	24.03	unknown	26.22
jobshop6-2-3-3-4-4-16.smt2	sat	0.11	sat	0.11	sat	0.11
BinarySearch_live_bgmc002.smt2	sat	0.11	sat	0.11	sat	0.11
BubbleSort_live_bgmc002.smt2	sat	0.11	sat	0.11	sat	0.11
BubbleSort_live_blmc003.smt2	sat	0.31	sat	0.11	sat	0.11
BubbleSort_safe_bgmc004.smt2	unsat	0.11	unsat	0.11	unsat	0.11
BubbleSort_safe_blmc004.smt2	unsat	0.41	unsat	0.31	unsat	0.21
BubbleSort_safe_blmc016.smt2	unsat	2.81	unsat	7.12	unsat	0.81
InsertionSort_live_bgmc003.smt2	sat	0.21	sat	0.11	sat	0.11
InsertionSort_live_blmc004.smt2	sat	1.11	sat	0.11	sat	0.31
InsertionSort_safe_bgmc005.smt2	sat	0.21	sat	0.11	sat	0.11
LinearSearch_live_bgmc005.smt2	unsat	0.11	unsat	0.11	unsat	0.11
MinMax_safe_bgmc000.smt2	unsat	0.11	unsat	0.11	unsat	0.11
ParallelSearch_safe_bgmc000.smt2	unsat	0.11	unsat	0.11	unsat	0.11
Partition_live_blmc004.smt2	unsat	0.21	unsat	0.11	unsat	0.21
SelectionSort_live_bgmc002.smt2	sat	0.11	sat	0.11	sat	0.11
SelectionSort_live_blmc004.smt2	sat	0.61	sat	0.11	sat	0.21
SelectionSort_safe_bgmc006.smt2	unsat	0.21	unsat	0.11	unsat	0.11
SelectionSort_safe_blmc007.smt2	sat	0.91	sat	0.41	sat	0.31
SortingNetwork4_live_bgmc003.smt2	sat	0.11	sat	0.11	sat	0.11
SortingNetwork4_safe_blmc002.smt2	unsat	0.11	unsat	0.11	unsat	0.11
