file	axeyum	ax_s	z3	z3_s	cvc5	cvc5_s
From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p1784_safety_0.smt2	unknown	23.54	sat	0.81	sat	0.31
From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2235_terminationG_0.smt2	unknown	11.72	sat	0.61	sat	1.51
From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2587_safety_0.smt2	unknown	10.92	sat	1.21	unknown	26.21
From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	unknown	24.64	unknown	24.13	unknown	26.21
From_AProVE_2014__juHashMapCreateIteratorEntryLoop.jar-obl-12__p3150_safety_0.smt2	unknown	23.53	sat	0.91	unknown	26.22
From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5428_safety_0.smt2	unknown	10.92	sat	0.41	unknown	26.21
From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p5722_safety_0.smt2	unknown	13.23	sat	0.51	unknown	26.21
From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6041_safety_0.smt2	unknown	24.03	unsat	1.11	unknown	26.22
From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6315_safety_0.smt2	unknown	10.92	unknown	24.03	unknown	26.21
From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6637_safety_0.smt2	unknown	13.02	sat	0.41	unknown	26.22
From_AProVE_2014__juHashMapCreateRemove.jar-obl-11__p6984_safety_0.smt2	unknown	11.72	sat	2.11	sat	0.61
From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7265_safety_0.smt2	unknown	10.92	sat	2.11	sat	0.51
From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7535_safety_0.smt2	unknown	11.82	sat	5.42	unknown	26.22
From_AProVE_2014__juLinkedListCreateAddAll.jar-obl-11__p9492_safety_0.smt2	unknown	24.33	sat	8.72	unknown	26.22
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7725_safety_0.smt2	unknown	24.24	sat	1.81	sat	9.22
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p7871_safety_0.smt2	unknown	24.44	sat	6.62	sat	22.83
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8065_safety_0.smt2	unknown	24.33	sat	12.82	unknown	26.22
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8261_safety_0.smt2	unknown	24.23	sat	5.72	sat	5.02
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8434_safety_0.smt2	unknown	24.24	sat	0.51	sat	1.21
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8651_safety_0.smt2	unknown	24.44	sat	0.61	sat	0.41
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8809_safety_0.smt2	unknown	24.43	sat	1.61	sat	5.71
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8992_safety_0.smt2	unknown	24.23	sat	1.61	sat	2.91
From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p9188_safety_0.smt2	unknown	24.74	sat	0.31	unknown	26.21
From_AProVE_2014__juLinkedListCreateContainsAll.jar-obl-11__terminationS_0_0.smt2	unknown	24.94	unknown	24.14	unknown	26.21
From_AProVE_2014__mirrorInterv_rec.jar-obl-8__p10955_edge_closing_0.smt2	unknown	24.24	unknown	24.03	unknown	26.22
From_AProVE_2014__whileNested_rec.jar-obl-9__p14976_terminationG_0.smt2	unknown	24.23	unsat	4.02	unknown	26.21
From_T2__afagp-fail.t2__p15482_terminationG_0.smt2	unknown	12.32	unknown	24.03	unknown	26.21
From_T2__agafp.t2_fixed__terminationS_0_0.smt2	unknown	24.74	unsat	16.13	unknown	26.21
From_T2__apchild-accepted.t2__p16321_terminationG_0.smt2	unknown	8.92	unknown	24.14	unknown	26.22
From_T2__apchild-live.t2_fixed__p16479_terminationG_0.smt2	unknown	24.93	sat	2.81	unknown	26.21
From_T2__apchildlive-succeed.t2_fixed__p16399_edge_closing_0.smt2	unknown	17.03	unknown	24.13	unknown	26.21
From_T2__broydn.c.i.broydn.pl.t2.fixed.t2__term_unfeasibility_3_0.smt2	unknown	24.74	sat	9.62	sat	7.52
From_T2__byron-4.t2__p17594_terminationG_0.smt2	unknown	24.23	unknown	24.03	unknown	26.21
From_T2__consts1nt.t2__p17935_terminationG_0.smt2	unsat	2.81	unsat	0.41	unsat	0.11
From_T2__consts5nt.t2__p18457_edge_closing_0.smt2	unknown	24.44	sat	1.81	unknown	26.22
From_T2__db2.t2_fixed__terminationS_29_0.smt2	unknown	24.64	unsat	1.21	unsat	14.82
From_T2__disj_nightmare.t2__p18944_edge_closing_0.smt2	unknown	25.13	sat	0.71	sat	11.62
From_T2__edn.t2__p20109_safety_0.smt2	unknown	24.94	sat	0.21	unknown	26.21
From_T2__edn.t2__p20676_safety_0.smt2	unknown	24.43	sat	1.01	unknown	26.21
From_T2__efegp.t2__p21963_edge_closing_0.smt2	unknown	24.64	sat	1.41	sat	4.81
From_T2__ex19.t2__p22319_terminationG_0.smt2	unknown	24.14	unsat	1.01	unknown	26.22
From_T2__ex36.t2__p26914_safety_0.smt2	unknown	25.03	sat	0.41	sat	0.41
From_T2__ex36.t2__p28763_safety_0.smt2	unknown	25.03	sat	1.21	sat	0.31
From_T2__ex36.t2__p29986_safety_0.smt2	unknown	20.83	unsat	0.61	unsat	0.21
From_T2__ex36.t2__p31135_safety_0.smt2	unknown	24.54	sat	0.41	sat	0.31
From_T2__ex36.t2__p31933_safety_0.smt2	unknown	25.14	unknown	24.03	unknown	26.22
From_T2__ex36.t2_fixed__p23563_safety_0.smt2	sat	8.92	sat	0.51	sat	0.11
From_T2__firewire.t2__terminationS_13_0.smt2	unknown	11.12	unknown	24.03	unknown	26.22
From_T2__foo.t2__terminationS_32_0.smt2	unknown	21.63	unknown	24.14	unknown	26.21
From_T2__fun1.t2_fixed__p697_terminationG_0.smt2	unknown	24.64	unknown	24.03	unknown	26.22
From_T2__fun1b.t2__terminationS_11_0.smt2	unknown	24.23	unsat	4.62	unsat	16.23
From_T2__fun7.t2__p1152_terminationG_0.smt2	unknown	24.44	unknown	24.13	unknown	26.22
