file	order	off_verdict	off_ms	on_verdict	on_ms
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/coef-size/smt/size-10/c10_problem__001.smt2.slack.smt2	off-on	sat	111	sat	110
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/15-vars/v15_problem_2__015.smt2.slack.smt2	on-off	sat	509	sat	510
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/25-vars/v25_problem_2__027.smt2.slack.smt2	off-on	unknown	24531	unknown	24632
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/35-vars/v35_problem_2__019.smt2.slack.smt2	on-off	sat	4313	sat	4313
QF_LIA/20180326-Bromberger/more_slacked/CAV_2009_benchmarks/smt/45-vars/v45_problem_2__011.smt2.slack.smt2	off-on	sat	9118	sat	9118
QF_LIA/20180326-Bromberger/more_slacked/cut_lemmas/20-vars/cut_lemma_02_016.smt2.slack.smt2	on-off	unknown	24331	unknown	24233
QF_LIA/20180326-Bromberger/unbd-sage/unbd100v110c/unbd-sage19.smt2	off-on	unknown	409	unknown	409
QF_LIA/2019-cmodelsdiff/stillLive/0006-still_live-11-1.smt2	on-off	sat	1410	sat	1412
QF_LIA/2019-ezsmt/weightedSequence/09-treeWeight-729-8leaves.smt2	off-on	sat	8417	sat	8418
QF_LIA/20210219-Dartagnan/ReachSafety-Loops/jm2006_variant-O0.smt2	on-off	unknown	25034	unknown	25033
QF_LIA/20220307-SMPT/BART-PT-005/RF-11.smt2	off-on	sat	308	sat	309
QF_LIA/20220307-SMPT/BART-PT-040/RF-15.smt2	on-off	sat	1311	sat	1310
QF_LIA/20220307-SMPT/CircularTrains-PT-048/RC-03.smt2	off-on	unsat	109	unsat	109
QF_LIA/20220307-SMPT/Diffusion2D-PT-D05N010/RC-10.smt2	on-off	sat	108	sat	109
QF_LIA/20220307-SMPT/Diffusion2D-PT-D05N200/RF-07.smt2	off-on	sat	110	sat	108
QF_LIA/20220307-SMPT/Diffusion2D-PT-D10N050/RC-02.smt2	on-off	sat	109	sat	109
QF_LIA/20220307-SMPT/Diffusion2D-PT-D20N010/RC-06.smt2	off-on	sat	108	sat	109
QF_LIA/20220307-SMPT/Diffusion2D-PT-D30N010/RC-10.smt2	on-off	sat	510	sat	510
QF_LIA/20220307-SMPT/Diffusion2D-PT-D40N010/RC-14.smt2	off-on	sat	610	sat	610
QF_LIA/20220307-SMPT/Diffusion2D-PT-D50N010/RF-02.smt2	on-off	sat	8717	sat	8718
QF_LIA/20220307-SMPT/ERK-PT-000001/RF-07.smt2	off-on	sat	109	sat	109
QF_LIA/20220307-SMPT/ERK-PT-100000/RC-05.smt2	on-off	sat	109	sat	109
QF_LIA/20220307-SMPT/Eratosthenes-PT-100/RC-10.smt2	off-on	unsat	108	unsat	110
QF_LIA/20220307-SMPT/FMS-PT-00005/RC-14.smt2	on-off	sat	109	sat	109
QF_LIA/20220307-SMPT/FMS-PT-00100/RF-07.smt2	off-on	sat	109	sat	109
QF_LIA/20220307-SMPT/FMS-PT-05000/RC-00.smt2	on-off	unsat	108	unsat	109
QF_LIA/20220307-SMPT/FamilyReunion-PT-L00400M0040C020P020G001/RC-07.smt2	off-on	unknown	25335	unknown	25336
QF_LIA/20220307-SMPT/HouseConstruction-PT-00020/RC-12.smt2	on-off	sat	109	sat	109
QF_LIA/20220307-SMPT/HouseConstruction-PT-00500/RF-13.smt2	off-on	sat	108	sat	109
QF_LIA/20220307-SMPT/HouseConstruction-PT-16000/RC-04.smt2	on-off	sat	109	sat	109
QF_LIA/20220307-SMPT/IOTPpurchase-PT-C03M03P03D03/RC-08.smt2	off-on	sat	109	sat	109
QF_LIA/20220307-SMPT/Kanban-PT-00010/RC-12.smt2	on-off	sat	108	sat	109
QF_LIA/20220307-SMPT/Kanban-PT-00200/RF-01.smt2	off-on	sat	109	sat	108
QF_LIA/20220307-SMPT/Kanban-PT-05000/RF-11.smt2	on-off	unsat	109	unsat	109
QF_LIA/20220307-SMPT/MAPK-PT-00020/RC-02.smt2	off-on	sat	108	sat	109
QF_LIA/20220307-SMPT/MAPK-PT-00320/RC-06.smt2	on-off	sat	109	sat	109
QF_LIA/20220307-SMPT/MAPK-PT-05120/RC-14.smt2	off-on	sat	108	sat	109
QF_LIA/20220307-SMPT/NeighborGrid-PT-d3n3m1t11/RF-05.smt2	on-off	sat	109	sat	108
QF_LIA/20220307-SMPT/Referendum-PT-010/RF-10.smt2	off-on	unsat	108	unsat	108
QF_LIA/20220307-SMPT/Referendum-PT-0200/RF-14.smt2	on-off	sat	309	sat	309
QF_LIA/20220307-SMPT/RobotManipulation-PT-00005/RC-03.smt2	off-on	sat	109	sat	109
QF_LIA/20220307-SMPT/RobotManipulation-PT-00100/RC-12.smt2	on-off	sat	108	sat	109
QF_LIA/20220307-SMPT/RobotManipulation-PT-02000/RF-11.smt2	off-on	unsat	108	unsat	109
QF_LIA/20220307-SMPT/RwMutex-PT-r0010w0050/RC-06.smt2	on-off	sat	408	sat	409
QF_LIA/20220307-SMPT/RwMutex-PT-r0010w2000/RC-11.smt2	off-on	unknown	25032	unknown	25033
QF_LIA/20220307-SMPT/RwMutex-PT-r1000w0010/RC-15.smt2	on-off	unknown	25134	unknown	25135
QF_LIA/20220307-SMPT/SharedMemory-PT-000020/RF-06.smt2	off-on	sat	2512	sat	2511
QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT0016DC0008/RF-11.smt2	on-off	unsat	109	unsat	109
QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT0128DC0032/RC-03.smt2	off-on	sat	109	sat	108
QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT0512DC0128/RF-11.smt2	on-off	sat	109	sat	108
QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT2048DC1024/RC-09.smt2	off-on	sat	109	sat	109
QF_LIA/20220307-SMPT/SmallOperatingSystem-PT-MT8192DC4096/RF-10.smt2	on-off	unsat	109	unsat	110
QF_LIA/20220307-SMPT/SwimmingPool-PT-03/RC-12.smt2	off-on	sat	110	sat	110
QF_LIA/20220307-SMPT/SwimmingPool-PT-08/RC-02.smt2	on-off	sat	109	sat	108
QF_LIA/20231117-c_inference/60_60_46_20_sat.smt2	off-on	unknown	10518	unknown	10519
QF_LIA/CAV_2009_benchmarks/smt/10-vars/problem_2__026.smt2	on-off	unsat	108	unsat	109
QF_LIA/CAV_2009_benchmarks/smt/20-vars/problem__003.smt2	off-on	sat	108	sat	109
QF_LIA/CAV_2009_benchmarks/smt/30-vars/problem_2__030.smt2	on-off	sat	2011	sat	2011
QF_LIA/CAV_2009_benchmarks/smt/40-vars/problem_2__022.smt2	off-on	sat	1209	sat	1210
QF_LIA/CIRC/multiplier/MULTIPLIER_64.msat.smt2	on-off	sat	409	sat	409
QF_LIA/arctic-matrix/constraint-654327.smt2	off-on	unknown	410	unknown	409
QF_LIA/bofill-scheduling/SMT_random_LIA/ex20400_2600_100.smt2	on-off	unknown	24132	unknown	24132
QF_LIA/bofill-scheduling/SMT_random_LIA/ex8500_2600_100.smt2	off-on	unknown	24232	unknown	24131
QF_LIA/bofill-scheduling/SMT_real_LIA/ex4320_2400_100.smt2	on-off	unsat	8117	unsat	8116
QF_LIA/bofill-scheduling/SMT_real_LIA/ex6960_2400_100.smt2	off-on	sat	20328	sat	20328
QF_LIA/bofill-scheduling/SMT_real_LIA/ex9600_2400_100.smt2	on-off	sat	14923	sat	15023
QF_LIA/convert/convert-jpg2gif-query-1214.smt2	off-on	unsat	208	unsat	209
QF_LIA/convert/convert-jpg2gif-query-1501.smt2	on-off	unknown	8516	unknown	8516
QF_LIA/cut_lemmas/15-vars/cut_lemma_01_009.smt2	off-on	unsat	109	unsat	109
QF_LIA/dillig/20-30.smt2	on-off	sat	10119	sat	10118
QF_LIA/dillig/40-30.smt2	off-on	sat	11120	sat	11119
QF_LIA/mathsat/FISCHER6-4-fair.smt2	on-off	unsat	409	unsat	409
QF_LIA/nec-smt/large/bftpd_login/prp-22-48.smt2	off-on	unknown	25136	unknown	25136
QF_LIA/nec-smt/large/bftpd_login/prp-48-49.smt2	on-off	unknown	25135	unknown	25134
