file	A	A_ms	A_rc	B	B_ms	B_rc	first
AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__communication.adb_41_32_overflow_check___00.smt2	unknown	24036	0	unknown	23435	0	A
UFLIA/20230314-Jaroslav-Bendik-Certora/52759_b3ecd2335fd16ec2eee2_9_UFLIA.smt2	unknown	4515	0	unknown	4914	0	B
UF/20170428-Barrett/cdt-cade2015/nada/afp/abstract_completeness/x2015_09_10_17_00_22_297_1090463.smt_in.smt2	unsat	5816	0	unsat	5915	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__p_max_array.adb_56_25_index_check___00.smt2	unsat	111	0	unsat	108	0	B
UFLIA/boogie/Arrays_Q3-noinfer.smt2	unknown	24137	0	unknown	24137	0	A
UF/20170428-Barrett/cdt-cade2015/nada/afp/bindag/x2015_09_10_16_53_11_421_1041162.smt_in.smt2	unsat	2513	0	unsat	2511	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__stack.adb_42_18_index_check___00.smt2	unsat	110	0	unsat	109	0	A
UFLIA/boogie/Bag2_Bag.Add_System.Int32.smt2	unknown	24238	0	unknown	25037	0	B
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_51_06_177_1165813.smt_in.smt2	unknown	12524	0	unknown	12623	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_105_33_loop_invariant_preserv___00.smt2	unsat	111	0	unsat	108	0	B
UFLIA/boogie/Cast_Cast.R_System.Object_System.Int32.smt2	unknown	24136	0	unknown	24135	0	A
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_54_53_962_1372467.smt_in.smt2	unknown	8821	0	unknown	8118	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_25_35_index_check___00.smt2	unsat	111	0	unsat	110	0	A
UFLIA/boogie/DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2	unknown	24238	0	unknown	25038	0	B
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_56_49_581_1468798.smt_in.smt2	unsat	610	0	unsat	609	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_85_22_overflow_check___00.smt2	unknown	25038	0	unknown	25036	0	B
UFLIA/boogie/ExposeVersion_D..ctor-level_2.smt2	unknown	24137	0	unknown	24136	0	A
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_16_58_55_174_1583194.smt_in.smt2	unknown	8520	0	unknown	9319	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/I827-015__oo__instr.adb_7_18_index_check___00.smt2	unsat	109	0	unsat	108	0	A
UFLIA/boogie/Interval_Cell.Shift_System.Int32.smt2	unknown	24136	0	unknown	24135	0	B
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_00_37_157_1687977.smt_in.smt2	unknown	25039	0	unknown	25037	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/K330-014__loop_entry__while_loops.adb_65_36_loop_invariant_init___00.smt2	unsat	110	0	unsat	108	0	B
UFLIA/boogie/loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2	unknown	24138	0	unknown	24235	0	A
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_02_01_325_1794353.smt_in.smt2	unsat	4716	0	unsat	4613	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/K607-022__unconstrained_array__simple_unc_arrays.adb_50_24_index_check___00.smt2	unsat	111	0	unsat	109	0	A
UFLIA/boogie/Passification_good1-noinfer.smt2	unsat	111	0	unsat	109	0	B
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_03_24_482_1905427.smt_in.smt2	unsat	4814	0	unsat	4912	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/K627-010__stable_marriage__stable_marriage.adb_33_26_index_check___00.smt2	unsat	110	0	unsat	109	0	B
UFLIA/boogie/Quantifiers_V1-noinfer.smt2	unsat	210	0	unsat	208	0	A
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_05_03_974_2039882.smt_in.smt2	unsat	1513	0	unsat	1609	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/K930-012__post__p.ads_6_36_index_check___00.smt2	unsat	109	0	unsat	109	0	A
UFLIA/boogie/StrictReadOnly_C1.Z1.smt2	unknown	24137	0	unknown	24134	0	B
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_06_31_491_2161158.smt_in.smt2	unknown	23035	0	unknown	22828	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/KB25-003__slices__pack.adb_65_22_assert___00.smt2	unknown	12424	0	unknown	12622	0	B
UFLIA/boogie/Unsigned_test.Conversions_System.UInt32_System.Double.smt2	unknown	24133	0	unknown	24132	0	A
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_08_02_969_2287043.smt_in.smt2	sat	209	0	sat	209	0	B
AUFDTLIRA/20200306-Kanig/spark2014bench/L831-003__not_in__lcp.ads_9_54_index_check___00.smt2	unsat	110	0	unsat	109	0	A
UFLIA/grasshopper/instantiated/delete_check_heap_access_53_12.smt2	unknown	23835	0	unknown	24035	0	B
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_09_42_195_2416479.smt_in.smt2	unsat	4814	0	unsat	5114	0	A
AUFDTLIRA/20200306-Kanig/spark2014bench/LB28-004__loop_variant__p.adb_85_7_loop_variant___00.smt2	unsat	1511	0	unsat	709	0	B
UFLIA/grasshopper/instantiated/reverse_loop_check_heap_access_35_4.smt2	unsat	2613	0	unsat	2611	0	A
UF/20170428-Barrett/cdt-cade2015/nada/afp/coinductive_list/x2015_09_10_17_11_51_397_2586526.smt_in.smt2	unsat	2613	0	unsat	2812	0	B
