division	file	A_macro_on	A_ms	A_rc	B_macro_off	B_ms	B_rc	first	delta
AUFLIRA	AUFLIRA/FFT/smtlib.562660.smt2	timeout	12214	0	timeout	12216	0	A	same
AUFLIRA	AUFLIRA/nasa/fol_simplify_arithmetics/gauss_init_0191.fof.smt2	unsat	111	0	unsat	113	0	B	same
AUFLIRA	AUFLIRA/nasa/fol_simplify_arithmetics/quaternion_ds1_symm_0008.fof.smt2	unsat	110	0	unsat	110	0	A	same
AUFLIRA	AUFLIRA/nasa/fol_simplify_arithmetics/thruster_init_0161.fof.smt2	unsat	111	0	unsat	110	0	B	same
AUFLIRA	AUFLIRA/nasa/fol_simplify_arithmetics/thruster_inuse_0068.fof.smt2	unsat	111	0	unsat	110	0	A	same
AUFLIRA	AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0015.fof.smt2	unsat	110	0	unsat	112	0	B	same
AUFLIRA	AUFLIRA/nasa/fol_simplify_array_only/cl5_nebula_init_0115.fof.smt2	unsat	111	0	unsat	111	0	A	same
AUFLIRA	AUFLIRA/nasa/fol_simplify_array_only/gauss_init_0005.fof.smt2	unsat	111	0	unsat	111	0	B	same
AUFLIRA	AUFLIRA/nasa/fol_simplify/cl5_nebula_init_0005.fof.smt2	unsat	111	0	unsat	111	0	A	same
AUFLIRA	AUFLIRA/nasa/fol_simplify/cl5_nebula_init_0111.fof.smt2	unsat	110	0	unsat	112	0	B	same
AUFLIRA	AUFLIRA/nasa/fol_simplify/gauss_init_0176.fof.smt2	unsat	110	0	unsat	111	0	A	same
AUFLIRA	AUFLIRA/nasa/fol_simplify_structure_prop/cl5_nebula_init_0022.fof.smt2	unsat	110	0	unsat	113	0	B	same
AUFLIRA	AUFLIRA/nasa/fol_simplify_structure_prop/thruster_init_0070.fof.smt2	unsat	111	0	unsat	111	0	A	same
AUFLIRA	AUFLIRA/nasa/fol_simplify_structure_prop/thruster_init_0197.fof.smt2	unsat	111	0	unsat	111	0	B	same
AUFLIRA	AUFLIRA/nasa/fol_simplify/thruster_inuse_0001.fof.smt2	timeout	12120	0	timeout	12115	0	A	same
AUFLIRA	AUFLIRA/nasa/vc_normalize_subst/cl5_nebula_init_0040.fof.smt2	unsat	110	0	unsat	112	0	B	same
AUFLIRA	AUFLIRA/nasa/vc_normalize_subst/quaternion_ds1_init_0011.fof.smt2	unsat	112	0	unsat	111	0	A	same
AUFLIRA	AUFLIRA/peter/symmetric_sat_65.smt2	timeout	12115	0	timeout	12116	0	B	same
AUFLIRA	AUFLIRA/peter/symmetric_unsat_66.smt2	unsat	211	0	unsat	312	0	A	same
AUFLIRA	AUFLIRA/why/smtlib75ff16.smt2	timeout	12114	0	timeout	12118	0	B	same
AUFLIRA	AUFLIRA/why/smtlibc3263d.smt2	unsat	110	0	unsat	110	0	A	same
AUFLIRA	AUFLIRA/why/smtlibea82d1.smt2	unsat	111	0	unsat	111	0	B	same
