division	file	A_macro_on	A_ms	A_rc	B_macro_off	B_ms	B_rc	first	delta
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__ints.adb_42_24_overflow_check___00.smt2	timeout	12114	0	timeout	12115	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/JC17-017__exit__p.adb_17_7_assert___00.smt2	sat	107	0	sat	108	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/K303-015__named_arguments__substract.adb_4_20_overflow_check___00.smt2	sat	109	0	sat	108	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/K519-031__subarray__subar.adb_51_10_dead_code___00.smt2	sat	108	0	sat	109	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_104_41_precondition___00.smt2	unsat	108	0	unsat	109	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_36_16_loop_invariant_init___00.smt2	unsat	109	0	unsat	109	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/K912-024__effects__using.ads_6_43_unreachable_branch___00.smt2	sat	109	0	sat	107	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/L503-008__iterators__p.adb_28_19_precondition___00.smt2	timeout	12117	0	timeout	12114	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/L719-025__lists_equal__p.adb_25_7_precondition___00.smt2	unsat	108	0	unsat	108	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/L926-036__loopinv__counters.adb_18_21_overflow_check___00.smt2	timeout	12115	0	timeout	12116	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/LC17-035__update_attribute_multidim__update_checks.adb_101_34_range_check___00.smt2	timeout	12114	0	timeout	12117	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/LC17-035__update_attribute_multidim__update_checks.adb_69_44_range_check___00.smt2	timeout	12113	0	timeout	12115	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/M213-022__flow_loops__test.adb_134_17_range_check___00.smt2	sat	109	0	sat	109	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/M301-035__flow__interprocedural_analysis_tests__single_compilation_unit.adb_94_17_overflow_check___00.smt2	sat	109	0	sat	109	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/M318-017__flow_variant_records__test.adb_23_12_discriminant_check___00.smt2	timeout	12114	0	timeout	12116	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/M409-046__subtype__main.adb_6_14_predicate_check___00.smt2	sat	108	0	sat	108	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/M801-016__flow_contract_cases__contract_cases.adb_19_38_contract_case___00.smt2	sat	108	0	sat	108	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/MA28-033__flow_null_calls_ineffective__p.adb_117_32_overflow_check___00.smt2	sat	109	0	sat	108	0	B	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/MA29-016__flow_refinement__levels.adb_127_61_overflow_check___00.smt2	sat	108	0	sat	109	0	A	same
UFDTLIRA	UFDTLIRA/20200306-Kanig/spark2014bench/MB27-015__record_default_init__fsb.adb_24_16_overflow_check___00.smt2	sat	107	0	sat	109	0	B	same
