sec	rss_kb	vmhwm_kb	worker_utime_ticks	worker_state
0	27532	28284	10	R
1	93480	93480	106	R
2	102952	116580	204	R
3	91804	120244	305	R
4	88944	120244	404	R
5	88240	120244	504	R
6	89432	120244	604	R
7	107892	120244	704	R
8	107896	120244	805	R
9	107896	120244	906	R
10	107900	120244	1007	R
11	279780	283140	1094	R
12	282788	283200	1165	R
13	276640	283188	1236	R
14	276156	288152	1313	R
15	288200	288200	1386	R
16	282500	288152	1461	R
17	277176	292812	1536	R
18	286988	292812	1609	R
19	287396	292820	1683	R
20	285540	292880	1755	R
21	287612	292936	1827	R
22	284700	292936	1904	R
23	291216	292992	1977	R
24	291876	292936	2049	R
25	292884	292936	2124	R
26	277260	292936	2198	R
27	292392	292936	2271	R
28	287044	292936	2346	R
29	276680	292936	2435	R
30	272072	292936	2536	R
31	273156	292936	2637	R
32	275460	292936	2737	R
33	275460	292936	2838	R
34	275460	292936	2939	R
35	275460	292936	3040	R
36	275460	292936	3140	R
37	275460	292936	3242	R
38	275460	292936	3342	R
39	275460	292936	3443	R
40	275460	292936	3544	R
41	275480	292936	3644	R
42	276104	292936	3745	R
43	276116	292936	3846	R
44	276116	292936	3946	R
45	276116	292936	4047	R
46	276116	292936	4148	R
47	276116	292936	4249	R
48	276116	292936	4349	R
49	276116	292936	4451	R
50	276116	292936	4551	R
51	276116	292936	4652	R
52	276116	292936	4753	R
53	276116	292936	4854	R
54	276116	292936	4956	R
55	278312	292936	5056	R
56	278316	292936	5157	R
57	278320	292936	5258	R
