file	base	base_ms	base_rc	arm	arm_ms	arm_rc	first	status
AUFLIA/20170829-Rodin/smt1002232729905089644.smt2	unsat	207	0	unsat	208	0	base	unsat
AUFLIA/20170829-Rodin/smt1032124330408667615.smt2	unsat	108	0	unsat	107	0	base	unsat
AUFLIA/20170829-Rodin/smt1067115465308413335.smt2	unsat	107	0	unsat	107	0	base	unsat
AUFLIA/20170829-Rodin/smt1091711852231921911.smt2	unknown	3712	0	unknown	3411	0	base	unsat
AUFLIA/20170829-Rodin/smt1136788158000591388.smt2	sat	109	0	sat	108	0	base	sat
AUFLIA/20170829-Rodin/smt1187674192038390930.smt2	unsat	609	0	unsat	607	0	base	unsat
AUFLIA/20170829-Rodin/smt1231654042192635708.smt2	unknown	13321	0	unknown	12719	0	base	unsat
AUFLIA/20170829-Rodin/smt1266019975548548376.smt2	unknown	1009	0	unknown	609	0	base	unsat
AUFLIA/20170829-Rodin/smt1311284198475742442.smt2	unsat	4011	0	unsat	3810	0	base	unsat
AUFLIA/20170829-Rodin/smt1355243903664952549.smt2	unsat	4512	0	unsat	3810	0	arm	unsat
AUFLIA/20170829-Rodin/smt1401701765209513818.smt2	unsat	108	0	unsat	107	0	arm	unsat
AUFLIA/20170829-Rodin/smt1450100185779015749.smt2	unknown	7219	0	unknown	5414	0	arm	unknown
AUFLIA/20170829-Rodin/smt1481896474875423539.smt2	unknown	24136	0	unknown	24228	0	arm	unsat
AUFLIA/20170829-Rodin/smt1514353444141411009.smt2	unknown	14825	0	unknown	9016	0	arm	unsat
AUFLIA/20170829-Rodin/smt1573867544468288275.smt2	unsat	109	0	unsat	109	0	arm	unsat
AUFLIA/20170829-Rodin/smt1631959920870685887.smt2	sat	109	0	sat	108	0	arm	sat
AUFLIA/20170829-Rodin/smt166962401924695243.smt2	unknown	2510	0	unknown	2410	0	arm	unsat
AUFLIA/20170829-Rodin/smt1698635312226909992.smt2	unknown	25033	0	unknown	25031	0	arm	unknown
AUFLIA/20170829-Rodin/smt1729704176254333878.smt2	unsat	108	0	unsat	107	0	base	unsat
AUFLIA/20170829-Rodin/smt1771627171023737362.smt2	unsat	108	0	unsat	107	0	base	unsat
AUFLIA/20170829-Rodin/smt180530979292279200.smt2	unsat	110	0	unsat	108	0	base	unsat
AUFLIA/20170829-Rodin/smt1843139230315038241.smt2	unknown	22334	0	unknown	12822	0	base	unsat
AUFLIA/20170829-Rodin/smt1884909837291707695.smt2	unsat	109	0	unsat	109	0	base	unsat
AUFLIA/20170829-Rodin/smt1922106165112082235.smt2	unsat	811	0	unsat	808	0	base	unsat
AUFLIA/20170829-Rodin/smt1938054442494340361.smt2	unsat	109	0	unsat	108	0	base	unsat
AUFLIA/20170829-Rodin/smt1980762352511898835.smt2	unknown	18824	0	unknown	12918	0	base	unsat
AUFLIA/20170829-Rodin/smt2019974996567731041.smt2	sat	109	0	sat	107	0	base	sat
AUFLIA/20170829-Rodin/smt2078011795280993964.smt2	unknown	7415	0	unknown	6513	0	arm	unsat
