file	order	off_verdict	off_ms	on_verdict	on_ms
QF_BV/2017-BuchwaldFried/synthesis.dump.ia32_RorMem_base_index_scale_disp2--Add32.Add32.Add32.Add32.load32.Shl32.Shr32.store32.am_shl32.0001.smt2	off-on	unknown	24334	unknown	24334
QF_BV/20170531-Hansen-Check/division_by_zero0.smt2	on-off	unsat	111	unsat	110
QF_BV/2018-Goel-hwbench/QF_BV_bv_bv_eq_sdp_v4_cc_ref_max.smt2	off-on	sat	310	sat	310
QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1327.smt2	on-off	unsat	110	unsat	110
QF_BV/20190429-UltimateAutomizerSvcomp2019/byte_add_1_true-unreach-call_true-no-overflow_true-termination.i_11.smt2	off-on	unsat	109	unsat	111
QF_BV/2020-Weber/extensions.smt2	on-off	unsat	209	unsat	211
QF_BV/20200415-Yurichev/t2.smt2	off-on	unknown	24135	unknown	24136
QF_BV/20210219-Sydr/symbolic_memory/bst/readelf/predicate_2077.smt2	on-off	sat	211	sat	210
QF_BV/20210312-Bouvier/vlsat3_a25.smt2	off-on	unknown	24235	unknown	24234
QF_BV/20220315-ecrw/rw_rule_candidate_vmcai_2022_bw512_22.smt2	on-off	unknown	39853	unknown	36648
QF_BV/20221012-MCMPC/wage_circuit_div/wage_circuit_div.t1.i28.28640e91.smt2	off-on	sat	112	sat	111
QF_BV/20221214-p4dfa-XiaoqiChen/MobileDevice/mobiledevice_bit8_na1_nr1_twocond.smt2	on-off	sat	509	sat	512
QF_BV/20230221-oisc-gurtner/SRL-SAFE-64-64.smt2	off-on	unknown	24137	unknown	24134
QF_BV/20230224-grsbits-truby/grs-64-96.smt2	on-off	unknown	24537	unknown	24235
QF_BV/20230321-UltimateAutomizerSvcomp2023/cohencu.c_3.smt2	off-on	unknown	24235	unknown	24134
QF_BV/RWS/Example_8.txt.smt2	on-off	sat	309	sat	310
QF_BV/Sage2/bench_17865.smt2	off-on	unsat	3714	unsat	3513
QF_BV/VS3/VS3-benchmark-S2.smt2	on-off	unknown	24335	unknown	24235
QF_BV/asp/MazeGeneration/maze-generation-width=10-height=10-density=0.01-run=4.smt2	off-on	unsat	309	unsat	210
QF_BV/bench_ab/b26test0001.smt2	on-off	sat	110	sat	110
QF_BV/bmc-bv-svcomp14/interleave_bits_true.c.17.smt2	off-on	unsat	110	unsat	109
QF_BV/bmc-bv/sort.smt2	on-off	sat	210	sat	209
QF_BV/brummayerbiere/countbitssrl016.smt2	off-on	unsat	911	unsat	1011
QF_BV/brummayerbiere2/umulov1bw128.smt2	on-off	unknown	24137	unknown	24136
QF_BV/brummayerbiere3/minand128.smt2	off-on	unsat	2512	unsat	2411
QF_BV/brummayerbiere4/unconstrained03.smt2	on-off	NONE	41221	NONE	40510
QF_BV/bruttomesso/core/ext_con_032_002_0256.smt2	off-on	unknown	24134	unknown	24134
QF_BV/calypto/problem_24.smt2	on-off	sat	110	sat	110
QF_BV/challenge/multiplyOverflow.smt2	off-on	unknown	24134	unknown	24134
QF_BV/check2/repeat.smt2	on-off	unsat	109	unsat	109
QF_BV/crafted/bitvec4.smt2	off-on	unsat	109	unsat	110
QF_BV/dwp_formulas/try5_small_noof_functions_dwp_sha512sum.quoting_options_from_style.il.dwp.smt2	on-off	unsat	109	unsat	110
QF_BV/fft/Sz512_15128_4.smt2	off-on	unknown	24234	unknown	24234
QF_BV/float/add_01_1000_4.smt2	on-off	unsat	4114	unsat	4214
QF_BV/galois/iffyInterleavedModMult-32.smt2	off-on	unknown	24228	unknown	24133
QF_BV/gulwani-pldi08/fig5.phx.smt2	on-off	sat	409	sat	408
QF_BV/log-slicing/bvsdiv_19.smt2	off-on	unknown	24133	unknown	24234
QF_BV/mcm/03.smt2	on-off	sat	8818	sat	8818
QF_BV/pipe/pipe-noabs.atlas.qf_bv.smt2	off-on	unknown	24133	unknown	24133
QF_BV/pspace/shift1add.29940.smt2	on-off	unknown	25735	unknown	25935
QF_BV/sage/app2/bench_371.smt2	off-on	unsat	109	unsat	109
QF_BV/spear/cvs_v1.11.22/cvs_vc105458.smt2	on-off	sat	409	sat	409
QF_BV/stp_samples/run_00000.trace.Alloc_large__016677.smt2	off-on	unsat	109	unsat	109
QF_BV/tacas07/Y86_btnft.smt2	on-off	unknown	24134	unknown	24234
QF_BV/uclid/catchconv/convert-jpg2gif-query-901.smt2	off-on	sat	209	sat	110
QF_BV/uclid_contrib_smtcomp09/std_bv_formula.smt2	on-off	unknown	24134	unknown	24234
QF_BV/uum/uum12.smt2	off-on	unknown	24133	unknown	24133
QF_BV/wienand-cav2008/Commute/commute32.sf.smt2	on-off	unsat	109	unsat	109
