file	verdict	nra_real_root_detail
QF_NRA/20200911-Pine/1599121863243316000.smt2	unknown	declined: exact real-polynomial decider declined: non-conjunctive (cad-arm=single-cell)
QF_NRA/20200911-Pine/1599121905450496000.smt2	unknown	declined: exact real-polynomial decider declined: non-conjunctive (cad-arm=single-cell)
QF_NRA/20200911-Pine/1599122164633784000.smt2	unknown	declined: exact real-polynomial decider declined: non-conjunctive (cad-arm=single-cell)
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_ISSAC05_Bessack_5_m4.smt2	unknown	declined: exact real-polynomial decider declined: non-conjunctive (cad-arm=single-cell)
QF_NRA/meti-tarski/RL-high-pass-circuit/RL-high-pass-circuit-gain-chunk-0012.smt2	unknown	declined: exact real-polynomial decider declined: projection (cad-arm=single-cell)
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0014.smt2	unknown	declined: exact real-polynomial decider declined: algebraic-witness (cad-arm=single-cell)
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0018.smt2	unknown	declined: exact real-polynomial decider declined: non-conjunctive (cad-arm=single-cell)
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0089.smt2	unknown	declined: exact real-polynomial decider declined: non-conjunctive (cad-arm=single-cell)
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0159.smt2	unknown	declined: exact real-polynomial decider declined: non-conjunctive (cad-arm=single-cell)
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0242.smt2	unknown	declined: exact real-polynomial decider declined: non-conjunctive (cad-arm=single-cell)
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0545.smt2	unknown	declined: exact real-polynomial decider declined: non-conjunctive (cad-arm=single-cell)
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0243.smt2	sat	declined: exact real-polynomial decider declined: non-conjunctive (cad-arm=single-cell)
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0388.smt2	unknown	declined: exact real-polynomial decider declined: non-conjunctive (cad-arm=single-cell)
QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0017.smt2	unknown	declined: exact real-polynomial decider declined: algebraic-witness (cad-arm=single-cell)
QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0139.smt2	unknown	declined: exact real-polynomial decider declined: algebraic-witness (cad-arm=single-cell)
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0142.smt2	unknown	declined: exact real-polynomial decider declined: algebraic-witness (cad-arm=single-cell)
QF_NRA/meti-tarski/polypaver/sqrt43-int/3vars/polypaver-sqrt43-int-3vars-chunk-0046.smt2	unknown	declined: exact real-polynomial decider declined: root-ordering (cad-arm=single-cell)
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0147.smt2	unsat	decided
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0291.smt2	unknown	declined: exact real-polynomial decider declined: algebraic-witness (cad-arm=single-cell)
QF_NRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0124.smt2	sat	decided
QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0131.smt2	sat	declined: exact real-polynomial decider declined: non-conjunctive (cad-arm=single-cell)
QF_NRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0050.smt2	unknown	declined: exact real-polynomial decider declined: algebraic-witness (cad-arm=single-cell)
QF_NRA/meti-tarski/sqrt/circles/3/sqrt-circles-3-chunk-0021.smt2	unknown	declined: exact real-polynomial decider declined: projection (cad-arm=single-cell)
QF_NRA/meti-tarski/sqrt/problem/12vars3/sqrt-problem-12vars3-chunk-0089.smt2	unknown	declined: exact real-polynomial decider declined: certificate-rejected (cad-arm=single-cell)
