file	A	B	A_ms	B_ms	first
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__ChenFlurMukhopadhyay-SAS2012-Ex3.06_false-termination.c__p22014_terminationG_0.smt2	unknown	unknown	24628	24231	A
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__LeikeHeizmann-WST2014-Ex5_false-termination.c__p24052_edge_closing_0.smt2	sat	sat	10020	10120	B
QF_NIA/20170427-VeryMax/CInteger/Stroeder_15__svcomp_ex2.c__p25866_terminationG_0.smt2	unknown	unknown	24229	24228	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__ConvertRec.jar-obl-9__p28030_safety_0.smt2	unknown	unknown	24134	24131	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__FlattenTreeListRec.jar-obl-10__p29567_safety_0.smt2	sat	sat	10919	10918	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateClear.jar-obl-11__p30726_safety_0.smt2	unknown	unknown	11022	10919	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsKey.jar-obl-11__p31818_safety_0.smt2	unknown	unknown	23532	23429	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p420_safety_0.smt2	unknown	unknown	11020	11019	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateIsEmpty.jar-obl-10__p2868_edge_closing_0.smt2	unknown	unknown	25130	25127	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreate.jar-obl-10__p4943_safety_0.smt2	unknown	unknown	11020	11018	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreatePut.jar-obl-10__p6041_safety_0.smt2	unknown	unknown	24229	24231	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateSize.jar-obl-10__p7265_safety_0.smt2	unknown	unknown	11020	10920	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8065_safety_0.smt2	unknown	unknown	24332	24330	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateAddAllAt.jar-obl-17__p8809_safety_0.smt2	unknown	unknown	24126	24127	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juLinkedListCreateContainsAll.jar-obl-11__terminationS_0_0.smt2	unknown	unknown	24328	24531	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__mirrorInterv_rec.jar-obl-8__p10955_edge_closing_0.smt2	sat	sat	11221	11120	B
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Test13Loops.jar-obl-10__p12737_edge_closing_0.smt2	sat	sat	10921	10920	A
QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__Velroyen08-middle.jar-obl-8__p14206_terminationG_0.smt2	sat	sat	11518	11619	B
QF_NIA/20170427-VeryMax/ITS/From_T2__agafp.t2_fixed__terminationS_0_0.smt2	unknown	unknown	24226	24227	A
QF_NIA/20170427-VeryMax/ITS/From_T2__broydn.c.i.broydn.pl.t2.fixed.t2__term_unfeasibility_3_0.smt2	sat	sat	11219	11219	B
QF_NIA/20170427-VeryMax/ITS/From_T2__db2.t2_fixed__terminationS_29_0.smt2	unknown	unknown	24731	24630	A
QF_NIA/20170427-VeryMax/ITS/From_T2__efegp.t2__p21963_edge_closing_0.smt2	sat	sat	10921	10921	B
QF_NIA/20170427-VeryMax/ITS/From_T2__ex36.t2__p28763_safety_0.smt2	sat	sat	6616	6615	A
QF_NIA/20170427-VeryMax/ITS/From_T2__firewire.t2__terminationS_13_0.smt2	unknown	unknown	11321	11320	B
QF_NIA/20170427-VeryMax/ITS/From_T2__fun7.t2__p1152_terminationG_0.smt2	unknown	unknown	24231	24232	A
QF_NIA/20170427-VeryMax/ITS/From_T2__hqr.c.i.hqr.pl.t2.nor.t2.rlgfixed.t2_fixed__terminationS_45_0.smt2	unknown	unknown	24435	24635	B
QF_NIA/20170427-VeryMax/ITS/From_T2__mc91test.t2__p3142_terminationG_0.smt2	sat	sat	14226	13223	A
QF_NIA/20170427-VeryMax/ITS/From_T2__n-5.t2__p4694_edge_closing_0.smt2	sat	sat	11419	11417	B
QF_NIA/20170427-VeryMax/ITS/From_T2__p-43-terminate.t2__term_unfeasibility_1_0.smt2	unknown	unknown	24126	24230	A
QF_NIA/20170427-VeryMax/ITS/From_T2__queens.t2__term_unfeasibility_1_0.smt2	sat	sat	10918	10921	B
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2_fixed__p10785_safety_0.smt2	sat	sat	12319	12322	A
QF_NIA/20170427-VeryMax/ITS/From_T2__s1-striped.t2__p14253_safety_0.smt2	sat	sat	11221	11421	B
QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2__p19291_safety_0.smt2	sat	sat	11120	11020	A
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-3-new.t2__p21995_terminationG_0.smt2	unknown	unknown	13024	12824	B
QF_NIA/20170427-VeryMax/ITS/From_T2__slayer-n1.t2_fixed__p22997_safety_0.smt2	unsat	unsat	8216	8318	A
QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver-succeed.t2__p24602_terminationG_0.smt2	sat	sat	16623	18525	B
QF_NIA/20170427-VeryMax/ITS/From_T2__zlib-adler32.c.t2_fixed__p25888_safety_0.smt2	unknown	unknown	24128	24125	A
QF_NIA/20170427-VeryMax/SAT14/1166.smt2	unknown	unknown	17324	17222	B
QF_NIA/20170427-VeryMax/SAT14/1623.smt2	unknown	unknown	16525	16423	A
QF_NIA/20170427-VeryMax/SAT14/341.smt2	unknown	unknown	24229	24229	B
QF_NIA/20170427-VeryMax/SAT14/803.smt2	unknown	unknown	16523	16622	A
QF_NIA/20210219-Dartagnan/ReachSafety-Loops/ps2-ll_unwindbound50-O0.smt2	unknown	unknown	24828	24329	B
QF_NIA/20220315-MathProblems/STC_0332.smt2	sat	sat	4915	4914	A
QF_NIA/20220315-MathProblems/STC_0840.smt2	sat	sat	7916	8116	B
QF_NIA/AProVE/aproveSMT1669457300444119286.smt2	sat	sat	9315	9315	A
QF_NIA/AProVE/aproveSMT3326416242224032552.smt2	sat	sat	108	108	B
QF_NIA/AProVE/aproveSMT5048239408100334127.smt2	unknown	unknown	24126	24126	A
QF_NIA/AProVE/aproveSMT6902839063897808376.smt2	sat	sat	10918	10917	B
QF_NIA/AProVE/aproveSMT8801446599485295192.smt2	sat	sat	2911	2911	A
QF_NIA/UltimateLassoRanker/LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1-alloca_unknown-termination.c.i_Iteration6_Lasso+nonterminationTemplate.smt2	unknown	unknown	24226	24227	B
