file	n_vars	max_degree	max_abs_int_log2	n_assert	has_top_or	in_bound_ceiling	in_shape_ceiling	declared_status	z3_nlsat_ms
QF_NRA/20200911-Pine/1599121863243316000.smt2	4	2	0	1	0	True	True	unknown	108
QF_NRA/20200911-Pine/1599121905450496000.smt2	4	5	0	1	0	True	True	unknown	108
QF_NRA/20200911-Pine/1599122164633784000.smt2	4	2	0	1	0	True	True	unknown	108
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_Lemma2.smt2	4	17	21	1	0	False	False	unsat	107
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_ISSAC05_Bessack_5_m4.smt2	4	5	3	1	0	True	True	unsat	108
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_Mitrinovic_8_3.smt2	5	3	1	1	0	False	False	unsat	107
QF_NRA/LassoRanker/SV-COMP/KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_6-phaseTemplate.smt2	32002	2	2	2526	0	False	False	unknown	12317
QF_NRA/LassoRanker/Ultimate/yPositive-SIscaled75.bpl_Iteration1_Loop_2-pieceTemplate.smt2	2509	2	1	22	0	False	False	unknown	908
QF_NRA/UltimateAutomizer/InVarSynth_pcatest1.bpl_Iteration1_1.smt2	718	2	0	29	1	False	False	sat	108
QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0071.smt2	3	10	100	1	0	False	False	unsat	107
QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0146.smt2	3	8	100	1	0	False	False	unsat	108
QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0295.smt2	3	16	106	1	0	False	False	unsat	108
QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0040.smt2	3	10	319	1	0	False	False	sat	107
QF_NRA/meti-tarski/RL-high-pass-circuit/RL-high-pass-circuit-gain-chunk-0012.smt2	3	3	31	1	0	True	True	unsat	108
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0014.smt2	4	4	2	1	0	True	True	sat	108
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0018.smt2	4	4	2	1	0	True	True	sat	107
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0089.smt2	4	4	2	1	0	True	True	sat	109
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0159.smt2	4	4	2	1	0	True	True	sat	107
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0242.smt2	3	5	9	1	0	True	True	unsat	108
QF_NRA/meti-tarski/atan/vega/3/atan-vega-3-chunk-0545.smt2	3	8	14	1	0	True	True	unsat	108
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0243.smt2	3	7	4	1	0	True	True	sat	108
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0388.smt2	3	8	5	1	0	True	True	unsat	107
QF_NRA/meti-tarski/atan/vega/3/weak/atan-vega-3-weak-chunk-0653.smt2	3	11	11	1	0	False	False	sat	108
QF_NRA/meti-tarski/exp/problem/10/2/exp-problem-10-2-chunk-0017.smt2	4	2	3	1	0	True	True	sat	108
QF_NRA/meti-tarski/exp/problem/10/3/exp-problem-10-3-chunk-0139.smt2	4	3	4	1	0	True	True	sat	108
QF_NRA/meti-tarski/exp/problem/10/3/weak/exp-problem-10-3-weak-chunk-0142.smt2	3	3	7	1	0	True	True	sat	107
QF_NRA/meti-tarski/polypaver/sqrt43-int/3vars/polypaver-sqrt43-int-3vars-chunk-0046.smt2	3	4	6	1	0	True	True	sat	108
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0147.smt2	3	8	25	1	0	True	True	unsat	108
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0227.smt2	3	10	25	1	0	False	False	sat	108
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0291.smt2	3	6	25	1	0	True	True	sat	107
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0353.smt2	3	10	25	1	0	False	False	sat	108
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0419.smt2	3	14	25	1	0	False	False	unsat	108
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0479.smt2	3	20	45	1	0	False	False	sat	109
QF_NRA/meti-tarski/sin/cos/sin-cos-346-b-chunk-0543.smt2	3	12	25	1	0	False	False	sat	108
QF_NRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0124.smt2	3	7	25	1	0	True	True	sat	109
QF_NRA/meti-tarski/sin/problem/7/sin-problem-7-chunk-0203.smt2	3	11	26	1	0	False	False	sat	108
QF_NRA/meti-tarski/sin/problem/7/weak/sin-problem-7-weak-chunk-0131.smt2	3	6	25	1	0	True	True	sat	108
QF_NRA/meti-tarski/sin/problem/7/weak2/sin-problem-7-weak2-chunk-0129.smt2	3	10	30	1	0	False	False	unsat	108
QF_NRA/meti-tarski/sin/problem/8/weak/sin-problem-8-weak-chunk-0050.smt2	3	4	25	1	0	True	True	sat	108
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0228.smt2	3	24	71	1	0	False	False	sat	109
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0291.smt2	3	36	107	1	0	False	False	unsat	109
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0354.smt2	3	20	46	1	0	False	False	unsat	108
QF_NRA/meti-tarski/sqrt/1mcosq/8/sqrt-1mcosq-8-chunk-0421.smt2	3	32	92	1	0	False	False	sat	107
