file	axeyum	ax_s	ax_k	z3	z3_s	z3_k	cvc5	cvc5_s	cvc5_k	status
J506-016__scaled_value__spark-arithmetic_lemmas.ads_123_38_spark-long_integer_arithmetic_lemmas.ads_31_1_division_check___00.smt2	unknown	24.12	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
K322-010__assert__pack.adb_16_22_assert___00.smt2	unknown	24.13	ok	unknown	24.02	ok	unknown	27.12	rc134	unknown
K407-022__arith__arith.adb_8_18_overflow_check___00.smt2	unknown	24.13	ok	unknown	24.02	ok	unknown	28.14	rc134	unknown
KB29-037__subtype__main.adb_6_13_predicate_check___00.smt2	unknown	24.13	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
LB27-011__overflow_switch__p.adb_5_30_loop_invariant_init___00.smt2	unsat	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
M115-016__reatim__pck.adb_58_37_overflow_check___00.smt2	unknown	24.13	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
M118-036__division__t3q3.adb_46_5_precondition___00.smt2	unknown	24.12	ok	unknown	24.03	ok	unknown	26.21	rc134	unknown
M213-022__flow_loops__test.adb_75_17_overflow_check___00.smt2	unknown	24.12	ok	unknown	24.03	ok	unknown	26.21	rc134	unknown
M219-040__flow_IFA_error_messages__test.adb_41_25_division_check___00.smt2	unknown	24.13	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
M314-004__flow_block_statements__test.adb_59_17_overflow_check___00.smt2	unknown	24.13	ok	unsat	0.11	ok	unsat	0.11	ok	unknown
M823-017__fixed_points__binary_fixed.adb_101_25_assert2___00.smt2	unknown	24.13	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
M823-017__fixed_points__binary_fixed.adb_49_16_overflow_check2___00.smt2	unknown	24.13	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
M823-017__fixed_points__binary_fixed.adb_70_33_overflow_check2___00.smt2	unknown	24.13	ok	unknown	24.13	ok	unsat	0.11	ok	unknown
M823-017__fixed_points__decimal_fixed.adb_102_25_assert2___00.smt2	unknown	24.13	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
M823-017__fixed_points__decimal_fixed.adb_49_16_range_check2___00.smt2	unknown	24.13	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
M823-017__fixed_points__decimal_fixed.adb_70_52_overflow_check2___00.smt2	unknown	24.12	ok	unknown	24.12	ok	unsat	0.11	ok	unknown
M823-017__fixed_points__dynamic_fixed.adb_7_19_range_check___00.smt2	unknown	24.13	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
M823-017__fixed_points__ordinary_fixed.adb_48_22_assert2___00.smt2	unknown	24.13	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
M823-017__fixed_points__ordinary_fixed.adb_70_22_assert2___00.smt2	unknown	24.13	ok	unknown	24.13	ok	unsat	0.11	ok	unknown
