file	axeyum	ax_s	ax_k	z3	z3_s	z3_k	cvc5	cvc5_s	cvc5_k	status
x2015_09_10_16_59_33_621_1039748.smt_in.smt2	unknown	14.30	rc134	unknown	24.33	ok	unknown	26.22	rc134	unknown
x2015_09_10_17_00_02_323_1069308.smt_in.smt2	unknown	0.51	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
x2015_09_10_17_00_30_240_1098389.smt_in.smt2	unknown	0.51	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
x2015_09_10_17_00_58_080_1129868.smt_in.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
x2015_09_10_16_52_38_278_1003962.smt_in.smt2	unknown	0.11	ok	unknown	24.23	ok	unsat	0.11	ok	unsat
x2015_09_10_16_53_04_087_1031693.smt_in.smt2	unknown	0.11	ok	unknown	24.33	ok	unknown	26.21	rc134	unknown
x2015_09_10_16_53_30_176_1063054.smt_in.smt2	unknown	0.11	ok	unknown	24.43	ok	unsat	0.21	ok	unsat
x2015_09_10_16_53_56_537_1094926.smt_in.smt2	unknown	0.21	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
x2015_09_10_16_48_42_591_1040231.smt_in.smt2	unknown	25.23	ok	unknown	24.23	ok	unknown	26.21	rc134	unknown
x2015_09_10_16_49_17_188_1074420.smt_in.smt2	unsat	2.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
x2015_09_10_16_49_52_995_1105287.smt_in.smt2	unsat	3.01	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
x2015_09_10_16_50_29_032_1133334.smt_in.smt2	unknown	0.11	ok	unknown	24.43	ok	unknown	26.21	rc134	unknown
x2015_09_10_16_51_06_177_1165813.smt_in.smt2	unknown	8.32	ok	unknown	24.13	ok	unknown	26.21	rc134	unknown
x2015_09_10_16_51_40_571_1197401.smt_in.smt2	unknown	19.42	ok	unknown	24.23	ok	unsat	14.72	ok	unknown
x2015_09_10_16_52_17_883_1227692.smt_in.smt2	unknown	11.02	ok	unknown	24.22	ok	unsat	12.52	ok	unknown
x2015_09_10_16_52_52_993_1259011.smt_in.smt2	unknown	11.02	ok	unknown	24.13	ok	unknown	0.21	ok	unknown
x2015_09_10_16_53_31_084_1293224.smt_in.smt2	unknown	16.32	ok	unknown	24.33	ok	unknown	26.21	rc134	unknown
x2015_09_10_16_54_07_012_1328375.smt_in.smt2	unknown	25.23	ok	unknown	24.33	ok	unknown	26.20	rc134	unknown
x2015_09_10_16_54_42_875_1362942.smt_in.smt2	unknown	0.11	ok	unknown	24.43	ok	unknown	26.21	rc134	unknown
x2015_09_10_16_55_16_096_1393024.smt_in.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
x2015_09_10_16_55_51_081_1423271.smt_in.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.11	ok	unsat
x2015_09_10_16_56_26_426_1451213.smt_in.smt2	unknown	0.11	ok	unknown	24.43	ok	unknown	26.21	rc134	unknown
x2015_09_10_16_56_59_960_1476927.smt_in.smt2	unknown	0.11	ok	unsat	0.11	ok	unsat	0.21	ok	unsat
x2015_09_10_16_57_34_397_1511229.smt_in.smt2	unknown	0.11	ok	unknown	24.33	ok	unknown	26.20	rc134	unknown
x2015_09_10_16_58_09_505_1543396.smt_in.smt2	unknown	0.11	ok	unknown	24.03	ok	unknown	26.20	rc134	unknown
x2015_09_10_16_58_53_892_1581989.smt_in.smt2	unknown	0.11	ok	unsat	1.11	ok	unsat	0.11	ok	unsat
x2015_09_10_16_59_26_756_1612095.smt_in.smt2	unknown	0.11	ok	unknown	24.23	ok	unknown	26.20	rc134	unknown
x2015_09_10_17_00_00_341_1644758.smt_in.smt2	unknown	0.11	ok	unknown	24.13	ok	unknown	26.20	rc134	unknown
