file	variables	clauses	batsat_verdict	batsat_ms	native_verdict	native_ms	cadical_verdict	cadical_ms	kissat_verdict	kissat_ms
compose.p2._bit8_na6_nr3_paired.cnf	159514	583192	sat	10675.197037	sat	450.339607	sat	1306.4637368079275	sat	9821.228379849344
compose.p3._bit8_na6_nr3_paired.cnf	1401163	5111101	unknown	20433.596127	sat	2902.334653	sat	8320.157102076337	unknown	20130.193452117965
compose.s2._bit8_na6_nr3_paired.cnf	106588	390967	unknown	20068.040438	unknown	20402.808111	sat	13330.435564043	sat	4610.702280886471
compose.s2._bit8_na6_nr4_paired.cnf	143357	523901	unknown	20029.806547	unknown	20092.880629	sat	16852.905147941783	sat	13920.833518961444
compose.s3._bit8_na6_nr3_paired.cnf	473949	1729550	unknown	20094.218497	unknown	20471.174027	unknown	20147.583273937926	unknown	20124.538640026003
compose.s3._bit8_na6_nr4_paired.cnf	633175	2308878	unknown	20110.744283	unknown	22233.173447999998	unknown	20171.012870967388	unknown	20121.268942952156
compose.s4._bit8_na6_nr3_paired.cnf	1876101	6845492	unknown	20216.753223	unknown	25732.708737	unknown	20299.67914102599	unknown	20123.306416207924
compose.s4._bit8_na6_nr4_paired.cnf	2506026	9137434	unknown	20776.173501999998	unknown	38191.329837	unknown	20387.6078450121	unknown	20123.547047842294
mobiledevice_bit8_na1_nr1_twocond.cnf	4120	17456	sat	1728.873173	sat	3426.3522970000004	sat	312.84113391302526	sat	603.0118712224066
mobiledevice_bit8_na6_nr3_paired.cnf	58380	217322	unknown	20018.888258	sat	17943.057461	sat	4329.342073993757	sat	3808.747251983732
mobiledevice_bit8_na6_nr3_twocond.cnf	31482	118228	sat	4021.9749790000005	sat	1336.665025	sat	2226.4773179776967	sat	3718.5560499783605
simple_bit8_na1_nr1_twocond.cnf	1424	5651	sat	1.111825	sat	1.0314569999999998	sat	111.37748695909977	sat	104.57672388292849
string1x16.1._bit8_na6_nr3_paired.cnf	178363	651625	unknown	20049.532172	unknown	20491.416321	unknown	20142.75834010914	unknown	20119.24562091008
string1x16.10._bit8_na6_nr3_paired.cnf	178363	651625	unknown	20050.516414	unknown	20518.311579999998	unknown	20191.672169836238	unknown	20124.340415000916
string1x16.2._bit8_na6_nr3_paired.cnf	178363	651625	unknown	20067.729777	unknown	20441.821295	unknown	20139.21997300349	unknown	20123.03999811411
string1x16.3._bit8_na6_nr3_paired.cnf	143662	525457	unknown	20072.101781	unknown	20875.947223	unknown	20123.87958401814	unknown	20155.27290198952
string1x16.4._bit8_na6_nr3_paired.cnf	108802	398971	unknown	20035.585962999998	unknown	20652.422174000003	unknown	20136.71883288771	unknown	20134.454194922
string1x16.5._bit8_na6_nr3_paired.cnf	143662	525457	unknown	20074.94364	unknown	20808.778042	unknown	20159.79900606908	unknown	20155.789135955274
string1x16.6._bit8_na6_nr3_paired.cnf	178363	651625	unknown	20061.585358999997	unknown	20319.440182000002	unknown	20173.525099875405	unknown	20133.080597035587
string1x16.7._bit8_na6_nr3_paired.cnf	143662	525457	unknown	20028.545858	unknown	22122.177132	unknown	20157.629687106237	unknown	20124.286130070686
string1x16.8._bit8_na6_nr3_paired.cnf	143662	525457	unknown	20050.71351	unknown	20407.846272	unknown	20130.013946909457	unknown	20122.210477944463
string1x16.9._bit8_na6_nr3_paired.cnf	143662	525457	unknown	20022.512055	unknown	20116.441371	unknown	20140.913940034807	unknown	20120.666324160993
string1x8.1._bit8_na6_nr3_paired.cnf	78870	290741	unknown	20026.259637	unknown	20295.689408000002	unknown	20144.703790079802	unknown	20120.329387951642
string1x8.10._bit8_na6_nr3_paired.cnf	78870	290741	unknown	20026.180099	unknown	20504.91628	unknown	20150.97266389057	unknown	20120.395017089322
string1x8.2._bit8_na6_nr3_paired.cnf	98696	362295	unknown	20031.936972	unknown	20525.800044	unknown	20194.954108912498	unknown	20123.70495405048
string1x8.3._bit8_na6_nr3_paired.cnf	58826	218751	unknown	20028.470575	unknown	20301.380166000003	sat	19581.152623984963	sat	13220.722190104425
string1x8.4._bit8_na6_nr3_paired.cnf	40548	150293	unknown	20013.867806000002	unknown	20095.488428	unknown	20174.769218079746	unknown	20150.58736805804
string1x8.5._bit8_na6_nr3_paired.cnf	78870	290741	unknown	20012.469179	unknown	20030.59549	unknown	20159.02307187207	unknown	20160.978050203994
string1x8.6._bit8_na6_nr3_paired.cnf	58826	218751	unknown	20022.763518	unknown	20308.874172	unknown	20178.815650055185	sat	9314.93371585384
string1x8.7._bit8_na6_nr3_paired.cnf	40548	150293	unknown	20020.528051	unknown	20094.91594	unknown	20170.610464876518	sat	16817.624943098053
string1x8.8._bit8_na6_nr3_paired.cnf	78870	290741	unknown	20058.00965	unknown	20299.15841	unknown	20135.515633039176	unknown	20118.83561499417
string1x8.9._bit8_na6_nr3_paired.cnf	78870	290741	unknown	20038.247205	unknown	20076.630095	unknown	20151.530497940257	unknown	20121.010908856988
string2x16.1._bit8_na6_nr3_paired.cnf	516371	1884144	unknown	20100.194784	unknown	20883.285878	unknown	20176.070241024718	unknown	20119.62962918915
string2x16.10._bit8_na6_nr3_paired.cnf	532052	1941411	unknown	20127.698198000002	unknown	21626.108301	unknown	20192.68029811792	unknown	20120.187401073053
string2x16.2._bit8_na6_nr3_paired.cnf	467336	1705485	unknown	20061.539939	unknown	21352.309623	unknown	20155.159575864673	unknown	20121.97198206559
string2x16.3._bit8_na6_nr3_paired.cnf	596752	2177305	unknown	20082.357239	unknown	20500.919131	unknown	20163.776027970016	unknown	20122.376163024455
string2x16.4._bit8_na6_nr3_paired.cnf	273064	997459	unknown	20057.210354	unknown	21730.955781999997	unknown	20146.17524598725	unknown	20121.41715316102
string2x16.5._bit8_na6_nr3_paired.cnf	596752	2177305	unknown	20175.094917	unknown	20493.532116000002	unknown	20142.28135999292	unknown	20121.51749082841
string2x16.6._bit8_na6_nr3_paired.cnf	337852	1233529	unknown	20073.473473	unknown	21080.065702	unknown	20123.347857035697	unknown	20119.230119977146
string2x16.7._bit8_na6_nr3_paired.cnf	273064	997459	unknown	20037.407704	unknown	20300.378384	unknown	20146.690231049433	unknown	20121.130128158256
string2x16.8._bit8_na6_nr3_paired.cnf	596752	2177305	unknown	20171.315392	unknown	20446.078128	unknown	20130.039640003815	unknown	20120.58967491612
string2x16.9._bit8_na6_nr3_paired.cnf	596752	2177305	unknown	20195.433257	unknown	20666.838061	unknown	20141.4811629802	unknown	20120.603025890887
string2x8.1._bit8_na6_nr3_paired.cnf	233710	852996	unknown	20066.007142	unknown	20632.35764	unknown	20138.483254937455	unknown	20120.19129516557
string2x8.10._bit8_na6_nr3_paired.cnf	212846	777027	unknown	20099.812221	unknown	20181.535324999997	unknown	20254.7187700402	unknown	20121.64925597608
string2x8.2._bit8_na6_nr3_paired.cnf	212846	777027	unknown	20021.507095	unknown	20050.613202	unknown	20188.476384151727	unknown	20124.45838819258
string2x8.3._bit8_na6_nr3_paired.cnf	281944	1028755	unknown	20023.938288	unknown	20145.298456	unknown	20165.88548780419	unknown	20121.178821194917
string2x8.4._bit8_na6_nr3_paired.cnf	143530	524863	unknown	20013.893895999998	unknown	20171.366016	unknown	20171.073394129053	unknown	20132.24909082055
string2x8.5._bit8_na6_nr3_paired.cnf	212846	777027	unknown	20019.459627	unknown	20439.557835	unknown	20145.84437897429	unknown	20140.650410205126
string2x8.6._bit8_na6_nr3_paired.cnf	178231	651031	unknown	20076.22482	unknown	20680.122914000003	unknown	20144.254801096395	unknown	20123.626883141696
string2x8.7._bit8_na6_nr3_paired.cnf	143530	524863	unknown	20018.510238000003	unknown	20358.773915	unknown	20150.628512958065	unknown	20124.796707881615
string2x8.8._bit8_na6_nr3_paired.cnf	212846	777027	unknown	20036.824509	unknown	20693.367663	unknown	20149.58150102757	unknown	20168.309322791174
string2x8.9._bit8_na6_nr3_paired.cnf	212846	777027	unknown	20032.792997	unknown	20589.181979999998	unknown	20150.754587957636	unknown	20148.513400927186
string4x16.1._bit16_na6_nr3_paired.cnf	425968	1554409	unknown	20087.575182999997	unknown	20755.159928	unknown	20174.35047402978	unknown	20123.75262589194
string4x16.1._bit16_na6_nr4_paired.cnf	2677491	9833759	unknown	20739.503826	unknown	21386.332197000003	unknown	20358.947335975245	unknown	20127.835490973666
string4x16.1._bit8_na6_nr4_pairedtwobranch.cnf	1323705	4830779	unknown	20267.954823	unknown	25906.950446	unknown	20392.89493393153	unknown	20122.533665969968
string4x16.10._bit16_na6_nr3_paired.cnf	726140	2649069	unknown	20119.997660999998	unknown	20872.133921	unknown	20190.93385990709	unknown	20137.30817218311
string4x16.10._bit16_na6_nr4_paired.cnf	3825797	14047839	unknown	20650.913329000003	unknown	25080.807589	unknown	20240.36397598684	unknown	20278.876262018457
string4x16.10._bit8_na6_nr4_pairedtwobranch.cnf	1891179	6899579	unknown	20203.714741	unknown	21706.352658	unknown	20356.889868853614	unknown	20121.914331102744
string4x16.2._bit16_na6_nr3_paired.cnf	378804	1382566	unknown	20093.462402	unknown	20582.24454	unknown	20190.251891035587	unknown	20125.57361810468
string4x16.2._bit16_na6_nr4_paired.cnf	2720339	9991326	unknown	20322.407263999998	unknown	21946.78701	unknown	20390.098748961464	unknown	20142.425084020942
string4x16.2._bit8_na6_nr4_pairedtwobranch.cnf	1344889	4908218	unknown	20212.427384000002	unknown	33611.036155	unknown	20285.43824190274	unknown	20229.765597032383
string4x16.3._bit16_na6_nr3_paired.cnf	307815	1123763	unknown	20080.187094	unknown	20747.034076	unknown	20166.69086413458	unknown	20133.90502310358
string4x16.3._bit16_na6_nr4_paired.cnf	2028450	7452533	unknown	20462.682819	unknown	21980.825017	unknown	20263.436367036775	unknown	20130.722861969844
string4x16.3._bit8_na6_nr4_pairedtwobranch.cnf	1002976	3661937	unknown	20232.930043	unknown	26022.442316	unknown	20262.56117108278	unknown	20128.401095978916
string4x16.4._bit16_na6_nr3_paired.cnf	579189	2113166	unknown	20203.576761	unknown	22559.426372	unknown	20179.19069295749	unknown	20134.14493203163
string4x16.4._bit16_na6_nr4_paired.cnf	3098002	11377248	unknown	20713.183538999998	unknown	25753.724049999997	unknown	20424.153733067214	unknown	20227.30441391468
string4x16.4._bit8_na6_nr4_pairedtwobranch.cnf	1531502	5588560	unknown	20184.339407	unknown	23214.540759	unknown	20246.83226295747	unknown	20133.675791090354
string4x16.5._bit16_na6_nr3_paired.cnf	579189	2113166	unknown	20132.546047000003	unknown	20842.313361	unknown	20125.47270907089	unknown	20146.780428942293
string4x16.5._bit16_na6_nr4_paired.cnf	3432769	12605474	unknown	20268.207302	unknown	28739.577144	unknown	20321.435881080106	unknown	20230.620105052367
string4x16.5._bit8_na6_nr4_pairedtwobranch.cnf	1696936	6191456	unknown	20179.344474	unknown	20737.654068	unknown	20229.198396904394	unknown	20236.96329188533
string4x16.6._bit16_na6_nr3_paired.cnf	317815	1160310	unknown	20025.763898	unknown	20184.015122	unknown	20126.764461863786	unknown	20135.294998064637
string4x16.6._bit16_na6_nr4_paired.cnf	2061034	7572452	unknown	20349.103202	unknown	20423.571487	unknown	20220.488477963954	unknown	20261.89712388441
string4x16.6._bit8_na6_nr4_pairedtwobranch.cnf	1019089	3720898	unknown	20182.441223	unknown	21741.634845	unknown	20257.768298964947	unknown	20157.782854977995
string4x16.7._bit16_na6_nr3_paired.cnf	596752	2177305	unknown	20195.488296	unknown	22896.881388	unknown	20127.86076613702	unknown	20130.858795018867
string4x16.7._bit16_na6_nr4_paired.cnf	3825797	14047839	unknown	20949.291207000002	unknown	50926.699845999996	unknown	20227.17409906909	unknown	20120.312005048618
string4x16.7._bit8_na6_nr4_pairedtwobranch.cnf	1891179	6899579	unknown	20352.028617	unknown	24178.211191	unknown	20228.10644400306	unknown	20222.129659028724
string4x16.8._bit16_na6_nr3_paired.cnf	256789	937980	unknown	20036.444226	unknown	20966.739321999998	unknown	20122.42926307954	unknown	20121.97719491087
string4x16.8._bit16_na6_nr4_paired.cnf	2061034	7572452	unknown	20451.648037	unknown	25554.0329	unknown	20122.452418785542	unknown	20130.729219177738
string4x16.8._bit8_na6_nr4_pairedtwobranch.cnf	1019089	3720898	unknown	20143.154077	unknown	21541.474254	unknown	20123.378201154992	unknown	20123.592350864783
string4x16.9._bit16_na6_nr3_paired.cnf	402618	1469555	unknown	20148.357593	unknown	20842.088507	unknown	20123.60325199552	unknown	20125.668585067615
string4x16.9._bit16_na6_nr4_paired.cnf	2126251	7812487	unknown	20429.920378	unknown	26738.238098	unknown	20139.50751791708	unknown	20221.84337489307
string4x16.9._bit8_na6_nr4_pairedtwobranch.cnf	1051338	3838917	unknown	20149.443562999997	unknown	22085.189978	unknown	20145.230278139934	unknown	20123.796227853745
string4x8.1._bit16_na6_nr4_paired.cnf	1154172	4237021	unknown	20139.361129	unknown	21360.589359999998	unknown	20244.94179803878	unknown	20120.383667061105
string4x8.1._bit8_na6_nr3_paired.cnf	425968	1554409	unknown	20072.164054	unknown	20886.706566	unknown	20160.906709032133	unknown	20120.546858990565
string4x8.10._bit16_na6_nr4_paired.cnf	1968732	7226333	unknown	20259.509244	unknown	23901.935005	unknown	20341.859405161813	unknown	20124.738385900855
string4x8.10._bit8_na6_nr3_paired.cnf	726140	2649069	unknown	20138.994289	unknown	22249.834075	unknown	20195.352950133383	unknown	20120.60163798742
string4x8.2._bit16_na6_nr4_paired.cnf	1025899	3766518	unknown	20103.741109000002	unknown	20183.574224	unknown	20128.47063387744	unknown	20118.12850390561
string4x8.2._bit8_na6_nr3_paired.cnf	378804	1382566	unknown	20045.939052	unknown	21189.572069	unknown	20118.4555941727	unknown	20117.732651997358
string4x8.3._bit16_na6_nr4_paired.cnf	833413	3060199	unknown	20141.376583999998	unknown	20849.883877	unknown	20121.031743939966	unknown	20138.7286700774
string4x8.3._bit8_na6_nr3_paired.cnf	307815	1123763	unknown	20033.451030999997	unknown	20967.650793	unknown	20126.830749912187	unknown	20134.624662110582
string4x8.4._bit16_na6_nr4_paired.cnf	1569816	5762396	unknown	20253.484555	unknown	22729.899332999998	unknown	20238.538103876635	unknown	20119.963017990813
string4x8.4._bit8_na6_nr3_paired.cnf	579189	2113166	unknown	20133.312657000002	unknown	21582.394293	unknown	20129.008564865217	unknown	20118.76848107204
string4x8.5._bit16_na6_nr4_paired.cnf	1569816	5762396	unknown	20293.768833000002	unknown	20829.723222999997	unknown	20332.88737689145	unknown	20128.7670370657
string4x8.5._bit8_na6_nr3_paired.cnf	579189	2113166	unknown	20062.399417	unknown	22331.851844999997	unknown	20125.931035960093	unknown	20123.998026829213
string4x8.6._bit16_na6_nr4_paired.cnf	860371	3159250	unknown	20141.580158	unknown	20571.995832	unknown	20635.496456874534	unknown	20121.13454588689
string4x8.6._bit8_na6_nr3_paired.cnf	317815	1160310	unknown	20062.826836	unknown	20149.454024000002	unknown	20129.50080493465	unknown	20122.54883395508
string4x8.7._bit16_na6_nr4_paired.cnf	1617333	5936871	unknown	20191.261651	unknown	20999.439854999997	unknown	20228.430510964245	unknown	20137.28623301722
string4x8.7._bit8_na6_nr3_paired.cnf	596752	2177305	unknown	20114.735107	unknown	21549.413284	unknown	20249.258822062984	unknown	20117.456573061645
string4x8.8._bit16_na6_nr4_paired.cnf	694776	2551848	unknown	20104.994493	unknown	24044.210695	unknown	20154.793300898746	unknown	20132.206164998934
string4x8.8._bit8_na6_nr3_paired.cnf	256789	937980	unknown	20066.572444999998	unknown	21813.688073	unknown	20165.748176164925	unknown	20118.42435388826
string4x8.9._bit16_na6_nr4_paired.cnf	1090141	4002491	unknown	20341.863493	unknown	20415.698395	unknown	20182.070632930845	unknown	20118.330626981333
string4x8.9._bit8_na6_nr3_paired.cnf	402618	1469555	unknown	20122.565764	unknown	20447.071658999997	unknown	20133.997141150758	unknown	20123.825391056016
tcp_full_bit16_na13_nr4_paired.cnf	974200	3591806	unknown	20164.650644	unknown	21821.883456	unknown	20129.218587186188	unknown	20118.199486052617
tcp_full_bit8_na6_nr3_paired.cnf	258181	942050	unknown	20067.273094	unknown	20364.99378	unknown	20147.373327054083	unknown	20161.468122852966
tcp_full_bit8_na6_nr4_paired.cnf	345094	1257818	unknown	20067.924201	unknown	20503.545732	unknown	20126.073410967365	unknown	20119.847575901076
tcp_full_split4_bit8_na6_nr4_paired.cnf	436541	1594274	unknown	20061.387577	unknown	21721.141216	unknown	20136.2659689039	unknown	20124.4203960523
tcp_open_bit8_na6_nr3_paired.cnf	82541	304079	unknown	20019.859701	unknown	20806.791928	unknown	20125.951474066824	unknown	20143.528942018747
tcp_open_bit8_na6_nr4_paired.cnf	111567	408523	unknown	20031.326983	unknown	20462.326708	unknown	20162.624628981575	unknown	20121.198784094304
videoconf_full_bit16_na13_nr4_paired.cnf	190141	693588	unknown	20099.105156	unknown	20489.178586	unknown	20124.898184090853	unknown	20118.85007703677
videoconf_full_bit8_na6_nr3_paired.cnf	141923	518910	unknown	20054.906625	unknown	20268.27771	unknown	20133.800134062767	unknown	20121.053356910124
videoconf_full_bit8_na6_nr4_paired.cnf	190141	693588	unknown	20050.440221999997	unknown	21023.348664	unknown	20125.294176861644	unknown	20149.911907035857
videoconf_simple_bit8_na6_nr3_paired.cnf	94401	346684	unknown	20041.086486	unknown	20215.199442999998	sat	17619.28892787546	sat	18338.08299107477
videoconf_split4_full_bit16_na13_nr4_paired.cnf	241457	882518	unknown	20085.695861	unknown	20589.25909	unknown	20133.195627946407	unknown	20139.26102500409
