file	variables	clauses	batsat_verdict	batsat_ms	batsat_timed_out	batsat_model_valid	native_verdict	native_ms	native_timed_out	native_model_valid
bv-term-small-rw_1009.cnf	0	1	unsat	0.043469	false		unsat	0.0044610000000000006	false	
bv-term-small-rw_1036.cnf	0	1	unsat	0.014173	false		unsat	0.002474	false	
bv-term-small-rw_1048.cnf	314	966	unsat	7.407557000000001	false		unsat	2.960937	false	
bv-term-small-rw_1055.cnf	4285	17423	unknown	20000.768031	true		unknown	20238.927266000002	true	
bv-term-small-rw_1065.cnf	0	1	unsat	0.179148	false		unsat	0.005656	false	
bv-term-small-rw_1068.cnf	0	1	unsat	0.029431	false		unsat	0.005103	false	
bv-term-small-rw_107.cnf	0	1	unsat	0.028815	false		unsat	0.006505	false	
bv-term-small-rw_1070.cnf	5842	24269	unknown	20001.60405	true		unknown	20234.997068999997	true	
bv-term-small-rw_1074.cnf	7668	31801	unknown	20001.345172	true		unknown	20050.393382	true	
bv-term-small-rw_1077.cnf	0	1	unsat	0.214745	false		unsat	0.0062840000000000005	false	
bv-term-small-rw_1087.cnf	6309	25883	unknown	20004.260602	true		unknown	20453.392872999997	true	
bv-term-small-rw_1088.cnf	0	1	unsat	0.461943	false		unsat	0.012486	false	
bv-term-small-rw_1097.cnf	0	1	unsat	0.0436	false		unsat	0.005919000000000001	false	
bv-term-small-rw_1102.cnf	431	1489	unsat	1.687381	false		unsat	2.600276	false	
bv-term-small-rw_1119.cnf	669	2492	unsat	2.8909640000000003	false		unsat	4.640804	false	
bv-term-small-rw_1145.cnf	430	1452	unsat	4.856148999999999	false		unsat	3.3125080000000002	false	
bv-term-small-rw_1152.cnf	574	2084	unsat	7.788416000000001	false		unsat	13.262362	false	
bv-term-small-rw_1170.cnf	481	1599	unsat	16.132152	false		unsat	20.220034000000002	false	
bv-term-small-rw_1172.cnf	366	1260	unsat	1.778417	false		unsat	5.715751	false	
bv-term-small-rw_1178.cnf	366	1260	unsat	2.017516	false		unsat	5.9668969999999995	false	
bv-term-small-rw_1191.cnf	366	1260	unsat	1.871112	false		unsat	5.901145	false	
bv-term-small-rw_1192.cnf	366	1260	unsat	2.108707	false		unsat	7.523276	false	
bv-term-small-rw_1225.cnf	0	1	unsat	0.16736299999999998	false		unsat	0.009641	false	
bv-term-small-rw_1232.cnf	0	1	unsat	0.036478	false		unsat	0.004244	false	
bv-term-small-rw_1295.cnf	4287	17427	unknown	20002.025706	true		unknown	20033.935937	true	
bv-term-small-rw_1301.cnf	4449	18159	unknown	20002.322365	true		unknown	20450.84898	true	
bv-term-small-rw_1319.cnf	4542	18477	unknown	20002.088839	true		unknown	20089.178405	true	
bv-term-small-rw_1332.cnf	347	1128	unsat	4.508329	false		unsat	4.961595	false	
bv-term-small-rw_1370.cnf	576	2062	unsat	6.368511000000001	false		unsat	3.8664609999999997	false	
bv-term-small-rw_1373.cnf	0	1	unsat	0.06279399999999999	false		unsat	0.004949	false	
bv-term-small-rw_1376.cnf	337	1054	unsat	0.888071	false		unsat	1.018876	false	
bv-term-small-rw_1380.cnf	4386	17846	unknown	20000.569371	true		unknown	20160.308644	true	
bv-term-small-rw_1389.cnf	752	2605	unsat	2.6640140000000003	false		unsat	5.090987	false	
bv-term-small-rw_140.cnf	3251	13833	unknown	20001.145644	true		unknown	20238.44456	true	
bv-term-small-rw_1411.cnf	625	2199	unsat	3.313062	false		unsat	4.294965	false	
bv-term-small-rw_1419.cnf	462	1678	unsat	1.062873	false		unsat	0.731273	false	
bv-term-small-rw_1421.cnf	850	3041	unsat	37.244244	false		unsat	39.415775000000004	false	
bv-term-small-rw_1477.cnf	399	1393	unsat	1.494288	false		unsat	1.383014	false	
bv-term-small-rw_1497.cnf	798	2742	unsat	15.893938	false		unsat	14.269400999999998	false	
bv-term-small-rw_1498.cnf	798	2742	unsat	11.132850999999999	false		unsat	14.868238	false	
bv-term-small-rw_1515.cnf	4450	18192	unknown	20002.266146	true		unknown	20239.741399	true	
bv-term-small-rw_1537.cnf	825	2999	unsat	7.18271	false		unsat	7.761476	false	
bv-term-small-rw_1548.cnf	526	1897	unsat	8.481492	false		unsat	8.660766	false	
bv-term-small-rw_160.cnf	4355	17753	sat	4.311383999999999	false	true	sat	6.849944	false	true
bv-term-small-rw_163.cnf	285	853	unsat	0.7663989999999999	false		unsat	0.547415	false	
bv-term-small-rw_175.cnf	366	1260	unsat	1.65901	false		unsat	5.276481	false	
bv-term-small-rw_191.cnf	366	1260	unsat	1.654842	false		unsat	5.514183	false	
bv-term-small-rw_282.cnf	0	1	unsat	0.11895099999999999	false		unsat	0.010392	false	
bv-term-small-rw_284.cnf	0	1	unsat	0.02749	false		unsat	0.0018909999999999999	false	
bv-term-small-rw_289.cnf	278	893	unsat	1.8740160000000001	false		unsat	0.813496	false	
bv-term-small-rw_298.cnf	871	3147	unsat	2.6285649999999996	false		unsat	2.482144	false	
bv-term-small-rw_309.cnf	816	2921	unsat	1.3451170000000001	false		unsat	1.783739	false	
bv-term-small-rw_31.cnf	0	1	unsat	0.15237599999999998	false		unsat	0.01171	false	
bv-term-small-rw_312.cnf	509	1687	sat	0.41570399999999996	false	true	sat	0.460959	false	true
bv-term-small-rw_329.cnf	491	1646	unsat	1.256341	false		unsat	1.26621	false	
bv-term-small-rw_359.cnf	682	2271	unsat	3.793249	false		unsat	2.634291	false	
bv-term-small-rw_365.cnf	0	1	unsat	0.231627	false		unsat	0.019072	false	
bv-term-small-rw_388.cnf	3533	14999	unknown	20000.754872	true		unknown	20185.191105	true	
bv-term-small-rw_458.cnf	695	2407	unsat	2.92878	false		unsat	3.8125210000000003	false	
bv-term-small-rw_464.cnf	2224	8951	unsat	1.877077	false		unsat	1.7824200000000001	false	
bv-term-small-rw_48.cnf	0	1	unsat	0.179844	false		unsat	0.00617	false	
bv-term-small-rw_496.cnf	651	2425	unsat	7.945842	false		unsat	9.879099	false	
bv-term-small-rw_505.cnf	641	2263	unsat	16.84522	false		unsat	19.901442	false	
bv-term-small-rw_524.cnf	4261	17468	unknown	20003.958004	true		unknown	20081.529444	true	
bv-term-small-rw_526.cnf	683	2538	unsat	3.64377	false		unsat	4.983022	false	
bv-term-small-rw_527.cnf	417	1437	unsat	1.923009	false		unsat	2.286842	false	
bv-term-small-rw_541.cnf	0	1	unsat	0.10472	false		unsat	0.005658	false	
bv-term-small-rw_55.cnf	2193	8824	unsat	3.474806	false		unsat	3.877511	false	
bv-term-small-rw_558.cnf	0	1	unsat	0.185058	false		unsat	0.008036999999999999	false	
bv-term-small-rw_599.cnf	0	1	unsat	0.027799	false		unsat	0.004715	false	
bv-term-small-rw_600.cnf	0	1	unsat	0.017363999999999997	false		unsat	0.00347	false	
bv-term-small-rw_603.cnf	585	2175	unsat	2.542122	false		unsat	2.135441	false	
bv-term-small-rw_604.cnf	859	3171	unsat	2.64414	false		unsat	3.4326280000000002	false	
bv-term-small-rw_62.cnf	0	1	unsat	0.122858	false		unsat	0.013885	false	
bv-term-small-rw_623.cnf	4140	17161	unsat	126.368118	false		unsat	220.593299	false	
bv-term-small-rw_648.cnf	0	1	unsat	0.131348	false		unsat	0.003555	false	
bv-term-small-rw_65.cnf	0	1	unsat	0.010508	false		unsat	0.00138	false	
bv-term-small-rw_653.cnf	0	1	unsat	0.002531	false		unsat	0.0007109999999999999	false	
bv-term-small-rw_655.cnf	0	1	unsat	0.0027489999999999997	false		unsat	0.00037	false	
bv-term-small-rw_663.cnf	1547	6871	unknown	20000.385202	true		unknown	20221.804188000002	true	
bv-term-small-rw_665.cnf	0	1	unsat	0.376948	false		unsat	0.008072	false	
bv-term-small-rw_669.cnf	628	2307	unsat	1.942278	false		unsat	1.807142	false	
bv-term-small-rw_67.cnf	0	1	unsat	0.104748	false		unsat	0.00342	false	
bv-term-small-rw_680.cnf	1872	8032	unsat	14.892940000000001	false		unsat	34.689532	false	
bv-term-small-rw_733.cnf	0	1	unsat	0.320552	false		unsat	0.012869	false	
bv-term-small-rw_763.cnf	0	1	unsat	0.051309	false		unsat	0.007199	false	
bv-term-small-rw_772.cnf	0	1	unsat	0.056627	false		unsat	0.006311000000000001	false	
bv-term-small-rw_782.cnf	0	1	unsat	0.007212	false		unsat	0.0010470000000000002	false	
bv-term-small-rw_80.cnf	0	1	unsat	0.003963	false		unsat	0.0005390000000000001	false	
bv-term-small-rw_807.cnf	0	1	unsat	0.021703	false		unsat	0.003193	false	
bv-term-small-rw_836.cnf	0	1	unsat	0.072838	false		unsat	0.009662	false	
bv-term-small-rw_848.cnf	3999	16689	unknown	20001.777128	true		unknown	20496.987674	true	
bv-term-small-rw_879.cnf	635	2246	unsat	7.11006	false		unsat	22.419165	false	
bv-term-small-rw_902.cnf	480	1594	unsat	2.468199	false		unsat	4.588389	false	
bv-term-small-rw_913.cnf	0	1	unsat	0.164307	false		unsat	0.009967	false	
bv-term-small-rw_922.cnf	2063	8315	unsat	5.15698	false		unsat	1.8375299999999999	false	
bv-term-small-rw_933.cnf	632	2183	sat	1.071506	false	true	sat	0.37922599999999995	false	true
bv-term-small-rw_934.cnf	0	1	unsat	0.18072	false		unsat	0.013458999999999999	false	
bv-term-small-rw_950.cnf	0	1	unsat	0.037	false		unsat	0.004082	false	
bv-term-small-rw_971.cnf	0	1	unsat	0.046695	false		unsat	0.007882	false	
