path	arm	verdict	wall_ms	exit	engine	nlsat_conflicts	grobner_conflicts	nla_lemmas	horner_conflicts	nra_calls	sat_conflicts	bv_bits	memory_mb
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p420_safety_0.smt2	default	sat	1811	0	nlsat+grobner+horner+nla	7055	262	2923	3	74	895		18.96
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p420_safety_0.smt2	qfnia	sat	1811	0	nlsat+grobner+horner+nla	7055	262	2923	3	74	895		18.85
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_AProVE_2014__juHashMapCreateContainsValue.jar-obl-11__p420_safety_0.smt2	nla2bv	error	24235	0	none								1912.85
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	default	unsat	2512	0	nlsat+grobner+horner+nla	16306	100	1018	7	133	1093		33.67
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	qfnia	unsat	2513	0	nlsat+grobner+horner+nla	19288	79	765	9	161	799		32.51
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__streamserver.bug.t2__terminationS_1_0.smt2	nla2bv	unknown	208	0	bitblast						1061	6715	26.87
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16687_safety_0.smt2	default	error	24031	0	none								60.61
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16687_safety_0.smt2	qfnia	error	24031	0	none								60.41
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__s1.t2_fixed__p16687_safety_0.smt2	nla2bv	error	24032	0	none								26.93
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ppblock.t2__p7749_edge_closing_0.smt2	default	sat	13822	0	nlsat+grobner+horner+nla	17923	1236	7157	33	187	1516		100.05
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/QF_NIA/20170427-VeryMax/ITS/From_T2__ppblock.t2__p7749_edge_closing_0.smt2	qfnia	sat	13121	0	nlsat+grobner+horner+nla	13288	648	4397	23	152	978		101.91
