_array1.i_3_2_2.bpl_11.smt2	unsat	unknown	none	none	none
_count_by_k.i_3_3_2.bpl_7.smt2	unsat	unknown	none	none	none
_half_2.i_3_6_2.bpl_7.smt2	unsat	unknown	none	none	none
_sanfoundry_10_ground.i_6_3_3.bpl_13.smt2	unknown	unknown	none	none	none
_standard_copy3_ground.i_3_2_2.bpl_7.smt2	unsat	unknown	none	none	none
_standard_init5_ground.i_3_2_2.bpl_7.smt2	unsat	unknown	none	none	none
_standard_strcmp_ground.i_4_2_2.bpl_11.smt2	unsat	unknown	none	none	none
_standard_two_index_06.i_3_2_2.bpl_7.smt2	unsat	unknown	none	none	none
0051-labyrinth-12-0.smt2	unknown	unknown	none	none	none
0132-labyrinth-12-0.smt2	unknown	unknown	none	none	none
1.smt2	unknown	unknown	none	none	none
17.smt2	unknown	unknown	none	none	none
24.smt2	unknown	unknown	none	none	none
5.smt2	unknown	unknown	none	none	none
1_4.smt2	unknown	unknown	unknown	0	15
4_3.smt2	unknown	unknown	unknown	0	525
d50.9.smt2	unknown	sat	sat-model	0	120
rand_70_300_1155482584_12.lp.smt2	unknown	unknown	none	none	none
rand_80_340_1159656267_0.lp.smt2	unknown	unknown	none	none	none
rand_80_340_1159656267_4.lp.smt2	unknown	unknown	none	none	none
tsp_rand_70_300_1155482584_7.lp.smt2	unknown	unknown	none	none	none
constraints-cooking06.smt2	sat	sat	sat-model	0	3288
constraints-cooking14.smt2	sat	unknown	none	none	none
constraints-cooking22.smt2	sat	unknown	none	none	none
constraints-tempo-depth-30.smt2	sat	sat	sat-model	0	18
constraints-tempo-depth-9.smt2	sat	unknown	none	none	none
constraints-tempo-matrix8x8.pddl.smt2	sat	sat	sat-model	0	1503
constraints-tempo-width-40.smt2	sat	sat	sat-model	0	1198
constraints-tempo-width-9.smt2	sat	sat	sat-model	0	31
constraints-temporal-machine-shop-2-3-A10.smt2	sat	unknown	none	none	none
constraints-tms-2-3-light-04.smt2	sat	sat	sat-model	0	1244
constraints-tms-2-3-light-30.smt2	sat	sat	sat-model	0	10
afagp-fail.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	unsat	unknown	none	none	none
brp_withassume.t2.c_Iteration1_Loop_6-phaseTemplate.smt2	sat	unknown	none	none	none
brp_withassume.t2.c_Iteration8_Loop_6-phaseTemplate.smt2	sat	unknown	none	none	none
collatz.t2.c_Iteration3_Loop_7-phaseTemplate.smt2	unsat	unknown	none	none	none
disj_nightmare.t2.c_Iteration2_Loop_7-phaseTemplate.smt2	unsat	unknown	none	none	none
elmhes.c.i.elmhes.pl.t2.fixed.t2.c_Iteration5_Loop_6-phaseTemplate.smt2	sat	unknown	none	none	none
eric.t2.c_Iteration1_Lasso_4-pieceTemplate.smt2	sat	unknown	none	none	none
ex11.t2.c_Iteration1_Lasso_7-phaseTemplate.smt2	unsat	unknown	none	none	none
SUMMARY|files=40|unsat=0|trusted_nonzero=0|modulo_theory=0|contradictions=0
