vlsat3_c00.smt2	unsat	unknown	none	none	none
vlsat3_c12.smt2	unsat	unknown	none	none	none
vlsat3_c24.smt2	unsat	unknown	none	none	none
vlsat3_c36.smt2	unsat	unknown	none	none	none
vlsat3_c48.smt2	unsat	unknown	none	none	none
vlsat3_c60.smt2	unsat	unknown	none	none	none
vlsat3_c72.smt2	unsat	unknown	none	none	none
vlsat3_c84.smt2	unsat	unknown	none	none	none
vlsat3_c96.smt2	unsat	unknown	none	none	none
vlsat3_i08.smt2	sat	unknown	none	none	none
vlsat3_i20.smt2	sat	unknown	none	none	none
vlsat3_i32.smt2	sat	unknown	none	none	none
vlsat3_i44.smt2	sat	unknown	none	none	none
vlsat3_i56.smt2	sat	unknown	none	none	none
vlsat3_i68.smt2	sat	unknown	none	none	none
vlsat3_i80.smt2	sat	unknown	none	none	none
vlsat3_i92.smt2	sat	unknown	none	none	none
RVpredict_13.smt2	sat	sat	sat-model	0	1383
jobshop10-2-5-5-4-4-16.smt2	sat	sat	sat-model	0	564
jobshop16-2-8-8-4-4-16.smt2	sat	unknown	none	none	none
jobshop20-2-10-10-4-4-16.smt2	sat	unknown	none	none	none
jobshop26-2-13-13-4-4-16.smt2	sat	unknown	none	none	none
jobshop32-2-16-16-4-4-16.smt2	sat	unknown	none	none	none
jobshop38-2-19-19-4-4-16.smt2	sat	unknown	none	none	none
jobshop42-2-21-21-4-4-16.smt2	sat	unknown	none	none	none
jobshop48-2-24-24-4-4-16.smt2	sat	unknown	none	none	none
jobshop54-2-27-27-4-4-16.smt2	sat	unknown	none	none	none
jobshop6-2-3-3-4-4-16.smt2	sat	sat	sat-model	0	1647
BinarySearch_live_bgmc002.smt2	sat	sat	sat-model	0	63
BubbleSort_live_bgmc002.smt2	sat	sat	sat-model	0	12
BubbleSort_live_blmc003.smt2	sat	sat	sat-model	0	89
BubbleSort_safe_bgmc004.smt2	unsat	unsat	unsat-uncertified	1:sat-refutation+	18
BubbleSort_safe_blmc004.smt2	unsat	unsat	unsat-uncertified	1:sat-refutation-modulo-theory	149
BubbleSort_safe_blmc016.smt2	unsat	unsat	unsat-uncertified	1:sat-refutation-modulo-theory	3160
InsertionSort_live_bgmc003.smt2	sat	sat	sat-model	0	26
InsertionSort_live_blmc004.smt2	sat	sat	sat-model	0	401
InsertionSort_safe_bgmc005.smt2	sat	sat	sat-model	0	39
LinearSearch_live_bgmc005.smt2	unsat	unknown	none	none	none
MinMax_safe_bgmc000.smt2	unsat	unknown	none	none	none
ParallelSearch_safe_bgmc000.smt2	unsat	unknown	none	none	none
SUMMARY|files=40|unsat=3|trusted_nonzero=3|modulo_theory=2|contradictions=0
