c10_problem__001.smt2.slack.smt2	sat	sat	sat-model	0	2
v10_problem_2__016.smt2.slack.smt2	unsat	unsat	unsat-arith-alethe	1:farkas+	11
v15_problem_2__015.smt2.slack.smt2	sat	sat	sat-model	0	2926
v20_problem_2__031.smt2.slack.smt2	unsat	unsat	unsat-arith-alethe	1:farkas+	425
v25_problem_2__027.smt2.slack.smt2	sat	unknown	none	none	none
v30_problem_2__023.smt2.slack.smt2	sat	unknown	none	none	none
v35_problem_2__019.smt2.slack.smt2	sat	unknown	none	none	none
v40_problem_2__015.smt2.slack.smt2	sat	unknown	none	none	none
v45_problem_2__011.smt2.slack.smt2	sat	unknown	none	none	none
cut_lemma_02_010.smt2.slack.smt2	unsat	unsat	unsat-arith-alethe	1:farkas+	5
cut_lemma_02_016.smt2.slack.smt2	unsat	unknown	none	none	none
unbd-sage5.smt2	sat	unknown	none	none	none
unbd-sage19.smt2	sat	unknown	unknown	0	1959
49.lp.smt2	unknown	sat	sat-model	0	113
0006-still_live-11-1.smt2	unknown	sat	sat-model	0	1301
182-incremental_scheduling-17280-0.smt2	unknown	unknown	none	none	none
09-treeWeight-729-8leaves.smt2	unknown	sat	sat-model	0	1305
apache-get-tag-O0.smt2	unknown	unknown	none	none	none
jm2006_variant-O0.smt2	unknown	unknown	none	none	none
RF-07.smt2	sat	sat	sat-model	0	2
RF-11.smt2	sat	sat	sat-model	0	1124
RF-13.smt2	sat	unknown	none	none	none
RF-15.smt2	sat	unknown	none	none	none
RC-01.smt2	sat	sat	sat-model	0	6
RC-03.smt2	unsat	unknown	none	none	none
RC-06.smt2	unsat	unsat	unsat-arith-alethe	1:farkas+	329
RC-10.smt2	sat	sat	sat-model	0	7
RF-00.smt2	sat	sat	sat-model	0	6
RF-07.smt2	sat	sat	sat-model	0	4
RF-14.smt2	sat	sat	sat-model	0	11
RC-02.smt2	sat	sat	sat-model	0	34
RC-04.smt2	sat	sat	sat-model	0	34
RC-06.smt2	sat	sat	sat-model	0	199
RC-08.smt2	sat	sat	sat-model	0	200
RC-10.smt2	sat	sat	sat-model	0	1488
RC-12.smt2	sat	sat	sat-model	0	3974
RC-14.smt2	sat	sat	sat-model	0	4321
RF-00.smt2	sat	sat	sat-model	0	5110
RF-02.smt2	sat	unknown	none	none	none
RF-04.smt2	sat	unknown	none	none	none
SUMMARY|files=40|unsat=4|trusted_nonzero=4|modulo_theory=0|contradictions=0
