core	off_verdict	off_route	off_reason	off_checks	off_qf_secs	off_ground	off_built	off_hosted	off_abstracted	on_verdict	on_route	on_reason	on_checks	on_qf_secs	on_ground	on_built	on_hosted	on_abstracted
UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	11	16.888	3445	1	0	0	unknown	fd:bounded-completeness-unsat	budget	11	16.590	3445	1	1	0
UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	unknown	q:egraph	budget	0	0.000	0	-	-	-	unknown	fd:bounded-completeness-unsat	budget	0	0.000	0	-	-	-
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSig.001.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	12	8.665	3677	1	0	0	unknown	fd:bounded-completeness-unsat	budget	12	7.800	3677	1	1	0
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSigVec.005.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	22	17.616	1481	0	0	0	unknown	fd:bounded-completeness-unsat	budget	22	17.046	1481	1	1	0
UFLIA_simplify2_front_end_suite_javafe.tc.Types.035.smt2.core.smt2	unknown	q:egraph	incomplete	12	13.479	646	1	0	0	unknown	q:egraph	incomplete	12	13.711	646	1	1	0
UFLIA_simplify2_front_end_suite_javafe.test.SuperlinksTest.004.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	21	11.482	4016	0	0	0	unknown	fd:bounded-completeness-unsat	budget	11	0.759	693	1	1	0
UFLIA_simplify2_small_suite_getRootInterface.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	12	6.904	2588	0	0	0	unknown	fd:bounded-completeness-unsat	budget	12	6.906	2588	1	1	0
UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	unknown	q:mbqi-quick	budget	11	9.474	333	0	0	0	unknown	q:mbqi-quick	budget	13	10.543	333	1	1	0
UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	unknown	q:mbqi-quick	budget	15	2.194	522	0	0	0	unknown	q:mbqi-quick	budget	15	2.178	522	1	1	0
UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	4	11.884	516	1	0	0	unknown	q:egraph	incomplete	3	3.932	511	1	1	0
UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	unsat	q:mbqi-quick	decided	2	0.392	874	0	0	0	unsat	q:mbqi-quick	decided	1	0.248	871	1	1	0
UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	27	12.641	1443	0	0	0	unsat	q:mbqi-quick	decided	1	0.743	24	1	1	0
UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	15	11.522	1443	1	0	0	unknown	fd:bounded-completeness-unsat	budget	15	13.064	1443	0	0	0
UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	unsat	q:mbqi	decided	10	4.589	187	0	0	0	unsat	q:mbqi	decided	10	4.522	187	1	1	0
UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	unknown	q:mbqi-quick	budget	4	21.232	1079	0	0	0	unknown	q:mbqi-quick	budget	4	21.390	1079	1	1	0
UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	incomplete	0	0.000	0	-	-	-	unknown	fd:bounded-completeness-unsat	incomplete	0	0.000	0	-	-	-
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2	unsat	q:mbqi-quick	decided	0	0.000	0	-	-	-	unsat	q:mbqi-quick	decided	0	0.000	0	-	-	-
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	incomplete	8	0.018	12	1	0	0	unknown	fd:bounded-completeness-unsat	incomplete	8	0.019	12	1	1	0
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2	unsat	q:mbqi-quick	decided	0	0.000	0	-	-	-	unsat	q:mbqi-quick	decided	0	0.000	0	-	-	-
UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2	unsat	q:egraph	decided	3	0.002	48	1	0	0	unsat	q:egraph	decided	3	0.002	48	1	1	0
UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	incomplete	11	0.508	47	1	0	0	unknown	fd:bounded-completeness-unsat	incomplete	9	0.504	47	1	1	0
UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2	unsat	q:mbqi-quick	decided	0	0.000	0	-	-	-	unsat	q:mbqi-quick	decided	0	0.000	0	-	-	-
UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2	unsat	q:mbqi-quick	decided	0	0.000	0	-	-	-	unsat	q:mbqi-quick	decided	0	0.000	0	-	-	-
UFLIA_sledgehammer_QEpres_smtlib.1120322.smt2.core.smt2	unsat	q:mbqi-quick	decided	3	0.029	16	1	0	0	unsat	q:mbqi-quick	decided	3	0.029	16	1	1	0
UFLIA_sledgehammer_QEpres_smtlib.1237382.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	incomplete	12	5.226	66	0	0	0	unknown	fd:bounded-completeness-unsat	incomplete	12	5.208	66	1	1	0
UFLIA_tokeneer_auditlog_init-31.smt2.core.smt2	unknown	fd:bounded-completeness-unsat	budget	19	23.671	583	0	0	0	unknown	fd:bounded-completeness-unsat	budget	19	23.493	583	1	1	0
