sec	rss_kb	vmhwm_kb	worker_utime_ticks	worker_state
0	16676	16676	11	R
1	19412	19428	110	R
2	20460	20524	202	R
3	23464	23464	290	R
4	31844	33124	389	R
5	21248	33124	490	R
6	21252	33124	592	R
7	22924	33124	693	R
8	24564	33124	791	R
9	24756	33124	892	R
10	26984	33124	993	R
11	27628	33124	1094	R
12	34496	34496	1195	R
13	34496	34496	1296	R
14	46740	49276	1391	R
15	47284	49276	1492	R
16	47284	49276	1593	R
17	47284	49276	1694	R
18	47284	49276	1795	R
19	47284	49276	1896	R
20	47284	49276	1997	R
21	96212	103424	2095	R
22	96212	103424	2197	R
23	96212	103424	2298	R
24	96212	103424	2399	R
25	96212	103424	2500	R
26	96212	103424	2600	R
27	95700	103424	2702	R
28	95920	103424	2803	R
29	98980	103424	2904	R
30	98980	103424	3005	R
31	98980	103424	3106	R
32	98980	103424	3207	R
33	98980	103424	3308	R
34	98980	103424	3410	R
35	98980	103424	3511	R
36	99000	103424	3612	R
37	106112	106112	3713	R
38	106112	106112	3815	R
39	106112	106112	3916	R
40	106112	106112	4017	R
41	106112	106112	4119	R
42	106112	106112	4220	R
43	106116	106116	4321	R
44	106116	106116	4423	R
45	106116	106116	4524	R
46	106116	106116	4625	R
47	106116	106116	4726	R
48	106116	106116	4827	R
49	106116	106116	4928	R
50	106116	106116	5029	R
51	106116	106116	5131	R
52	106116	106116	5232	R
53	106116	106116	5333	R
54	106116	106116	5435	R
55	101932	106028	5536	R
