file	base	base_s	base_giveup	new	new_s	new_giveup	status
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__a-cofuve.ads_237_63_ring_buffer.ads_8_4_range_check___00.smt2	unsat	0.11	none	unsat	0.11	none	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__ints.adb_42_24_overflow_check___00.smt2	unknown	9.12	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #3115 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast	unknown	9.11	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #3115 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/adacore_u__ring_buffer.ads_21_52_range_check___00.smt2	unsat	0.11	none	unsat	0.11	none	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/formal_queue__a-cfdlli.ads_853_39_queue.ads_19_4_precondition___00.smt2	unknown	0.11	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WE	unknown	0.11	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WE	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/JC17-017__exit__p.adb_17_7_assert___00.smt2	unknown	0.11	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown	0.11	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/K113-024__satsub__sat.ads_7_10_postcondition___00.smt2	unsat	0.11	none	unsat	0.11	none	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/K303-015__named_arguments__substract.adb_4_20_overflow_check___00.smt2	unknown	0.11	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown	0.11	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/K412-014__param__pack.adb_39_22_assert___00.smt2	sat	0.11	none	sat	0.11	none	sat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/K519-031__subarray__subar.adb_51_10_dead_code___00.smt2	unknown	0.11	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown	0.11	give-up kind=Incomplete detail=e-matching instantiation did not refute within the round budget	unknown
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_104_41_precondition___00.smt2	unknown	0.11	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)	unknown	0.11	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is neither a free variable nor a constructor application (ADR-0022)	unsat
/nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_36_16_loop_invariant_init___00.smt2	unknown	0.11	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WE	unknown	0.11	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: congruence over a datatype argument whose expansion is not exact (a field with no expansion variable makes the encoded equality WE	unsat
