file	bucket	status	n_vars	max_degree	z3_default	z3_default_ms	z3_nlsat	z3_nlsat_ms	z3_lin	z3_lin_ms	cvc5	cvc5_ms
QF_NRA/20161105-Sturm-MBO/mbo_E1.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unsat	6	10	none	24034	none	24032	unsat	409	unsat	209
QF_NRA/20161105-Sturm-MBO/mbo_E13E18.smt2	killed mid-search: nra-real-root/not-applicable	unsat	7	20	none	24029	none	24129	none	24031	unsat	13722
QF_NRA/20161105-Sturm-MBO/mbo_E17E24.smt2	killed mid-search: nra-real-root/not-applicable	sat	7	20	none	24029	none	24128	none	24031	none	26332
QF_NRA/20161105-Sturm-MBO/mbo_E20E26.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unsat	6	11	none	24034	none	24033	unsat	109	unsat	108
QF_NRA/20161105-Sturm-MBO/mbo_E2E5.smt2	killed mid-search: nra-real-root/not-applicable	unsat	7	19	none	24032	none	24033	none	24032	unsat	19927
QF_NRA/20161105-Sturm-MBO/mbo_E5E13.smt2	nra-real-root/not-applicable	unsat	7	20	none	24031	none	24034	none	24032	unsat	18025
QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/avg60.i_5_5_4.bpl_3.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unknown	621	2	none	24031	none	24029	unknown	1108	none	26225
QF_NRA/20170501-Heizmann-UltimateInvariantSynthesis/standard_two_index_06.i_3_2_2.bpl_5.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unknown	77	2	none	24032	none	24031	unknown	108	none	26216
QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0051a.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	sat	20	1	sat	108	sat	109	sat	108	sat	108
QF_NRA/20180501-Economics-Mulligan/MulliganEconomicsModel0082a.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin stopped on the deadline inside a ]	sat	10	1	sat	108	sat	108	sat	108	sat	107
QF_NRA/2019-ezsmt/reverseFolding/30-reverse_folding-0-0.smt2	no typed decline recorded	unknown	30718	1	sat	1709	sat	1609	sat	4713	none	26208
QF_NRA/20200911-Pine/1599121863243316000.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unknown	4	2	sat	107	sat	108	unknown	107	sat	108
QF_NRA/20200911-Pine/1599121905450496000.smt2	nra/incomplete [online CDCL(T) LRA model did not replay (arithmetic outside the incremental en]	unknown	4	5	sat	109	sat	108	unknown	108	none	26205
QF_NRA/20200911-Pine/1599122164633784000.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unknown	4	2	sat	108	sat	108	unknown	107	sat	108
QF_NRA/20211101-Geogebra/IsoRightTriangle-Bottema6_1b.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin stopped on the deadline inside a ]	sat	6	2	sat	107	sat	107	sat	107	sat	107
QF_NRA/20211101-Geogebra/Triangle-Bottema1_17.smt2	cas-ideal-refuter/incomplete [no combination of the asserted equations collapsed to a constant of the refuti]	sat	7	4	sat	107	sat	108	sat	108	sat	108
QF_NRA/20220314-Uncu/Polynomial_Proof_Calls/ProveIneq_ISSAC05_SignPattern_Lemma2.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unsat	4	17	unsat	106	unsat	107	none	24027	none	26204
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_ISSAC05_Bessack_5_m4.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unsat	4	5	unsat	108	unsat	108	unknown	108	unsat	108
QF_NRA/20220314-Uncu/Rational_Function_Proof_Calls_With_Disjunctive_Denominator_Simplifications/DDC_ProveIneq_Mitrinovic_8_3.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin stopped on the deadline inside a ]	unsat	5	3	unsat	107	unsat	107	unknown	107	unsat	107
QF_NRA/LassoRanker/CooperatingT2/byron-2.t2.c_Iteration2_Loop_4-pieceTemplate.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unknown	3881	2	sat	15120	none	24027	sat	2210	none	26207
QF_NRA/LassoRanker/CooperatingT2/eric2.t2.c_Iteration9_Loop_3-pieceTemplate.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unknown	986	2	unsat	4210	unsat	4211	unsat	1408	unsat	4111
QF_NRA/LassoRanker/CooperatingT2/heidy7.t2.c_Iteration2_Lasso_2-pieceTemplate.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unsat	397	2	unsat	721	unsat	708	unsat	1208	unsat	908
QF_NRA/LassoRanker/CooperatingT2/p-46.t2.c_Iteration2_Loop_4-pieceTemplate.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unknown	5149	2	none	24025	none	24053	none	24128	none	26208
QF_NRA/LassoRanker/CooperatingT2/polyrank4.t2.c_Iteration9_Loop_2-pieceTemplate.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unknown	217	2	unsat	14521	none	24027	unsat	207	unsat	808
QF_NRA/LassoRanker/CooperatingT2/spiral.t2.c_Iteration22_Loop_4-pieceTemplate.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unknown	1403	2	sat	1007	sat	1008	sat	507	sat	5412
QF_NRA/LassoRanker/SV-COMP/BrockschmidtCookFuhs-2013CAV-Fig1_true-termination.c_Iteration2_Loop_4-pieceTemplate.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	sat	509	2	sat	14118	none	24027	sat	107	sat	1308
QF_NRA/LassoRanker/SV-COMP/KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination.c_Iteration1_Lasso_6-phaseTemplate.smt2	killed mid-search: dl-online/not-applicable	unknown	32002	2	unsat	10414	unsat	12317	none	24130	none	26217
QF_NRA/LassoRanker/SV-COMP/NoriSharma-2013FSE-Fig7_true-termination.c_Iteration1_Loop_6-phaseTemplate.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	sat	502	2	sat	408	sat	408	sat	119	sat	908
QF_NRA/LassoRanker/SV-COMP/min_rf_true-termination.c_Iteration1_Lasso_2-pieceTemplate.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unknown	3659	2	none	24027	none	24029	sat	3011	none	27302
QF_NRA/LassoRanker/Ultimate/Canberra.bpl_Iteration1_Lasso_6-phaseTemplate.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unsat	4132	2	unsat	9416	unsat	9314	unsat	3511	unsat	8416
QF_NRA/LassoRanker/Ultimate/FourPhase.bpl_Iteration1_Lasso_7-phaseTemplate.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	sat	284	2	sat	107	sat	107	sat	107	sat	407
QF_NRA/LassoRanker/Ultimate/SantaBarbara01.bpl_Iteration1_Lasso_3-pieceTemplate.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unsat	228	2	unsat	14821	none	24029	unsat	207	unsat	308
QF_NRA/LassoRanker/Ultimate/yPositive-SIscaled75.bpl_Iteration1_Loop_2-pieceTemplate.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unknown	2509	2	unsat	908	unsat	908	none	24127	none	26224
QF_NRA/UltimateAutomizer/InVarSynth_pcatest1.bpl_Iteration1_1.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	sat	718	2	sat	108	sat	108	none	24029	sat	409
QF_NRA/hycomp/etcs_braking_2.01.redlog_global_15.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unsat	350	4	none	24030	none	24029	unsat	109	unsat	210
QF_NRA/hycomp/simple_ballistics_reach.01.seq_lazy_linear_enc_global_9.smt2	nra/budget [nonlinear abstraction: N cross-products project to N linear-real atoms, past t]	unknown	90	4	none	24026	none	24026	none	24027	none	26204
QF_NRA/kissing/kissing_4_8.smt2	nra-real-root/not-applicable	sat	32	2	none	24027	none	24127	unknown	307	sat	307
QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0071.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unsat	3	10	unsat	107	unsat	107	unknown	107	unsat	107
QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0146.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unsat	3	8	unsat	108	unsat	108	unknown	108	unsat	108
QF_NRA/meti-tarski/CMOS/CMOS-opamp-chunk-0295.smt2	nra/budget [lra: both engines declined — the exact-rational simplex ran first and declined]	unsat	3	16	unsat	108	unsat	108	unknown	107	unsat	108
QF_NRA/meti-tarski/Chua/1/IL/U/Chua-1-IL-U-chunk-0075.smt2	q:nat-induction/not-applicable	sat	3	12	sat	108	sat	107	sat	107	sat	107
QF_NRA/meti-tarski/Chua/1/VC1/L/Chua-1-VC1-L-chunk-0080.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unsat	3	6	unsat	108	unsat	108	unsat	108	unsat	108
QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0040.smt2	q:nat-induction/not-applicable	sat	3	10	sat	107	sat	107	unknown	107	sat	108
QF_NRA/meti-tarski/Nichols-Plot/Inverted-Pendulum/Nichols-Plot-Inverted-Pendulum-Fails-1-6-chunk-0160.smt2	q:nat-induction/not-applicable	unsat	3	10	unsat	107	unsat	108	unsat	108	unsat	108
QF_NRA/meti-tarski/RL-high-pass-circuit/RL-high-pass-circuit-gain-chunk-0012.smt2	nra/incomplete [nonlinear abstraction: refinement reached a fixpoint without deciding]	unsat	3	3	unsat	108	unsat	108	unknown	108	unsat	108
QF_NRA/meti-tarski/atan/problem/2/atan-problem-2-chunk-0014.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin hit its deterministic MAX_FM_CONS]	sat	4	4	sat	107	sat	108	unknown	108	sat	108
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0018.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin stopped on the deadline inside a ]	sat	4	4	sat	107	sat	107	unknown	107	sat	107
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0089.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin hit its deterministic MAX_FM_CONS]	sat	4	4	sat	107	sat	109	unknown	108	sat	108
QF_NRA/meti-tarski/atan/problem/2/weak/atan-problem-2-weak-chunk-0159.smt2	nra/budget [lra: both engines declined — Fourier–Motzkin hit its deterministic MAX_FM_CONS]	sat	4	4	sat	107	sat	107	unknown	408	sat	107
