cell,latency_nanos,cumulative_fraction
z3_cold,196287,0.001658374792703151
z3_cold,196812,0.003316749585406302
z3_cold,204552,0.004975124378109453
z3_cold,206650,0.006633499170812604
z3_cold,206901,0.008291873963515755
z3_cold,208189,0.009950248756218905
z3_cold,208790,0.011608623548922056
z3_cold,209381,0.013266998341625208
z3_cold,210022,0.014925373134328358
z3_cold,210885,0.01658374792703151
z3_cold,213461,0.01824212271973466
z3_cold,213475,0.01990049751243781
z3_cold,214231,0.02155887230514096
z3_cold,214970,0.02321724709784411
z3_cold,215208,0.024875621890547265
z3_cold,216002,0.026533996683250415
z3_cold,216262,0.028192371475953566
z3_cold,217076,0.029850746268656716
z3_cold,217250,0.03150912106135987
z3_cold,217720,0.03316749585406302
z3_cold,218550,0.03482587064676617
z3_cold,219505,0.03648424543946932
z3_cold,220183,0.03814262023217247
z3_cold,220229,0.03980099502487562
z3_cold,220427,0.04145936981757877
z3_cold,220625,0.04311774461028192
z3_cold,221405,0.04477611940298507
z3_cold,221598,0.04643449419568822
z3_cold,222580,0.04809286898839138
z3_cold,223067,0.04975124378109453
z3_cold,224652,0.05140961857379768
z3_cold,226253,0.05306799336650083
z3_cold,227933,0.05472636815920398
z3_cold,228302,0.05638474295190713
z3_cold,229085,0.05804311774461028
z3_cold,229578,0.05970149253731343
z3_cold,230564,0.06135986733001658
z3_cold,233130,0.06301824212271974
z3_cold,234160,0.06467661691542288
z3_cold,234609,0.06633499170812604
z3_cold,234637,0.06799336650082918
z3_cold,235064,0.06965174129353234
z3_cold,235575,0.07131011608623548
z3_cold,236366,0.07296849087893864
z3_cold,236380,0.07462686567164178
z3_cold,237601,0.07628524046434494
z3_cold,237935,0.0779436152570481
z3_cold,239253,0.07960199004975124
z3_cold,239788,0.0812603648424544
z3_cold,240967,0.08291873963515754
z3_cold,245582,0.0845771144278607
z3_cold,245675,0.08623548922056384
z3_cold,246203,0.087893864013267
z3_cold,246664,0.08955223880597014
z3_cold,247375,0.0912106135986733
z3_cold,247530,0.09286898839137644
z3_cold,247861,0.0945273631840796
z3_cold,248795,0.09618573797678276
z3_cold,248798,0.0978441127694859
z3_cold,248817,0.09950248756218906
z3_cold,249600,0.1011608623548922
z3_cold,250145,0.10281923714759536
z3_cold,251522,0.1044776119402985
z3_cold,252263,0.10613598673300166
z3_cold,252877,0.1077943615257048
z3_cold,253029,0.10945273631840796
z3_cold,253343,0.1111111111111111
z3_cold,254664,0.11276948590381426
z3_cold,254824,0.11442786069651742
z3_cold,256083,0.11608623548922056
z3_cold,256107,0.11774461028192372
z3_cold,257464,0.11940298507462686
z3_cold,258089,0.12106135986733002
z3_cold,258477,0.12271973466003316
z3_cold,259126,0.12437810945273632
z3_cold,259324,0.12603648424543948
z3_cold,259452,0.12769485903814262
z3_cold,260058,0.12935323383084577
z3_cold,260071,0.1310116086235489
z3_cold,261119,0.13266998341625208
z3_cold,261927,0.13432835820895522
z3_cold,261966,0.13598673300165837
z3_cold,262801,0.13764510779436154
z3_cold,264196,0.13930348258706468
z3_cold,264334,0.14096185737976782
z3_cold,266179,0.14262023217247097
z3_cold,266514,0.14427860696517414
z3_cold,266884,0.14593698175787728
z3_cold,266903,0.14759535655058043
z3_cold,267720,0.14925373134328357
z3_cold,268171,0.15091210613598674
z3_cold,269139,0.15257048092868988
