file	verdict	bound_by	last	attempts	total_ms	giveup_kind	universals	triggerless	rounds	joined	starved	admitted	silent	giveup_raw
UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	22	19661	ResourceLimit	32	0	80	41292	0	145	31	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	9	1050	NONE	0	0	0	NA	NA	NA	NA	NONE
UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	22	14679	ResourceLimit	5	0	264	209380	0	1473	3	e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)
UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	23	0	264	271324	0	1473	21	watchdog fired before the worker thread returned
UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	unsat	q:mbqi	q:mbqi	11	6286	NONE	8	0	166	122665	0	444	5	NONE
UFLIA_simplify_tohtml.Java2Html.832.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	21	24561	ResourceLimit	0	0	2	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
UFLIA_sledgehammer_FFT_smtlib.898060.smt2.core.smt2	unknown	q:bool-skeleton	fd:bounded-completeness-unsat	22	16	Incomplete	0	0	0	NA	NA	NA	NA	mbqi declined an unsupported fragment: term #74 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1057395.smt2.core.smt2	unsat	q:uf-fmf-probe	q:mbqi-quick	9	12037	NONE	0	0	0	NA	NA	NA	NA	NONE
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.1462528.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	22	136	Incomplete	0	0	0	NA	NA	NA	NA	mbqi declined an unsupported fragment: term #83 has sort (Uninterpreted 6) that the pure-Rust BV backend cannot bit-blast
UFLIA_sledgehammer_Fundamental_Theorem_Algebra_smtlib.972059.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	9	16	NONE	0	0	0	NA	NA	NA	NA	NONE
UFLIA_sledgehammer_Hoare_smtlib.1175889.smt2.core.smt2	unsat	q:uf-fmf-probe	q:egraph	10	12046	NONE	0	0	0	NA	NA	NA	NA	NONE
UFLIA_sledgehammer_Hoare_smtlib.581330.smt2.core.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	22	1851	Incomplete	0	0	0	NA	NA	NA	NA	mbqi declined an unsupported fragment: term #161 has sort (Uninterpreted 0) that the pure-Rust BV backend cannot bit-blast
UFLIA_sledgehammer_Hoare_smtlib.993567.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	9	4	NONE	0	0	0	NA	NA	NA	NA	NONE
UFLIA_sledgehammer_QEpres_smtlib.1065390.smt2.core.smt2	unsat	q:bool-skeleton	q:mbqi-quick	9	7	NONE	0	0	0	NA	NA	NA	NA	NONE
UFLIA_sledgehammer_QEpres_smtlib.1120322.smt2.core.smt2	unsat	q:mbqi-quick	q:mbqi-quick	9	58	NONE	0	0	0	NA	NA	NA	NA	NONE
UFLIA_sledgehammer_QEpres_smtlib.1237382.smt2.core.smt2	unknown	q:mbqi	fd:bounded-completeness-unsat	22	12809	Incomplete	4	0	51	6591	0	105	3	mbqi declined an unsupported fragment: term #379 has sort (Uninterpreted 0) that the pure-Rust BV backend cannot bit-blast
UFLIA_tokeneer_auditlog_init-31.smt2.core.smt2	unknown	NONE	NONE	0	0	Watchdog	0	0	7	NA	NA	NA	NA	watchdog fired before the worker thread returned
