file	verdict	bound_by	last	attempts	total_ms	giveup_kind	universals	triggerless	rounds	joined	starved	admitted	silent	giveup_raw
AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2	unknown	q:eq-partition	fd:bounded-completeness-unsat	21	24036	ResourceLimit	0	0	2	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
Arrays_Q3-noinfer.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	21	24015	ResourceLimit	0	0	82	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
AssignToRepField_AssignToRepField.N.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	21	24062	ResourceLimit	0	0	3	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
BasicMethodology_SubClass..ctor.smt2	unknown	q:eq-partition	fd:bounded-completeness-unsat	21	24046	ResourceLimit	0	0	2	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
Cast_Cast.R_System.Object_System.Int32.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	21	24074	ResourceLimit	0	0	5	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2	unknown	q:eq-partition	fd:bounded-completeness-unsat	21	24045	ResourceLimit	0	0	2	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	21	24036	ResourceLimit	0	0	7	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
ExposeVersion_D..ctor-level_2.smt2	unknown	q:eq-partition	fd:bounded-completeness-unsat	21	24042	ResourceLimit	0	0	1	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
Interval_Cell.Shift_System.Int32.smt2	unknown	q:eq-partition	fd:bounded-completeness-unsat	21	24029	ResourceLimit	0	0	2	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
Spouse_Person..ctor.smt2	unknown	q:eq-partition	fd:bounded-completeness-unsat	21	24040	ResourceLimit	0	0	2	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
delete_check_heap_access_53_12.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	21	24104	ResourceLimit	0	0	8	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
getRootInterface.smt2	unknown	NONE	NONE	0	0	Watchdog	0	0	0	NA	NA	NA	NA	watchdog fired before the worker thread returned
init-31.smt2	unknown	NONE	NONE	0	0	Watchdog	35	0	186	191053	0	1623	2	watchdog fired before the worker thread returned
insertion_sort_postcondition_of_insertion_sort_63_1.smt2	unknown	NONE	NONE	0	0	Watchdog	0	0	5	NA	NA	NA	NA	watchdog fired before the worker thread returned
javafe.PrintSpec.012.smt2	unknown	q:egraph	fd:bounded-completeness-unsat	21	24404	ResourceLimit	0	0	2	NA	NA	NA	NA	quantified solve time budget exhausted after MBQI and the finite-model finder
