core	z3	z3_ms	z3_qinst	z3_maxgen	z3_noqi	z3_noqi_ms	z3_proof	proof_qinst	cvc5	cvc5_ms	cvc5_inst
UFLIA_boogie_AdvancedTypes_InternalSubClass..ctor-orderStrength_1.smt2.core.smt2	unsat	108	78	2	unsat	109	unsat	11	unsat	111	42
UFLIA_boogie_Arrays_Q3-noinfer.smt2.core.smt2	unsat	108	3	1	unsat	108	unsat	2	unsat	114	5
UFLIA_boogie_AssignToRepField_AssignToRepField.N.smt2.core.smt2	unsat	106	442	3	unsat	107	unsat	31	unsat	112	95
UFLIA_boogie_BasicMethodology_SubClass..ctor.smt2.core.smt2	unsat	307	7259	10	unsat	310	unsat	292	unsat	2015	634
UFLIA_boogie_Cast_Cast.R_System.Object_System.Int32.smt2.core.smt2	unsat	107	4	1	unsat	108	unsat	3	unsat	115	4
UFLIA_boogie_Chunker11c_Chunker.SpecSharp.CheckInvariant_System.Boolean.smt2.core.smt2	unsat	108	3	1	unsat	107	unsat	2	unsat	114	6
UFLIA_boogie_DefaultLoopInv0_A.M-modifiesOnLoop-noinfer.smt2.core.smt2	unsat	107	1690	7	unsat	108	unsat	96	unsat	314	210
UFLIA_boogie_ExposeVersion_D..ctor-level_2.smt2.core.smt2	unsat	109	117	3	unsat	108	unsat	14	unsat	113	55
UFLIA_boogie_Interval_Cell.Shift_System.Int32.smt2.core.smt2	unsat	107	462	4	unsat	108	unsat	38	unsat	114	105
UFLIA_boogie_loopinv1_LoopInv1.Test1a_F_notnull-infer_eh.smt2.core.smt2	unsat	406	11113	7	unsat	408	unsat	143	unsat	1216	839
UFLIA_boogie_Spouse_Person..ctor.smt2.core.smt2	unsat	107	130	2	unsat	108	unsat	13	unsat	114	48
UFLIA_grasshopper_instantiated_delete_check_heap_access_53_12.smt2.core.smt2	unsat	108	5	3	unsat	107	unsat	5	unsat	113	15
UFLIA_grasshopper_instantiated_insertion_sort_postcondition_of_insertion_sort_63_1.smt2.core.smt2	unsat	108	205	8	unsat	108	unsat	34	unsat	112	119
UFLIA_grasshopper_uninstantiated_merge_loop_check_heap_access_60_6.smt2.core.smt2	unsat	108	126	8	unsat	108	unsat	17	unsat	114	113
UFLIA_simplify2_front_end_suite_javafe.ast.ImportDeclVec.015.smt2.core.smt2	unsat	107	271	3	unsat	107	unsat	54	unsat	112	226
UFLIA_simplify2_front_end_suite_javafe.ast.LabelStmt.011.smt2.core.smt2	unsat	107	1	1	unsat	109	unsat	1	unsat	113	2
UFLIA_simplify2_front_end_suite_javafe.ast.MethodDecl.005.smt2.core.smt2	unsat	109	142	5	unsat	109	unsat	24	unsat	514	116
UFLIA_simplify2_front_end_suite_javafe.ast.ParenExpr.006.smt2.core.smt2	unsat	109	10	1	unsat	106	unsat	1	unsat	113	2
UFLIA_simplify2_front_end_suite_javafe.ast.StandardPrettyPrint.008.smt2.core.smt2	unsat	108	0	0	unsat	107	unsat	0	unsat	113	0
UFLIA_simplify2_front_end_suite_javafe.ast.TypeModifierPragmaVec.013.smt2.core.smt2	unsat	109	155	3	unsat	109	unsat	29	unsat	114	113
UFLIA_simplify2_front_end_suite_javafe.ast.VariableAccess.001.smt2.core.smt2	unsat	109	4	1	unsat	109	unsat	3	unsat	118	6
UFLIA_simplify2_front_end_suite_javafe.filespace.HashTree.001.smt2.core.smt2	unsat	109	39	1	unsat	107	unsat	17	unsat	113	42
UFLIA_simplify2_front_end_suite_javafe.filespace.ZipTree.005.smt2.core.smt2	unsat	108	36	2	unsat	107	unsat	7	unsat	112	14
UFLIA_simplify2_front_end_suite_javafe.parser.Parse.005.smt2.core.smt2	unsat	108	307	5	unsat	110	unsat	23	unsat	217	124
UFLIA_simplify2_front_end_suite_javafe.parser.TagConstants.001.smt2.core.smt2	unsat	107	1	1	unsat	110	unsat	1	unsat	118	2
UFLIA_simplify2_front_end_suite_javafe.PrintSpec.012.smt2.core.smt2	unsat	109	3	2	unsat	110	unsat	2	unsat	116	4
UFLIA_simplify2_front_end_suite_javafe.reader.CachedReader.003.smt2.core.smt2	unsat	108	15	3	unsat	108	unsat	7	unsat	113	13
UFLIA_simplify2_front_end_suite_javafe.tc.EnvForLocals.007.smt2.core.smt2	unsat	109	24	3	unsat	109	unsat	8	unsat	116	20
UFLIA_simplify2_front_end_suite_javafe.tc.FlowInsensitiveChecks.017.smt2.core.smt2	unsat	108	26	5	unsat	109	unsat	8	unsat	114	34
UFLIA_simplify2_front_end_suite_javafe.tc.Types.035.smt2.core.smt2	unsat	110	71	2	unsat	110	unsat	10	unsat	116	13
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSig.001.smt2.core.smt2	unsat	110	7	3	unsat	110	unsat	3	unsat	116	10
UFLIA_simplify2_front_end_suite_javafe.tc.TypeSigVec.005.smt2.core.smt2	unsat	109	86	3	unsat	109	unsat	13	unsat	114	57
UFLIA_simplify2_front_end_suite_javafe.test.SuperlinksTest.004.smt2.core.smt2	unsat	108	14	2	unsat	108	unsat	6	unsat	113	19
UFLIA_simplify2_small_suite_getRootInterface.smt2.core.smt2	unsat	210	250	4	unsat	207	unsat	17	unsat	216	116
UFLIA_simplify_javafe.ast.CatchClauseVec.66.smt2.core.smt2	unsat	106	141	3	unsat	107	unsat	28	unsat	113	97
UFLIA_simplify_javafe.ast.LexicalPragmaVec.219.smt2.core.smt2	unsat	107	106	2	unsat	107	unsat	18	unsat	111	52
UFLIA_simplify_javafe.ast.NewInstanceExpr.271.smt2.core.smt2	unsat	109	8	1	unsat	109	unsat	2	unsat	114	14
UFLIA_simplify_javafe.ast.StandardPrettyPrint.322.smt2.core.smt2	unsat	108	2	1	unsat	107	unsat	1	unsat	114	2
UFLIA_simplify_javafe.ast.TypeDeclElemPragma.373.smt2.core.smt2	unsat	108	6	1	unsat	107	unsat	3	unsat	113	12
UFLIA_simplify_javafe.ast.UnaryExpr.424.smt2.core.smt2	unsat	107	23	2	unsat	109	unsat	6	unsat	115	21
UFLIA_simplify_javafe.parser.TokenQueue.576.smt2.core.smt2	unsat	108	14	2	unsat	109	unsat	3	unsat	114	12
