division	winnable_sat	winnable_unsat	sat_share_pct
QF_ABV	3	6	33
QF_BV	3	4	43
QF_DT	52	29	64
QF_IDL	34	4	89
QF_LIA	29	26	53
QF_LRA	25	37	40
QF_NIA	72	38	65
QF_NRA	40	37	52
QF_RDL	11	8	58
QF_S	11	3	79
QF_SLIA	4	3	57
QF_UFLIA	13	11	54
QF_UFLRA	43	11	80
UF	0	29	0
AUFDTLIRA	0	135	0
UFDT	1	55	2
UFDTLIRA	23	86	21
UFDTNIRA	0	178	0
QF_ABVFP	6	15	29
QF_BVFP	0	1	0
QF_UFBV	57	30	66
AUFLIA	8	71	10
BV	14	27	34
LRA	59	72	45
NRA	0	6	0
QF_AUFLIA	32	28	53
UFLIA	1	72	1
ABV	15	2	88
ALIA	24	12	67
AUFBV	16	28	36
AUFLIRA	1	186	1
AUFNIRA	0	139	0
FP	7	112	6
UFNIA	2	59	3
