file	base	base_ms	arm	arm_ms	first
N624-020__perm_rem__perm.adb_228_50_precondition4___00.smt2	unsat	1610612020311244334	unsat	-1610612019489080223	arm
P427-045__iterable_for_proof__test_containers.adb_22_38_precondition___00.smt2	unsat	112390834	unsat	112837857	base
R509-011__higher_order_proof__why_d70bc5_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	113746519	unsat	112618584	arm
riposte__simple_arrays__simple_arrays.adb_101_22_postcondition___00.smt2	unknown	23929794202	unknown	23928929089	base
N611-014__split_records__split_records.adb_21_39_discriminant_check___00.smt2	unsat	-1610612063889390946	unsat	110697507	arm
O512-022__infoflow__infoflow.ads_136_24_contract_case___00.smt2	unknown	1610612088231576577	unknown	24231921642	base
R509-011__higher_order_proof__why_55ff7e_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	113983005	unsat	113319955	arm
ghc_sort__ghc_sort.ads_33_52_overflow_check___00.smt2	unsat	-1610612107886446960	unsat	1610612108313675114	base
MA11-009__invariant__kmp.adb_16_17_loop_invariant_preserv___00.smt2	unknown	25033623839	unknown	25135064673	arm
NA06-051__loop__indexbis.ads_5_72_index_check___00.smt2	unsat	112486160	unsat	112252740	base
R125-020__comparison__longest_common_prefix.adb_11_35_overflow_check___00.smt2	unsat	113164669	unsat	112606481	arm
adacore_u__communication.adb_41_32_overflow_check___00.smt2	unknown	25032908388	unknown	-1771673393868085943	base
LB28-004__loop_variant__p.adb_85_7_loop_variant___00.smt2	unsat	-1610612200186496665	unsat	1610612200514507113	arm
N624-020__perm_rem__sort.adb_40_28_precondition___00.smt2	unknown	1610612226833878229	unknown	25031215352	base
Q529-038__predicate__bounded_stacks.ads_18_20_integer_stacks.ads_4_1_postcondition___00.smt2	unknown	814594547	unknown	712528277	arm
S117-008__pointer__formal_vectors.adb_146_8_use_formal_vectors.ads_10_4_null_pointer_dereference___00.smt2	unknown	113752811	unknown	-1610612248388353126	base
K606-027__slice__fb20a00.adb_37_49_overflow_check___00.smt2	unknown	25034082754	unknown	1610612272631111961	arm
N624-020__perm_rem__perm.adb_261_42_precondition4___00.smt2	unsat	513732210	unsat	412999943	base
P518-021__loop_frame_condition__do_loops.adb_112_22_assert___00.smt2	unknown	3616888984	unknown	14025294438	arm
R514-013__invariant__sorted.ads_14_14_postcondition___00.smt2	unknown	24132467718	unknown	-1610612328768237878	base
string_search__string_search.adb_48_94_overflow_check___00.smt2	unsat	112943353	unsat	111923185	arm
N624-020__perm_occ__perm.adb_32_10_precondition___00.smt2	unknown	25131913245	unknown	25031477668	base
O512-022__vscomp2014_partition_rte__partition_refinement.adb_180_10_precondition6___00.smt2	unknown	24229508028	unknown	24230061978	arm
R509-011__higher_order_proof__why_880db6_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unknown	1610612467131007408	unknown	25030722303	base
patience__patience.adb_86_45_index_check___00.smt2	unsat	111345893	unsat	112774111	arm
