file	status	order	c_verdict	c_rc	c_ms	c_bound_by	c_last	c_bound_ms	c_total_ms	c_attempts	c_open_ms	c_open_after	r1_verdict	r1_ms	r1_n	r1_unsat	r2_verdict	r2_ms	r2_n	r2_unsat	c_exits	c_rung	c_giveup	r1_lines	r2_lines
UFLIA/boogie/ExposeVersion_D..ctor-level_2.smt2	unsat	r2-c-r1	unknown	0	24126	q:egraph	fd:bounded-completeness-unsat	18491	24019	17	na	na	unknown	24132	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=1 ground=2900;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=6 ground=3279	QPROBE skolemized-egraph(residual) budget=Some(673.537552ms) elapsed=693.561528ms result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=1 ground=2900;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=6 ground=3279	SKIPPED
UFLIA/grasshopper/instantiated/delete_check_heap_access_53_12.smt2	unsat	c-r1-r2	unknown	0	23534	q:egraph	fd:bounded-completeness-unsat	13219	23415	19	na	na	unknown	23534	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=4 ground=1360;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=8 ground=7238;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=4 ground=1360	QPROBE skolemized-egraph(residual) budget=Some(1.429696156s) elapsed=1.431021189s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline);QPROBE skolemized-egraph(residual) budget=Some(3.847822821s) elapsed=3.849192728s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=4 ground=1360;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=8 ground=7238;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=4 ground=1360	SKIPPED
UFLIA/simplify/javafe.ast.LexicalPragmaVec.219.smt2	unsat	r1-r2-c	unknown	0	23832	q:egraph	fd:bounded-completeness-unsat	20977	23723	19	na	na	unknown	23831	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=3 ground=569;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=4 ground=8192;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=2 ground=254	QPROBE skolemized-egraph(residual) budget=Some(1.477799951s) elapsed=1.911430729s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline);QPROBE skolemized-egraph(residual) budget=Some(447.636713ms) elapsed=592.302949ms result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=3 ground=569;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=4 ground=8192;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=2 ground=254	SKIPPED
UFLIA/simplify/javafe.ast.UnaryExpr.424.smt2	unsat	r2-c-r1	unknown	0	21631	q:egraph	fd:bounded-completeness-unsat	15928	21471	19	na	na	unknown	21931	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=1 ground=1121;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=6 ground=6660;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=1 ground=1121	QPROBE skolemized-egraph(residual) budget=Some(1.394154369s) elapsed=1.456751927s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline);QPROBE skolemized-egraph(residual) budget=Some(2.887268929s) elapsed=3.2003002s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=1 ground=1121;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=6 ground=6660;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=1 ground=1121	SKIPPED
UFLIA/simplify/tohtml.Java2Html.832.smt2	unsat	c-r1-r2	unknown	0	25034	q:mbqi-quick	q:mbqi-quick	1577	1859	6	23140	q:mbqi-quick	unknown	25034	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=2 ground=1416	QPROBE skolemized-egraph(residual) budget=Some(1.459751446s) elapsed=1.531142675s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=2 ground=1416	SKIPPED
UFLIA/simplify2/front_end_suite/javafe.ast.ConstructorDecl.007.smt2	unsat	r1-r2-c	unknown	0	25034	q:mbqi-quick	q:egraph	9891	21025	7	3975	q:egraph	unknown	25034	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=2 ground=8192	none	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=2 ground=8192	SKIPPED
UFLIA/simplify2/front_end_suite/javafe.ast.LabelStmt.011.smt2	unsat	r2-c-r1	unknown	0	25031	q:mbqi-quick	q:egraph	8348	21002	7	3997	q:egraph	unknown	25036	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=4 ground=8192	none	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=4 ground=8192	SKIPPED
UFLIA/simplify2/front_end_suite/javafe.ast.SuperObjectDesignator.008.smt2	unsat	c-r1-r2	unknown	0	25036	q:mbqi-quick	q:egraph	8194	21393	7	3606	q:egraph	unknown	25037	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=4 ground=8192	none	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=4 ground=8192	SKIPPED
UFLIA/simplify2/front_end_suite/javafe.filespace.HashTree.001.smt2	unsat	r1-r2-c	unknown	0	24236	q:egraph	fd:bounded-completeness-unsat	22447	24134	17	na	na	unknown	24327	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=3 ground=1848;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=7 ground=3645	QPROBE skolemized-egraph(residual) budget=Some(1.479931646s) elapsed=1.499808913s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=3 ground=1848;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=7 ground=3645	SKIPPED
UFLIA/simplify2/front_end_suite/javafe.parser.test.TestLex.030.smt2	unsat	r2-c-r1	unknown	0	25032	q:mbqi-quick	q:egraph	8139	20910	7	4089	q:egraph	unknown	25036	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=4 ground=8192	none	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=4 ground=8192	SKIPPED
UFLIA/simplify2/front_end_suite/javafe.tc.FlowInsensitiveChecks.017.smt2	unsat	c-r1-r2	unknown	0	25036	q:forall-exists-witness	q:uf-fmf-probe	9618	10165	5	14834	q:uf-fmf-probe	unknown	25034	0	0	SKIPPED	0	0	0	none	none	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	none	SKIPPED
UFLIA/simplify2/front_end_suite/javafe.test.SuperlinksTest.004.smt2	unsat	r1-r2-c	unknown	0	24131	q:egraph	fd:bounded-completeness-unsat	22072	24104	17	na	na	unknown	24233	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=2 ground=1939;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=4 ground=1606	QPROBE skolemized-egraph(residual) budget=Some(1.356820738s) elapsed=1.391058954s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	give-up kind=ResourceLimit detail=quantified solve time budget exhausted after e-matching	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=2 ground=1939;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=4 ground=1606	SKIPPED
UFLIA/sledgehammer/Fundamental_Theorem_Algebra/smtlib.1057395.smt2	unsat	r2-c-r1	unknown	0	18928	q:egraph	fd:bounded-completeness-unsat	11020	18845	20	na	na	unknown	18923	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=2 ground=111;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=4 ground=8192;QPROBE loop-exit kind=CLOCK exit=GrowthHeadroom rounds=4 ground=7202	QPROBE skolemized-egraph(residual) budget=Some(1.319716101s) elapsed=1.324299746s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline);QPROBE skolemized-egraph(residual) budget=Some(5.399967173s) elapsed=5.583220253s result=e-matching instantiation stopped after 4 rounds: the remaining budget could not fit another round with growth headroom	give-up kind=Incomplete detail=e-matching instantiation stopped after 4 rounds: the remaining budget could not fit another round with growth headroom	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=2 ground=111;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=4 ground=8192;QPROBE loop-exit kind=CLOCK exit=GrowthHeadroom rounds=4 ground=7202	SKIPPED
UFLIA/sledgehammer/Hoare/smtlib.1175889.smt2	unsat	c-r1-r2	unknown	0	25136	q:mbqi-quick	q:mbqi-quick	1510	1701	6	23299	q:mbqi-quick	unknown	25136	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=CLOCK exit=GrowthHeadroom rounds=3 ground=208;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=6 ground=8192	QPROBE skolemized-egraph(residual) budget=Some(1.479120411s) elapsed=1.489023075s result=e-matching instantiation stopped after 3 rounds: the remaining budget could not fit another round with growth headroom	give-up kind=Watchdog detail=watchdog fired before the worker thread returned	QPROBE loop-exit kind=CLOCK exit=GrowthHeadroom rounds=3 ground=208;QPROBE loop-exit kind=SHAPE exit=Fixpoint rounds=6 ground=8192	SKIPPED
UFLIA/sledgehammer/QEpres/smtlib.1120322.smt2	unsat	r1-r2-c	unknown	0	17427	q:egraph	fd:bounded-completeness-unsat	8792	17343	19	na	na	unknown	17226	0	0	SKIPPED	0	0	0	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=7 ground=1080;QPROBE loop-exit kind=ROUND exit=RoundCeiling rounds=512 ground=5496;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=7 ground=1080	QPROBE skolemized-egraph(residual) budget=Some(1.478789686s) elapsed=1.512330125s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline);QPROBE skolemized-egraph(residual) budget=Some(6.705507913s) elapsed=6.738684686s result=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	give-up kind=ResourceLimit detail=e-matching: instantiation time budget exhausted mid-round (the interleaved ground check did not decide the set inside the deadline)	QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=7 ground=1080;QPROBE loop-exit kind=ROUND exit=RoundCeiling rounds=512 ground=5496;QPROBE loop-exit kind=timeout-mid-round exit=MidRound rounds=7 ground=1080	SKIPPED
