file	first_base	first_arm	b1	b2	b3	a1	a2	a3	verdict
AUFDTLIRA/20200306-Kanig/spark2014bench/K607-022__unconstrained_array__simple_unc_arrays.adb_50_24_index_check___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/M607-025__rev_stack__list.ads_13_36_precondition2___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/M613-039__expr_actions__list.adb_25_35_overflow_check___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_108_43_index_check2___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_154_33_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_220_39_precondition3___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_237_28_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_244_63_range_check2___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_252_49_range_check___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/N624-020__perm_rem__perm.adb_289_56_index_check3___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/O205-003__dynamic_arrays__dynamic_array.adb_52_19_discriminant_check___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_100_44_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/O512-022__vscomp2014_partition_rte__partition_refinement.adb_30_27_precondition2___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/O724-003__iterable__with_iterable.ads_24_9_predicate_check___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/P518-021__frame_for_max__frame_condition.adb_86_39_frame_condition.adb_150_10_loop_invariant_preserv___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/P715-019__flow_subprogram_termination__container.adb_30_11_container.adb_45_7_precondition___03.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/Q930-002__itp__bounded_dynamic_arrays.ads_103_48_bounded_dynamic_strings.ads_5_1_range_check___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/QA23-042__flow_pointers__spark05.adb_55_16_null_pointer_dereference___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_b5aa01_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	unknown	unsat	unsat	unsat	unknown	unknown	unknown	STABLE-LOSS
AUFDTLIRA/20200306-Kanig/spark2014bench/R509-011__higher_order_proof__why_ec30e5_sparkmnhigher_ordermnfold-T-defqtvc__00.smt2	unsat	unknown	unsat	unsat	unsat	unknown	unknown	unknown	STABLE-LOSS
AUFDTLIRA/20200306-Kanig/spark2014bench/S415-012__ex_pledge__pledge_constraints.adb_22_37_discriminant_check___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/ghc_sort__ghc_sort.adb_159_25_null_pointer_dereference___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_16_13_loop_invariant_init___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/patience__patience.adb_86_45_index_check___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer__lexer.adb_433_13_loop_invariant_init___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
AUFDTLIRA/20200306-Kanig/spark2014bench/sparksmt__lexer_termination__lexer.adb_514_13_loop_invariant_preserv___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.adb_78_63_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__amortize_queue__amortized_queue.ads_55_17_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/K624-029__search_list__a-cfdlli.ads_853_28_linked_list.ads_6_4_overflow_check___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/L413-031__fullview__a-cfdlli.ads_1379_20_int_list.ads_10_4_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/L719-025__ordered_sets_equal__a-cforse.ads_1337_20_p.ads_10_4_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/L719-025__ordered_sets_key__a-cforse.ads_1382_20_p.ads_13_4_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/L719-025__sorted_vectors__sorted_vectors.adb_14_31_range_check___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/M613-039__expr_actions__a-cofove.ads_709_23_list.ads_9_4_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/MA07-042__flow_formal_container_hack__a-cofove.ads_745_14_formal_list.ads_8_4_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/MB14-009__for_loops_iterable__for_loops_on_lists.adb_18_11_precondition___02.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/N306-009__operators__a-cfdlli.ads_853_39_inst_ext_ax.ads_7_4_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/N617-011__mutable_discr__discr.adb_102_22_assert___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/N628-005__replace_map__a-cforma.ads_947_20_replacement.ads_9_4_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/N709-001__dispatch__object.ads_15_31_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/N715-017__default_init_cond__default_init.adb_60_25_assert___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_30_22_assert___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
UFDTLIRA/20200306-Kanig/spark2014bench/NB19-026__flow_formal_vectors__indefinite_bounded.adb_64_7_precondition___00.smt2	unknown	unsat	unknown	unknown	unknown	unsat	unsat	unsat	STABLE-GAIN
