file	order	off_verdict	off_ms	off_rung	on_verdict	on_ms	on_rung
AUFLIA/20170829-Rodin/smt1002232729905089644.smt2	on-off	unsat	509	declined	unsat	507	declined
AUFLIA/20170829-Rodin/smt1220699141798901390.smt2	on-off	unsat	110	declined	unsat	107	decided
AUFLIA/20170829-Rodin/smt1473202208079633170.smt2	on-off	unknown	13321	declined	unknown	13419	declined
AUFLIA/20170829-Rodin/smt1707526664716425712.smt2	on-off	unsat	509	declined	unsat	508	declined
AUFLIA/20170829-Rodin/smt1926049097922238689.smt2	on-off	unsat	6216	declined	unsat	6014	declined
AUFLIA/20170829-Rodin/smt2177400658467333293.smt2	on-off	unknown	14925	declined	unknown	14925	declined
AUFLIA/20170829-Rodin/smt2393992315947387625.smt2	off-on	unsat	108	declined	unsat	107	declined
AUFLIA/20170829-Rodin/smt2616285026112260933.smt2	off-on	unsat	509	declined	unsat	507	declined
AUFLIA/20170829-Rodin/smt2813909872176534744.smt2	off-on	unsat	610	declined	unsat	608	declined
AUFLIA/20170829-Rodin/smt3037975747164883706.smt2	off-on	unsat	109	declined	unsat	108	declined
AUFLIA/20170829-Rodin/smt3282579296144077934.smt2	off-on	unknown	23034	declined	unknown	23033	declined
AUFLIA/20170829-Rodin/smt3545392280640028476.smt2	off-on	unknown	7618	declined	unknown	7717	declined
AUFLIA/20170829-Rodin/smt3775713235031917370.smt2	on-off	unknown	16824	declined	unknown	16821	declined
AUFLIA/20170829-Rodin/smt4014614759818607882.smt2	on-off	unknown	24432	declined	unknown	24830	declined
AUFLIA/20170829-Rodin/smt4254100547882761341.smt2	on-off	unsat	2210	declined	unsat	2310	declined
AUFLIA/20170829-Rodin/smt4505714063522592669.smt2	on-off	unsat	110	declined	unsat	108	declined
AUFLIA/20170829-Rodin/smt471858597368820142.smt2	on-off	unknown	24134	declined	unknown	24133	declined
AUFLIA/20170829-Rodin/smt5001394363164851801.smt2	on-off	unsat	110	declined	unsat	109	declined
AUFLIA/20170829-Rodin/smt5247866904667105691.smt2	off-on	unknown	108	declined	unknown	106	declined
AUFLIA/20170829-Rodin/smt5495731271566831936.smt2	off-on	unknown	8015	declined	unknown	8014	declined
AUFLIA/20170829-Rodin/smt5744876828497547898.smt2	off-on	unknown	22830	declined	unknown	22727	declined
AUFLIA/20170829-Rodin/smt600629920309015669.smt2	off-on	unsat	110	declined	unsat	108	declined
AUFLIA/20170829-Rodin/smt6252611163754071506.smt2	off-on	unknown	13323	declined	unknown	15625	declined
AUFLIA/20170829-Rodin/smt6537287558714942037.smt2	off-on	unsat	13023	declined	unsat	13122	declined
AUFLIA/20170829-Rodin/smt6764869006336836143.smt2	on-off	unknown	20328	declined	unknown	20726	declined
AUFLIA/20170829-Rodin/smt7040440882532018206.smt2	on-off	unknown	108	declined	unknown	107	declined
AUFLIA/20170829-Rodin/smt7282295426682651749.smt2	on-off	unknown	4412	declined	unknown	4610	declined
AUFLIA/20170829-Rodin/smt7541339723049053120.smt2	on-off	unsat	311	declined	unsat	308	declined
AUFLIA/20170829-Rodin/smt7777530988239987207.smt2	on-off	unknown	13623	declined	unknown	13522	declined
AUFLIA/20170829-Rodin/smt806976972383716192.smt2	on-off	unsat	109	declined	unsat	107	declined
QF_BV/2017-BuchwaldFried/counterexample.dump.ia32_Mul_base_disp--Add32.load32.Mul32.Mulh_u32.0005.smt2	off-on	unknown	24227	absent	unknown	24129	absent
QF_BV/asp/TravellingSalesperson/tsp_rand_70_300_1155482584_12.lp.smt2	off-on	unknown	24230	absent	unknown	24229	absent
QF_BV/bruttomesso/core/ext_con_028_008_0064.smt2	off-on	unknown	24133	absent	unknown	24133	absent
QF_BV/bruttomesso/simple_processor/simple_processors_008_006_0004.smt2	off-on	unknown	24232	absent	unknown	24234	absent
QF_BV/Sage2/bench_13795.smt2	off-on	unknown	25127	absent	unknown	25130	absent
QF_BV/stp/testcase15.stp.smt2	off-on	unknown	25429	absent	unknown	25434	absent
